case,safety,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,bottom_Excess_mean,top_Excess_maxAbs,bottom_grad_proxy,PorePressRate_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressureAccelDiff_maxAbs
Baseline_SW3D_Xi0p10_Safety0p10,0.10,14,0.14,0.002551732600000011,0.0019283858826733666,-0.00033287314230000156,53.10103176375,24511.00261314,13783.941990198284,53.10094140000032,9761.248474155,4908.265485241467,0.0,14751.96860248,8875.67627627917,14749.753720359997,0.0,-0.008136397009366192,119783780.0,4185116.2000000007,119766548.2840639,9.798509600000004
Baseline_SW3D_Xi0p10_Safety0p10,0.10,15,0.15,0.0025456084000000027,0.001909697721283571,-0.0003520659537999992,53.35094520457,24344.8538997,13715.466035364163,53.35119449999984,9761.258770731,4908.453766722305,0.0,14585.96466278,8807.012067440857,14583.594713670003,0.0,-0.019978112995886477,118854170.0,4118568.866666667,118856071.56846756,9.7799778
Baseline_SW3D_Xi0p10_Safety0p10,0.10,16,0.16,0.0025289161000000026,0.0018787398820686088,-0.00037104317169999666,53.60018166891,24200.87680327,13658.83373427478,53.60027039999998,9761.268884841,4908.639933229848,0.0,14441.68430887,8750.193612250327,14439.607502039993,0.0,-0.00771292650642863,119620460.0,3931925.3333333335,119602621.22324161,9.755251900000015
Baseline_SW3D_Xi0p10_Safety0p10,0.10,17,0.17,0.0025204276000000423,0.0018594038376088166,-0.0003897241296999948,53.84769064095,24044.1682403,13590.56375791968,53.84758049999996,9761.278486869,4908.823193427873,0.0,14285.10599523,8681.740344815302,14282.889334479993,0.0,-0.018440641009874525,118377930.0,3896441.3333333335,118380638.44512405,9.740700700000014
Baseline_SW3D_Xi0p10_Safety0p10,0.10,18,0.18,0.0025127311000000315,0.001839122616682296,-0.000408227369400001,54.09463453441,23902.36842786,13530.254478429317,54.09430200000024,9761.288047695,4909.004710209296,0.0,14143.06578493,8621.249541697156,14141.079963920001,0.0,-0.007571669499156997,119398900.0,3685013.0666666673,119387792.4084268,9.694185300000168
Baseline_SW3D_Xi0p10_Safety0p10,0.10,19,0.19,0.002500017600000049,0.0018173291326553525,-0.0004264934452000035,54.34027424384,23761.63757844,13466.942513156691,54.34053300000024,9761.297262228,4909.183900412939,0.0,14002.26905181,8557.758407674211,14000.339899210001,0.0,-0.007806648500263691,117925500.0,3674076.866666667,117927567.33061503,9.694495200000008
Baseline_SW3D_Xi0p10_Safety0p10,0.10,20,0.2,0.00249329420000004,0.0018009267059186272,-0.0004445869567000014,54.5851928384,23621.25140671,13403.310160198913,54.584900099999594,9761.306448312,4909.361397760738,0.0,13861.88496728,8493.948562935168,13859.944540680004,0.0,-0.007320263994188281,118730300.0,3618306.466666667,118727226.72443086,9.640572500000074
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,0,0.0,0.0,0.0,0.0,49.05000209808,9760.950417519,4905.000209808328,49.05000000000005,9760.950000981,4904.999999715509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,1,0.01,0.007786011300000024,0.005059516867279976,-4.629333999999919e-05,49.62312613866,28822.11832279,15304.804228178362,49.62300209999958,9761.043254841,4905.454137380901,0.0,19070.16430484,10399.349875658167,19061.07465085001,0.0,-0.12339847699331585,179069950.0,19851022.666666668,159218954.37037036,11.667801000000104
Case1DConsolidation_PR_SW3F_Safety0p15_Xi0p10_T0p20,0.15,2,0.02,0.0025518439000000084,0.00223026115534001,-7.261663600000246e-05,49.93245536326,27674.10463072,14775.104670863208,49.932311399999605,9761.073240087,4905.7123689147,0.0,17919.17794569,9869.392096398771,17913.03097493,0.0,-0.009030246001202613,128017160.0,10600974.0,130351675.75127423,10.762607000000003
