case,part,time,region,total,status_elastic_count,status_converged_count,status_tension_count,status_line_search_count,status_failure_count,status_counts
baseline,26,0.013069,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,26,0.013069,edge,112,0,112,0,0,0,1:112
baseline,26,0.013069,interior,67,2,65,0,0,0,0:2|1:65
baseline,26,0.013069,lateral_boundary,192,0,192,0,0,0,1:192
baseline,26,0.013069,top_cap_zone,18,0,18,0,0,0,1:18
baseline,27,0.013572,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,27,0.013572,edge,112,0,112,0,0,0,1:112
baseline,27,0.013572,interior,67,2,65,0,0,0,0:2|1:65
baseline,27,0.013572,lateral_boundary,192,0,192,0,0,0,1:192
baseline,27,0.013572,top_cap_zone,18,0,18,0,0,0,1:18
baseline,28,0.014074,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,28,0.014074,edge,112,0,112,0,0,0,1:112
baseline,28,0.014074,interior,67,2,65,0,0,0,0:2|1:65
baseline,28,0.014074,lateral_boundary,192,0,192,0,0,0,1:192
baseline,28,0.014074,top_cap_zone,18,0,18,0,0,0,1:18
baseline,29,0.014577,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,29,0.014577,edge,112,0,112,0,0,0,1:112
baseline,29,0.014577,interior,67,2,61,0,4,4,-3:4|0:2|1:61
baseline,29,0.014577,lateral_boundary,192,0,192,0,0,0,1:192
baseline,29,0.014577,top_cap_zone,18,0,18,0,0,0,1:18
baseline,30,0.01508,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,30,0.01508,edge,112,0,112,0,0,0,1:112
baseline,30,0.01508,interior,67,2,65,0,0,0,0:2|1:65
baseline,30,0.01508,lateral_boundary,192,0,192,0,0,0,1:192
baseline,30,0.01508,top_cap_zone,18,0,18,0,0,0,1:18
baseline,31,0.015582,bottom_cap_zone,18,0,17,0,1,1,-3:1|1:17
baseline,31,0.015582,edge,112,0,112,0,0,0,1:112
baseline,31,0.015582,interior,67,2,65,0,0,0,0:2|1:65
baseline,31,0.015582,lateral_boundary,192,0,192,0,0,0,1:192
baseline,31,0.015582,top_cap_zone,18,0,18,0,0,0,1:18
baseline,32,0.016085,bottom_cap_zone,18,0,14,0,4,4,-3:4|1:14
baseline,32,0.016085,edge,112,0,112,0,0,0,1:112
baseline,32,0.016085,interior,67,2,65,0,0,0,0:2|1:65
baseline,32,0.016085,lateral_boundary,192,0,192,0,0,0,1:192
baseline,32,0.016085,top_cap_zone,18,0,17,0,1,1,-3:1|1:17
baseline,33,0.016588,bottom_cap_zone,18,0,17,0,1,1,-3:1|1:17
baseline,33,0.016588,edge,112,0,112,0,0,0,1:112
baseline,33,0.016588,interior,67,2,65,0,0,0,0:2|1:65
baseline,33,0.016588,lateral_boundary,192,0,192,0,0,0,1:192
baseline,33,0.016588,top_cap_zone,18,0,18,0,0,0,1:18
baseline,34,0.01709,bottom_cap_zone,18,0,13,0,5,5,-3:5|1:13
baseline,34,0.01709,edge,112,0,112,0,0,0,1:112
baseline,34,0.01709,interior,67,2,61,0,4,4,-3:4|0:2|1:61
baseline,34,0.01709,lateral_boundary,192,0,192,0,0,0,1:192
baseline,34,0.01709,top_cap_zone,18,0,18,0,0,0,1:18
baseline,35,0.017593,bottom_cap_zone,18,0,18,0,0,0,1:18
baseline,35,0.017593,edge,112,0,112,0,0,0,1:112
baseline,35,0.017593,interior,67,2,65,0,0,0,0:2|1:65
baseline,35,0.017593,lateral_boundary,192,0,192,0,0,0,1:192
baseline,35,0.017593,top_cap_zone,18,0,18,0,0,0,1:18
baseline,36,0.018096,bottom_cap_zone,18,0,14,0,4,4,-3:4|1:14
baseline,36,0.018096,edge,112,0,112,0,0,0,1:112
baseline,36,0.018096,interior,67,2,61,0,4,4,-3:4|0:2|1:61
baseline,36,0.018096,lateral_boundary,192,0,192,0,0,0,1:192
baseline,36,0.018096,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,0,0.0,bottom_cap_zone,18,18,0,0,0,0,0:18
slower_half_velocity,0,0.0,edge,112,112,0,0,0,0,0:112
slower_half_velocity,0,0.0,interior,63,63,0,0,0,0,0:63
slower_half_velocity,0,0.0,lateral_boundary,196,196,0,0,0,0,0:196
slower_half_velocity,0,0.0,top_cap_zone,18,18,0,0,0,0,0:18
slower_half_velocity,1,0.001005,bottom_cap_zone,18,10,0,8,0,8,-1:8|0:10
slower_half_velocity,1,0.001005,edge,112,24,60,28,0,28,-1:28|0:24|1:60
slower_half_velocity,1,0.001005,interior,63,7,20,36,0,36,-1:36|0:7|1:20
slower_half_velocity,1,0.001005,lateral_boundary,196,128,40,28,0,28,-1:28|0:128|1:40
slower_half_velocity,1,0.001005,top_cap_zone,18,5,13,0,0,0,0:5|1:13
slower_half_velocity,2,0.002011,bottom_cap_zone,18,0,0,18,0,18,-1:18
slower_half_velocity,2,0.002011,edge,112,0,52,56,4,60,-3:4|-1:56|1:52
slower_half_velocity,2,0.002011,interior,63,37,18,8,0,8,-1:8|0:37|1:18
slower_half_velocity,2,0.002011,lateral_boundary,196,152,36,8,0,8,-1:8|0:152|1:36
slower_half_velocity,2,0.002011,top_cap_zone,18,0,18,0,0,0,1:18
slower_half_velocity,3,0.003016,bottom_cap_zone,18,18,0,0,0,0,0:18
slower_half_velocity,3,0.003016,edge,112,56,56,0,0,0,0:56|1:56
slower_half_velocity,3,0.003016,interior,63,45,18,0,0,0,0:45|1:18
slower_half_velocity,3,0.003016,lateral_boundary,196,148,40,0,8,8,-3:8|0:148|1:40
slower_half_velocity,3,0.003016,top_cap_zone,18,0,18,0,0,0,1:18
