case,case_name,part,time,axial_strain_proxy,p_proxy,q_proxy,Fz_proxy,pairwise_reaction_avg,force_balance_error,status_elastic_count,status_converged_count,status_tension_count,status_line_search_count,status_failure_count,status_counts,yield_fraction,return_iterations_max,yield_residual_maxAbs,yield_residual_converged_maxAbs,MccPc_min,MccPc_mean,MccPc_max,MccVoidRatio_min,MccVoidRatio_mean,MccVoidRatio_max,MccPlasticVolStrain_mean,MccEqPlasticStrain_max,Kplastic_max,PorePress_mean,PorePress_std,PorePressRate_maxAbs,DivVel_maxAbs,velocity_max
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,2,0.002011,1.1086434700130487e-05,25.426044997633095,44.13617329419894,0.14106825006209753,0.18525545,0.560196,189,124,90,4,94,-3:4|-1:90|0:189|1:124,0.3046683046683047,18.0,4854.9863,2.7034219e-05,119.95744,119.9925442751843,120.01428,0.79997468,0.8000295233660925,0.80008036,-5.52314725932678e-06,6.6082372e-05,6.6082372e-05,-17176.27961036036,11603.608564782573,32233626.0,0.048406921,0.0026763300585035507
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,3,0.003016,2.4348700200099715e-05,53.538474123382485,43.656267064003146,0.2157788770328391,0.25444100000000003,0.0922924,267,132,0,8,8,-3:8|0:267|1:132,0.32432432432432434,17.0,5146.1426,7.4550197e-05,119.89353,119.98385304668304,120.01177,0.7999506,0.8000148566584764,0.80017138,-1.1963304336339072e-05,0.00014219701,0.00014219701,-12027.658391757268,22270.94114333634,35362404.0,0.05318502,0.002912211399865403
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,4,0.004022,3.9174196300034714e-05,45.135248755773965,52.60082866149924,0.2191712608242188,0.24994149999999998,0.0709263,238,169,0,0,0,0:238|1:169,0.4152334152334152,17.0,4791.0737,7.5805307e-05,119.81559,119.97402078624069,120.0181,0.7999509,0.8000369511793614,0.80027759,-1.9252135900245696e-05,0.0002254078,0.0002254078,-21628.82851293057,27640.63560321289,36112400.0,0.054320239,0.0030011759482884343
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,5,0.005027,5.4233118099988875e-05,38.74813051067976,60.36364331728651,0.21630217450011277,0.2304505,0.0894225,92,315,0,0,0,0:92|1:315,0.773955773955774,17.0,4175.9478,4.9058286e-05,119.73201,119.9585075429976,120.02208,0.79995048,0.8000642311302223,0.80039084,-3.075384111786238e-05,0.0003102521,0.0003102521,-32732.10894742241,33000.05559013663,35381416.0,0.053199489,0.0030481003162152916
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,6,0.006032,6.794108500005058e-05,46.6343701294496,63.46416766127609,0.24279335446225572,0.2516115,0.0131974,115,292,0,0,0,0:115|1:292,0.7174447174447175,17.0,4258.082,0.00011754097,119.64665,119.94335523341543,120.02704,0.79993993,0.8000759528746927,0.80050534,-4.199057804863639e-05,0.00039520997,0.00039520997,-38011.50481943369,40741.1575514165,34720412.0,0.052223813,0.003024412289137652
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,7,0.007038,8.046480600001904e-05,49.644111238083546,63.328987748578115,0.25150464821391566,0.2702195,0.00842437,92,315,0,0,0,0:92|1:315,0.773955773955774,18.0,4985.0015,6.6966451e-05,119.56303,119.93014800982778,120.03403,0.79992735,0.8000902285012297,0.80061615,-5.1789093074788716e-05,0.00047927976,0.00047927976,-44653.734871407076,45399.91124472404,33744660.0,0.050779324,0.0029930960709744717
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,8,0.008043,9.242061200009921e-05,46.04182915135138,62.6023693241874,0.23987159705560557,0.262774,0.0270949,80,323,0,4,4,-3:4|0:80|1:323,0.7936117936117936,17.0,5179.7754,0.00011217299,119.4812,119.91676000000014,120.04147,0.79991746,0.8001116710810816,0.80072504,-6.172234039859705e-05,0.00056314887,0.00056314887,-54092.21849216167,48003.281210066474,33923828.0,0.051058054,0.0029980537767223337
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,9,0.009048,0.00010412100400009061,45.15796008837839,61.858728045611194,0.23490083167080525,0.25324650000000004,0.0531213,80,311,0,16,16,-3:16|0:80|1:311,0.7641277641277642,17.0,5149.0244,8.3869454e-05,119.39887,119.90213670761682,120.04871,0.7999081,0.800131899484029,0.80083555,-7.257644164120395e-05,0.00064784108,0.00064784108,-62887.81365911355,51558.21332192141,34595732.0,0.052071668,0.0030161755234881208
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,10,0.010054,0.0001157877400000118,46.23284113808355,61.14844811185166,0.23578116125370366,0.2545065,0.0466011,68,331,0,8,8,-3:8|0:68|1:331,0.8132678132678133,17.0,5068.9512,7.3213792e-05,119.3153,119.88702972972978,120.05586,0.79989803,0.8001507383783786,0.80094784,-8.379337611771502e-05,0.00073334551,0.00073334551,-71041.08419107935,55006.973724868454,34930636.0,0.052582823,0.0030246325530133822
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,11,0.011059,0.0001274995460000261,45.6497974177723,61.40745617153854,0.234283617550877,0.2557545,0.0299286,48,349,0,10,10,-3:10|0:48|1:349,0.8574938574938575,17.0,4929.1465,8.9171932e-05,119.23088,119.87222606879617,120.06273,0.79988891,0.8001709422604422,0.80106145,-9.478786882805898e-05,0.00081930391,0.00081930391,-79698.929329411,57621.75773966507,35148784.0,0.052917819,0.003035806690491411
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,12,0.012064,0.00013932011400000222,45.38771040645373,61.344193325601196,0.23327742743835375,0.254186,0.0217177,36,371,0,0,0,0:36|1:371,0.9115479115479116,19.0,5040.9888,9.6122691e-05,119.14567,119.8574222604424,120.06937,0.79987991,0.800191038255528,0.80117625,-0.00010578678161960687,0.0009054424,0.0009054424,-88173.62077274949,60162.49974539328,35318784.0,0.053178813,0.0030374576051472686
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,13,0.01307,0.00015133465399996826,45.996702912465224,61.4356066759692,0.2351276303775044,0.253883,0.0199827,40,367,0,0,0,0:40|1:367,0.9017199017199017,17.0,5090.3223,9.2500508e-05,119.06015,119.8428576904177,120.07615,0.79987001,0.8002098776904186,0.80129129,-0.00011661219874889435,0.00099130231,0.00099130231,-96107.32987446123,62507.40728047703,35090672.0,0.052843023,0.0030278814047302086
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,14,0.014075,0.00016345346500010183,46.2363326482637,61.59819302642153,0.23627869075048583,0.25536749999999997,0.0220382,28,379,0,0,0,0:28|1:379,0.9312039312039312,17.0,5119.0088,9.12334e-05,118.97527,119.82846535626554,120.08308,0.79986012,0.8002288861916462,0.80140543,-0.00012731235581351358,0.0010763988,0.0010763988,-104077.40738690298,64115.46993365846,34590936.0,0.052099276,0.0030125116056588064
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,15,0.015081,0.00017555777499997371,46.000336562383296,61.73905366533953,0.23600983072788304,0.25516,0.0202618,28,378,0,1,1,-3:1|0:28|1:378,0.9287469287469288,18.0,5129.9019,0.00011416458,118.89149,119.81413882063912,120.08991,0.799851,0.8002482968550365,0.80151808,-0.00013796571262383284,0.001160587,0.001160587,-112202.90761516849,65270.3864360041,34174604.0,0.051478021,0.00299938999141803
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,16,0.016086,0.00018765310000001811,46.04786269478299,61.727085039650625,0.23606086743583027,0.2549355,0.0182646,28,379,0,0,0,0:28|1:379,0.9312039312039312,18.0,5110.8809,0.00010613104,118.80864,119.79983601965593,120.09663,0.79984206,0.8002673888697798,0.80162966,-0.0001486051639474202,0.0012439527,0.0012439527,-120195.48371793107,66340.94771106276,33865804.0,0.0510161,0.002987136334939378
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,17,0.017091,0.00019967892200004056,46.256952122284986,61.74137486506198,0.23657185504314324,0.25522500000000004,0.0160899,28,379,0,0,0,0:28|1:379,0.9312039312039312,18.0,5085.6553,0.0001083764,118.72661,119.78559358722359,120.10335,0.79983312,0.8002862263882066,0.80174023,-0.000159202073290172,0.0013265298,0.0013265298,-128086.15824625317,67231.7547496129,33538560.0,0.050525989,0.002973230419961045
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,18,0.018097,0.0002117177400001724,46.23957666759213,61.78087010807123,0.2365521464082903,0.25542200000000004,0.0147402,20,387,0,0,0,0:20|1:387,0.9508599508599509,17.0,5073.6743,0.00010679557,118.64546,119.77138429975417,120.11004,0.79982418,0.8003052886486497,0.8018496,-0.0001697780268029485,0.0014082969,0.0014082969,-136048.92888759318,67847.87719719496,33200334.0,0.050018966,0.0029591888113532617
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,19,0.019002,0.00022257155600002854,46.15384249483205,61.80398164065827,0.23631840180233085,0.2552135,0.0140374,20,387,0,0,0,0:20|1:387,0.9508599508599509,17.0,5061.8936,0.0001024187,118.57318,119.75859968058981,120.11599,0.79981613,0.8003225112530702,0.80194706,-0.0001792970782646191,0.0014812124,0.0014812124,-143174.58202338187,67426.88282996428,32929788.0,0.049604475,0.002947336224044057
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,20,0.020007,0.00023458796100009338,46.186976429827986,61.833423540563025,0.23638714853181117,0.2551135,0.0135091,20,387,0,0,0,0:20|1:387,0.9508599508599509,17.0,5035.2402,0.0001008082,118.49364,119.74441471744487,120.12255,0.79980719,0.8003415166584772,0.80205441,-0.0001898607570429976,0.0015615075,0.0015615075,-151091.40092195873,67798.46548421933,32625782.0,0.049148191,0.0029344089649385226
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,21,0.021012,0.0002466518470001233,46.261537181400534,61.878764356481334,0.236604157017679,0.2551135,0.0135091,20,387,0,0,0,0:20|1:387,0.9508599508599509,18.0,4999.8037,0.0001007375,118.41495,119.73027154791149,120.12911,0.79979825,0.8003604082063863,0.80216068,-0.00020039686938845216,0.0016410444,0.0016410444,-158967.17317380142,68041.24886615419,32304376.0,0.048665792,0.002921683045307073
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,22,0.022018,0.0002587321220000327,46.25965685158891,61.926264248244706,0.23662752781858978,0.255331,0.0119977,20,387,0,0,0,0:20|1:387,0.9508599508599509,18.0,4961.6626,9.9255682e-05,118.33709,119.71615742014741,120.13563,0.79978931,0.8003793260933662,0.80226588,-0.00021091415032407855,0.0017198329,0.0017198329,-166858.87399238063,68155.23975766907,31994306.0,0.048200134,0.0029097426822490492
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,23,0.023023,0.0002707799700001068,46.25200401001635,61.96067275708081,0.2366046600542029,0.255331,0.0119977,16,391,0,0,0,0:16|1:391,0.9606879606879607,19.0,4917.542,9.785367e-05,118.26006,119.70205869778879,120.14211,0.79978079,0.8003982671253064,0.80237007,-0.0002214240623289926,0.0017979105,0.0017979105,-174744.81621969063,68197.15867703677,31712624.0,0.047776777,0.0028984617064789202
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,24,0.024028,0.00028277823000008584,46.28142640019656,61.97942968167329,0.23665437676271533,0.255301,0.0109208,16,391,0,0,0,0:16|1:391,0.9606879606879607,19.0,4871.564,9.7631782e-05,118.18376,119.68795879606867,120.14853,0.79977244,0.8004171531695339,0.80247337,-0.0002319362584481575,0.0018753153,0.0018753153,-182614.35975971,68179.32262400084,31445098.0,0.047374558,0.002887400991413673
slower_half_velocity,CaseM3d2_MCCMildSlowerHalfVelocity,25,0.025034,0.00029481767000003045,46.27696489951675,61.99551677862119,0.2366156785905995,0.2552995,0.00938341,16,391,0,0,0,0:16|1:391,0.9606879606879607,17.0,4834.3491,9.7272808e-05,118.10819,119.67386287469293,120.15494,0.7997641,0.8004360705405406,0.80257565,-0.00024245088602850126,0.0019520735,0.0019520735,-190499.2793118427,68080.35876844852,31183758.0,0.046981595,0.0028766595375321583
