case,part,time,particle_count,porepress_mean,excess_mean,porepressrate_mean,divvel_mean,velocity_max,top_z_mean,axial_strain_top_proxy,axial_strain_height_proxy,kplastic_max,fi_min,fi_mean,fi_median,fi_p95,fi_max,fi_selected_count,label,porepress_std,porepressrate_maxabs,divvel_std
CaseT4c_RawStagedLoading,0,0.0,407,0.0,,0.0,0.0,0.0,,-0.0,-0.0,0.0,,,,,,,raw staged,0.0,0.0,0.0
CaseT4c_RawStagedLoading,1,0.000503,407,0.0,,0.0,0.0,0.0,,-0.0,-0.0,0.0,,,,,,,raw staged,0.0,0.0,0.0
CaseT4c_RawStagedLoading,2,0.000704,407,344.2713466604,,2733914.3244963144,-0.004100871681744472,0.0003652695398979868,,-0.0,-3.037926799009938e-08,0.0,,,,,,,raw staged,230.9816186807683,5890176.5,0.002697144501681457
CaseT4c_RawStagedLoading,3,0.000804,407,812.2326969033118,,4654371.297297297,-0.006981557350614251,0.0013246969076224017,,-2.9905405415919795e-07,-4.189587698988362e-07,0.0,,,,,,,raw staged,684.3254443197942,18739936.0,0.007149467194037786
CaseT4c_RawStagedLoading,4,0.000905,407,1423.7863845845056,,6082615.586289926,-0.009123923995085995,0.0048495826766531015,,-1.1802702705454582e-06,-1.5689848799349537e-06,0.0,,,,,,,raw staged,2521.2394265985786,67346088.0,0.02833804934964771
CaseT4c_RawStagedLoading,5,0.001005,407,3368.9612620846747,,19348078.785847668,-0.029022120166584765,0.01952973608328782,,-3.1025675678586495e-06,-3.7828035000242455e-06,0.0,,,,,,,raw staged,10719.10454620679,277422720.0,0.12348836104436837
CaseT4c_RawStagedLoading,6,0.001206,407,19631.62488576278,,109659628.88525799,-0.16448950364840298,0.33767561961572606,,-8.027972973057018e-06,-2.6969112000008177e-05,0.0,,,,,,,raw staged,214287.61110782513,5045583900.0,2.496990524527996
CaseT4c_RawStagedLoading,7,0.001306,407,43070.61409029881,,234745301.7027027,-0.35211927563144974,1.4453002448137633,,1.9436216216056623e-05,-9.154850699993888e-05,0.0,,,,,,,raw staged,967423.3977196747,21873854000.0,11.325746701353918
CaseT4c_RawStagedLoading,8,0.001404,407,-1781.972889115567,,-231604405.42997542,0.34737976943488896,6.0699321012177085,,0.00021627175675664745,-0.00036746632999989925,0.0,,,,,,,raw staged,362613.8952359851,92803047000.0,50.59182078954232
CaseT4c_RawStagedLoading,9,0.001535,407,-1748684.8266349856,,-23815273525.061424,35.72207897248157,19.278478009317176,,0.001238339594594462,-0.0006087819399999694,0.0,,,,,,,raw staged,10266387.88265962,313739480000.0,164.50072127773706
CaseT4c_RawStagedLoading,10,0.001628,407,-18483001.737520207,,-420155257049.38574,630.2233985970515,108.74542958272153,,0.0063854668918919555,-0.00343847019999996,0.0,,,,,,,raw staged,19473896.930369124,2405674300000.0,1009.4000997696799
CaseT4c_RawStagedLoading,11,0.001754,407,-119019015.65698794,,-1065552679503.6855,1598.2897015110566,215.04752770555092,,0.02794949391891885,-0.020501067999999928,0.0,,,,,,,raw staged,38238792.373134986,3120871500000.0,1038.5446949670943
CaseT4c_RenormStagedLoading,0,0.0,407,0.0,,0.0,0.0,0.0,,-0.0,-0.0,0.0,,,,,,,renormalized staged,0.0,0.0,0.0
CaseT4c_RenormStagedLoading,1,0.000503,407,0.0,,0.0,0.0,0.0,,-0.0,-0.0,0.0,,,,,,,renormalized staged,0.0,0.0,0.0
CaseT4c_RenormStagedLoading,2,0.000704,407,691.8907837254117,,5495024.608108108,-0.008242537462776414,0.0007316452131505621,,-6.74324326932485e-08,-1.6106775996282963e-07,0.0,,,,,,,renormalized staged,463.81457021834507,11788898.0,0.005415763702648772
CaseT4c_RenormStagedLoading,3,0.000804,407,1633.53791019604,,9365695.801719902,-0.014048544672727273,0.0026494451413512947,,-6.350000000820977e-07,-9.404805098589542e-07,0.0,,,,,,,renormalized staged,1373.6429243148752,37487412.0,0.014346373962909355
CaseT4c_RenormStagedLoading,4,0.000905,407,2866.1089358187883,,12259516.35970516,-0.018389276014250614,0.009690301134028325,,-2.3879729731113297e-06,-3.1471320999232333e-06,0.0,,,,,,,renormalized staged,5057.433882306166,134654750.0,0.05683573625345049
CaseT4c_RenormStagedLoading,5,0.001005,407,6782.531098061534,,38958113.843734644,-0.05843717309999999,0.03901774160388733,,-6.245405405613802e-06,-7.586347199883825e-06,0.0,,,,,,,renormalized staged,21497.033800778336,554635780.0,0.2476665570118158
CaseT4c_RenormStagedLoading,6,0.001206,407,39393.50400982261,,219827495.54078627,-0.32974152343538077,0.6733013985357823,,-1.6371486486616016e-05,-5.3979527999958865e-05,0.0,,,,,,,renormalized staged,428863.555498384,10065341000.0,5.002447543855473
CaseT4c_RenormStagedLoading,7,0.001305,407,82279.22550358235,,432495453.32186735,-0.6487484741056511,2.8575625048042443,,3.730135135104895e-05,-0.00018180331299993968,0.0,,,,,,,renormalized staged,1919338.2994804427,43250512000.0,22.570140841684868
CaseT4c_RenormStagedLoading,8,0.0014,407,-75211.85767389687,,-1281037463.120393,1.9214525978132682,11.576979708444982,,0.00040502256756738686,-0.0007078093399999486,0.0,,,,,,,renormalized staged,695124.1360750216,176367420000.0,98.46559935954056
CaseT4c_RenormStagedLoading,9,0.001502,407,-3668601.0475216755,,-88010753828.00983,132.01173952088453,38.05244077187042,,0.0018820456756755977,-0.0014166609699999,0.0,,,,,,,renormalized staged,15883395.739156844,801292810000.0,396.92306085025405
CaseT4c_RenormStagedLoading,10,0.001626,407,-57587452.03672656,,-794950891253.0713,1192.40637980344,177.9486748797877,,0.013990186486486367,-0.006773847199999933,0.0,,,,,,,renormalized staged,32231939.786108814,2518773400000.0,850.8710539579904
CaseT4c_RenormStagedLoading,11,0.001752,407,-188624709.57416245,,-1268664803336.6094,1902.9851723341524,212.1679892028032,,0.04235288081081062,-0.037735049999999964,0.0,,,,,,,renormalized staged,18026758.40608061,3077575000000.0,1145.4797059146774
CaseT4c_RawStagedGentleLoading,0,0.0,407,0.0,,0.0,0.0,0.0,,-0.0,-0.0,0.0,,,,,,,raw staged gentle,0.0,0.0,0.0
CaseT4c_RawStagedGentleLoading,1,0.000503,407,0.0,,0.0,0.0,0.0,,-0.0,-0.0,0.0,,,,,,,raw staged gentle,0.0,0.0,0.0
CaseT4c_RawStagedGentleLoading,2,0.000704,407,344.2713466604,,2733914.3244963144,-0.004100871681744472,0.0003652695398979868,,-0.0,-3.037926799009938e-08,0.0,,,,,,,raw staged gentle,230.9816186807683,5890176.5,0.002697144501681457
CaseT4c_RawStagedGentleLoading,3,0.000804,407,812.2326969033118,,4654371.297297297,-0.006981557350614251,0.0013246969076224017,,-2.9905405415919795e-07,-4.189587698988362e-07,0.0,,,,,,,raw staged gentle,684.3254443197942,18739936.0,0.007149467194037786
CaseT4c_RawStagedGentleLoading,4,0.000905,407,1423.7863845845056,,6082615.586289926,-0.009123923995085995,0.0048495826766531015,,-1.1802702705454582e-06,-1.5689848799349537e-06,0.0,,,,,,,raw staged gentle,2521.2394265985786,67346088.0,0.02833804934964771
CaseT4c_RawStagedGentleLoading,5,0.001005,407,3368.9612620846747,,19348078.785847668,-0.029022120166584765,0.01952973608328782,,-3.1025675678586495e-06,-3.7828035000242455e-06,0.0,,,,,,,raw staged gentle,10719.10454620679,277422720.0,0.12348836104436837
CaseT4c_RawStagedGentleLoading,6,0.001206,407,19631.62488576278,,109659628.88525799,-0.16448950364840298,0.33767561961572606,,-8.027972973057018e-06,-2.6969112000008177e-05,0.0,,,,,,,raw staged gentle,214287.61110782513,5045583900.0,2.496990524527996
CaseT4c_RawStagedGentleLoading,7,0.001306,407,43070.61409029881,,234745301.7027027,-0.35211927563144974,1.4453002448137633,,1.9436216216056623e-05,-9.154850699993888e-05,0.0,,,,,,,raw staged gentle,967423.3977196747,21873854000.0,11.325746701353918
CaseT4c_RawStagedGentleLoading,8,0.001404,407,-1781.972889115567,,-231604405.42997542,0.34737976943488896,6.0699321012177085,,0.00021627175675664745,-0.00036746632999989925,0.0,,,,,,,raw staged gentle,362613.8952359851,92803047000.0,50.59182078954232
CaseT4c_RawStagedGentleLoading,9,0.001535,407,-1748684.8266349856,,-23815273525.061424,35.72207897248157,19.278478009317176,,0.001238339594594462,-0.0006087819399999694,0.0,,,,,,,raw staged gentle,10266387.88265962,313739480000.0,164.50072127773706
CaseT4c_RawStagedGentleLoading,10,0.001628,407,-18483001.97615139,,-420155266953.31696,630.22341495086,108.74542958272153,,0.0063854668918919555,-0.00343847019999996,0.0,,,,,,,raw staged gentle,19473896.901553858,2405674300000.0,1009.4000958293022
CaseT4c_RawStagedGentleLoading,11,0.001754,407,-119019017.66583794,,-1065552699348.8944,1598.2897381793612,215.04752770555092,,0.027949483918918855,-0.020501067999999928,0.0,,,,,,,raw staged gentle,38238792.37408099,3120871200000.0,1038.5446914811814
