step,time,feedback_factor,feedback_applied,feedback_class_skipped,feedback_raw_max,feedback_raw_mean,feedback_used_max,feedback_used_mean,feedback_confining_ref,feedback_limited,feedback_relaxed,case,label,route,feedback
81,0.00562191,1.0,51,356,105384.0,78223.8,105384.0,78223.8,1.93766,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
82,0.00562893,1.0,51,356,122913.0,58849.5,122913.0,58849.5,1.93643,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
83,0.00563589,1.0,51,356,276301.0,125052.0,276301.0,125052.0,1.93523,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
84,0.0056429,1.0,51,356,423870.0,207314.0,423870.0,207314.0,1.93407,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
85,0.00565013,1.0,51,356,562930.0,291430.0,562930.0,291430.0,1.93294,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
86,0.00565777,1.0,51,356,691593.0,373384.0,691593.0,373384.0,1.93187,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
87,0.00566611,1.0,51,356,822850.0,450481.0,822850.0,450481.0,1.93088,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
88,0.0056756,1.0,51,356,939289.0,518690.0,939289.0,518690.0,1.93001,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
89,0.00568716,1.0,51,356,1019100.0,568976.0,1019100.0,568976.0,1.92942,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
90,0.00570031,1.0,51,356,568816.0,329075.0,568816.0,329075.0,1.92946,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
91,0.00571392,1.0,51,356,485488.0,290890.0,485488.0,290890.0,1.93016,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
92,0.00572799,1.0,51,356,350528.0,218485.0,350528.0,218485.0,1.93141,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
93,0.00574167,1.0,51,356,199340.0,122288.0,199340.0,122288.0,1.93309,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
94,0.00575506,1.0,51,356,49251.9,32711.2,49251.9,32711.2,1.93506,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
95,0.00576696,1.0,51,356,208906.0,99982.6,208906.0,99982.6,1.93697,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
96,0.00577847,1.0,51,356,367482.0,195080.0,367482.0,195080.0,1.93882,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
97,0.00579026,1.0,51,356,505000.0,281110.0,505000.0,281110.0,1.94057,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
98,0.0058031,1.0,51,356,618127.0,352389.0,618127.0,352389.0,1.94214,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
99,0.00581743,1.0,51,356,687839.0,395735.0,687839.0,395735.0,1.9433,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
100,0.00583245,1.0,51,356,434621.0,255992.0,434621.0,255992.0,1.94365,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
101,0.00584821,1.0,51,356,323582.0,211164.0,323582.0,211164.0,1.94309,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
102,0.00586391,1.0,51,356,166654.0,135182.0,166654.0,135182.0,1.94171,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
103,0.00587963,1.0,51,356,97448.4,56933.4,97448.4,56933.4,1.93964,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
104,0.00589506,1.0,51,356,241764.0,97018.0,241764.0,97018.0,1.93716,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
105,0.00590982,1.0,51,356,407878.0,177826.0,407878.0,177826.0,1.93463,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
106,0.00592444,1.0,51,356,530486.0,253673.0,530486.0,253673.0,1.93228,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
107,0.00593937,1.0,51,356,599391.0,302844.0,599391.0,302844.0,1.93032,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
108,0.00595478,1.0,51,356,602022.0,312714.0,602022.0,312714.0,1.92906,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
109,0.00597157,1.0,51,356,519298.0,270548.0,519298.0,270548.0,1.92883,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
110,0.00598838,1.0,51,356,168424.0,71366.0,168424.0,71366.0,1.92988,0,0,CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed
