case,label,route,feedback,frame,time,region,region_count,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,p_eff_compression_proxy_mean,q_proxy_mean,porepress_mean,porepress_min,porepressrate_maxabs,divvel_maxabs,velocity_max
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,6,0.00181,bottom_cap,18,2.1717206722222224,2.171720461111111,-57.38097566666667,17.67917817777778,71.17033756314758,-16918.264884944445,-18796.97843836,39127020.0,0.058780503,0.0023363293
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,6,0.00181,edge,112,42.35813092857143,42.35813109821429,41.116481964285704,-41.94424799702381,45.4574525817221,-34061.26203068616,-37187.38501577,11306207.0,0.016987663,0.0004964562658450708
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,7,0.002011,interior,63,2.6687008857142858,2.6686993493650806,-36.73960352222223,10.467401095714285,43.68167189135675,-15488.963225797856,-21178.07683223,36968168.0,0.055578481,0.00046967011000000145
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,7,0.002011,lateral,196,-19.878488062755103,-19.878487761224488,-23.491979756122447,21.082985193367346,23.595589415149853,-13562.4920270116,-18849.86606311,28108734.0,0.042248275,0.0010266702276306976
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,7,0.002011,top_cap,18,-12.518079455555556,-12.518080805555556,-89.08674583333334,38.04096869814815,91.40947223775153,-8788.55639760533,-11062.29935858,44174260.0,0.066412851,0.002253118
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,7,0.002011,bottom_cap,18,-12.518079066666665,-12.518079144444446,-89.08674172222221,38.040966644444445,91.4094698386941,-8788.556747866332,-11062.29976585,44174260.0,0.066412851,0.002253118
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,7,0.002011,edge,112,40.63711845535715,40.63711862500001,38.87796432142857,-40.05073380059524,54.71671439648133,-33294.32051319214,-38225.4810423,17118524.0,0.025602723,0.00041296891905829447
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,8,0.002312,interior,63,-19.578387698412698,-19.5783889047619,-59.98526217460317,33.047346259259264,48.50521713551174,-6459.644692018899,-12117.47035305,36304508.0,0.054416895,0.0004983652000000049
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,8,0.002312,lateral,196,-39.20289527127551,-39.20289476071429,-35.49540300510204,37.967064345697274,31.31650654046609,-6812.766218347893,-12929.37342182,29503192.0,0.044271901,0.0009047293945144988
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,8,0.002312,top_cap,18,-36.65369588888889,-36.65369688888889,-133.68469111111114,68.9973612962963,115.89576306922898,3559.873346075611,1119.239423979,42678160.0,0.064251535,0.0018996352455410534
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,8,0.002312,bottom_cap,18,-36.65369622222222,-36.65369577777777,-133.68468500000003,68.99735899999999,115.89575811837082,3559.871979258667,1119.239324391,42678160.0,0.064251535,0.0018996351423362769
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,8,0.002312,edge,112,32.461409107142856,32.46140934821428,30.661385348214285,-31.861401267857143,64.98352969805555,-29999.290923677767,-37838.79774372,19756732.0,0.029541872,0.0006420382005074641
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,9,0.002513,interior,63,-32.49297433333333,-32.49297534920635,-73.72120723809523,46.23571897354496,52.31046335491539,-2495.5561739337036,-3296.33296546,34583680.0,0.051863104,0.0004613816600000067
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,9,0.002513,lateral,196,-50.02901237755102,-50.02901189897959,-42.49808489285714,47.51870305646259,36.432210430874505,-4369.189866657291,-8622.405271412,26709684.0,0.040066101,0.0007273891691268701
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,9,0.002513,top_cap,18,-51.465889499999996,-51.465890833333326,-157.3367238888889,86.75616807407408,126.55049106151222,-2234.9056846886892,-5976.434600768,36669300.0,0.055032175,0.001776846436381847
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,9,0.002513,bottom_cap,18,-51.46589072222222,-51.46589016666667,-157.33671722222223,86.75616603703705,126.55048496712182,-2234.906611852872,-5976.435872916,36669316.0,0.055032194,0.0017768463361407297
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,9,0.002513,edge,112,24.95600304464286,24.956003419642855,23.864119860803573,-24.592042108363096,68.6990572065879,-18130.77623754518,-25693.69338144,17362024.0,0.026027836,0.0007512080669949903
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,10,0.002815,interior,63,-44.645692269841284,-44.64569357142858,-88.47879615873015,59.256727333333345,58.37388532413876,2708.1064689254285,656.4795924803,24080160.0,0.036154404,0.0004747210908889071
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,10,0.002815,lateral,196,-60.66030251020408,-60.66030214285714,-49.88243175000001,57.067678801020406,41.87630653937582,-550.5051529082633,-5345.186319582,17485836.0,0.026251627,0.00038489981804817945
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,10,0.002815,top_cap,18,-68.2433027777778,-68.24330405555557,-179.05503277777777,105.18054653703705,132.6655241783362,5115.8380642296115,2273.701173039,23624660.0,0.035553031,0.001597024238172719
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,10,0.002815,bottom_cap,18,-68.24330350000001,-68.24330244444444,-179.0550238888889,105.18054327777777,132.66551802390313,5115.836109326444,2273.696766663,23624650.0,0.035553016,0.0015970239252783031
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,10,0.002815,edge,112,13.128105364285712,13.128105599107142,14.385721714285713,-13.547310892559523,69.33279769278283,-13702.525213156598,-22118.89713824,18413734.0,0.027569143,0.0008236799369983325
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,11,0.003016,interior,63,-46.68513266666668,-46.685133714285726,-93.53113047619047,62.30046561904763,62.2653795399748,3922.024291728746,1177.036172805,14101653.0,0.021214455,0.0005306854347199375
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,11,0.003016,lateral,196,-63.35047140816328,-63.3504710765306,-52.26639450510204,59.655778996598634,43.57535198312022,484.82466212295145,-5215.516722733,9552078.0,0.014362154,0.00043197598840701826
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,11,0.003016,top_cap,18,-74.68476655555554,-74.68476783333332,-183.360995,110.91017646296297,130.3686227431946,7391.952081862055,5031.780522143,15011778.0,0.022672327,0.0015039226607254175
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,11,0.003016,bottom_cap,18,-74.68476766666666,-74.68476505555556,-183.3609827777778,110.91017183333332,130.3686151959932,7391.949975455722,5031.77320018,15011777.0,0.022672325,0.0015039227291435446
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,11,0.003016,edge,112,5.962263552321429,5.9622636914285705,9.633280923214286,-7.1859360556547625,66.87933793825347,-11151.062368318891,-19285.09506385,17464778.0,0.026136989,0.0008257361208481825
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,12,0.003318,interior,63,-40.68546415873014,-40.685465126984106,-94.0301020634921,58.46701044973545,68.21274297036842,2384.2277184786217,-1843.578443213,19373006.0,0.029063016,0.0006030999650493166
CaseT4m_T4lReference_FeedbackOff,"T4l lateral+cap, feedback off",lateral_cap,off,12,0.003318,lateral,196,-60.86631583928573,-60.866315825510206,-52.01397191836735,57.91553452772108,43.710046174656135,-210.258169484474,-8151.833113504,12700448.0,0.019129705,0.0005695992421116078
