case,label,route,feedback,frame,time,particle_count,center_count,velocity_max,divvel_maxabs,porepress_min,porepress_mean,porepress_center_mean,excess_center_mean,porepressrate_maxabs,porepressrate_center_mean,negative_pressure_count,kplastic_max,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,p_eff_compression_proxy_mean,q_proxy_mean
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,4,0.001307,407,45,0.0005046642823271004,0.03118398,-33399.42784628,-23574.563550192506,-28666.593421902664,-28666.593421902664,20824992.0,-14832960.111111112,407,0.0,12.390992573538082,12.390992162457001,2.0272552401965602,-8.936413325397217,15.40318321288733
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,5,0.001508,407,45,0.0007183792213336582,0.033080675,-30027.0166869,-23105.067075953048,-28212.381087676,-28212.381087676,22056930.0,-1293552.6355555553,407,0.0,8.84480840294103,8.84480796458231,-0.39797842432432423,-5.763879314399673,14.092218510453883
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,6,0.00181,407,45,0.001013614232969593,0.050710183,-27930.00351334,-17671.17228289516,-24393.637595592,-24393.637595592,33779872.0,19176152.088888887,407,0.0,-6.0267139513513515,-6.02671437027027,-11.409150811400492,7.820859711007372,11.372887540884554
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,7,0.002011,407,45,0.0011043684359660847,0.053502753,-23013.9670849,-12673.409395473042,-19031.071681868,-19031.071681868,35681600.0,28794747.82222222,407,0.0,-19.718695042604423,-19.718695525626533,-21.50841519724816,20.315268588493037,10.510289895801742
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,8,0.002312,407,45,0.0010122877039856308,0.055827338,-15091.42146496,-4917.571725111447,-9047.795894313978,-9047.795894313978,37263912.0,33948966.57777778,359,0.0,-41.08722654299754,-41.08722717936118,-36.94014132555283,39.70486501597052,13.473127399574317
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,9,0.002514,407,45,0.0008512253479789106,0.054664779,-2863.034184943,-460.31913785082617,-1807.5260083254484,-1807.5260083254484,36459900.0,31124067.555555556,235,0.0,-53.42823371498772,-53.428234238329246,-45.53764461425062,50.798037522522534,16.55576935110632
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,10,0.002815,407,45,0.0005171342056330372,0.038848333,1469.725515884,4032.333707459683,5452.311012562845,5452.311012562845,25891166.0,19794390.222222224,0,0.0,-66.15337092137592,-66.15337133660934,-53.782270069889435,62.02967077595823,20.365470866207737
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,11,0.003016,407,45,0.0003779474757236415,0.022505561,2192.424300745,5298.124685182781,7917.75552904149,7917.75552904149,14981213.0,9668967.433333334,0,0.0,-69.96413717690417,-69.96413767076167,-55.6541709046683,65.19414858411139,22.020628183812285
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,12,0.003318,407,45,0.0005565452488293405,0.021945195,1080.544802754,4598.2095210535235,7713.8217709494,7713.8217709494,14630883.0,-5702811.046666667,0,0.0,-68.6089644103194,-68.60896463882064,-53.11515397395578,63.44436100769861,23.444910240101123
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,13,0.003519,407,45,0.0006538864053247536,0.032565687,-104.8323706148,2494.4107817687664,3786.1814114363556,3786.1814114363556,21704298.0,-14628905.688888889,10,0.0,-63.541696828009826,-63.54169694103194,-48.379174235872235,58.48752266830467,23.838029770763644
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,14,0.003821,407,45,0.0007707802477660204,0.039569575,-7175.52830131,-2006.0995485246922,-2626.256330004736,-2626.256330004736,26385636.0,-23873891.777777776,307,0.0,-51.64824992383292,-51.648249832923824,-38.412237062899266,47.236245606552,23.826024829840946
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,15,0.004022,407,45,0.0007919701591042447,0.045493659,-11975.69913727,-5406.7074907363485,-7791.8790719818,-7791.8790719818,30323622.0,-25992152.444444444,375,0.0,-42.49615675233415,-42.496156308108105,-31.211862342358724,38.734725134266995,23.632111734740903
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,16,0.004323,407,45,0.0006471261100000001,0.042375632,-17061.98742172,-9964.065290535365,-15065.710216707777,-15065.710216707777,28223804.0,-22270684.111111112,383,0.0,-30.00834532528256,-30.008344770196558,-22.00729852825553,27.34132954124488,23.186334963648694
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,17,0.004524,407,45,0.0005166034108891721,0.032215334,-19167.23544807,-12750.473034314165,-17555.94661692622,-17555.94661692622,21456690.0,-15632438.155555556,407,0.0,-24.09545757653563,-24.095456934171988,-18.115799366535626,22.10223795908108,22.586222463474723
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,18,0.004826,407,45,0.0006061879805038181,0.014678917,-21984.99327179,-13864.137214310707,-19546.494920666442,-19546.494920666442,9781860.0,-1756934.937777778,407,0.0,-20.58473597108108,-20.584735442260445,-16.78476038034398,19.318077264561833,20.557547969194264
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,19,0.005027,407,45,0.0006574915593533819,0.021400886,-21198.67213246,-13225.009809741146,-18464.20049449911,-18464.20049449911,14248622.0,7661851.9,407,0.0,-21.954502262211303,-21.95450177085995,-18.83868378208108,20.91589593838411,18.61148760417335
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,20,0.005329,407,45,0.0006291784676998829,0.031112947,-16333.25737084,-10701.583364156324,-13950.926710633334,-13950.926710633334,20757270.0,17935462.155555554,407,0.0,-28.271038739164617,-28.271038284594592,-25.131311687100734,27.224462903619983,15.94610201708725
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,21,0.00553,407,45,0.0006574560976772108,0.037431512,-12122.45283154,-8356.353365358587,-9333.916905859844,-9333.916905859844,24965778.0,21017278.222222224,407,0.0,-34.09367303257986,-34.09367272068796,-30.46965947243243,32.885668408566744,14.98903567585617
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,22,0.005831,407,45,0.0005711623841625292,0.036870461,-9293.982893517,-4901.599104327551,-3087.0990873804226,-3087.0990873804226,24571392.0,19832267.777777776,407,0.0,-43.044736096314494,-43.044735956265356,-38.47819356117936,41.52255520458641,15.053023795309917
CaseT4m_AllSurface_FeedbackOff,"all-surface f_i, feedback off",all_surface,off,23,0.006032,407,45,0.00043270917005006526,0.03047579,-9328.680944399,-2960.174832450662,328.98472490932954,328.98472490932954,20295862.0,15868844.355555555,354,0.0,-48.06739637886978,-48.06739631916461,-42.99355636461917,46.37611635421785,15.649259885861445
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,0,407.0,407,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-50.0,-50.0,-50.0,50.0,0.0
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,1,0.000503,407,45,0.0009475904618069796,0.030540999,-10235.56260894,-7426.230126886059,-7262.052970152578,-7262.052970152578,20360664.0,-14445734.555555556,407,0.0,-30.282442368550363,-30.282442484029485,-33.738386206388206,31.43442368632269,5.4967249700762615
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,2,0.000804,407,45,0.000951954400000002,0.057345718,-22228.70963019,-15996.137665167927,-16359.068464996892,-16359.068464996892,38199752.0,-30561770.577777777,407,0.0,-7.547783732791155,-7.547784097270268,-14.933390712800982,10.009652847620803,11.54411625910701
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,3,0.001005,407,45,0.0008259686969539222,0.043448634,-28477.56384777,-20336.973691763316,-22024.017725657995,-22024.017725657995,28930016.0,-26981699.333333332,407,0.0,3.935440932850123,3.9354404476658473,-5.343566655823096,-0.8424382415642916,14.186576635166894
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,4,0.001307,407,45,0.00047070262175308227,0.028912935,-32195.7254354,-22669.4876523273,-27631.657779052668,-27631.657779052668,19309354.0,-13412842.266666668,407,0.0,9.991513333906633,9.991512746609336,0.03814432912285013,-6.673723469879606,14.825797203733183
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,5,0.001508,407,45,0.0006966030390559077,0.032512479,-28760.05407177,-22092.997717037986,-27013.305446553997,-27013.305446553997,21678056.0,-447610.00599999994,407,0.0,6.236975837346438,6.236975321867322,-2.5761602926781326,-3.2992636221785423,13.525647021950805
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,6,0.00181,407,45,0.0009572982767098332,0.048201002,-26604.47860879,-16833.700448792948,-23244.558046405775,-23244.558046405775,32108366.0,18445560.466666665,407,0.0,-8.147150893611794,-8.147151281081081,-13.252641818167568,9.848981330953482,10.986085377234007
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,7,0.002011,407,45,0.0010291073842891402,0.049717825,-21966.3054001,-12129.393884608233,-18198.739391794446,-18198.739391794446,33158802.0,26950010.222222224,407,0.0,-21.02982322039312,-21.029823584742015,-22.7696014419656,21.609749415700243,10.19644117414027
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,8,0.002312,407,45,0.0009256604482022655,0.050968643,-14919.61217074,-4964.014181822567,-9017.978736725621,-9017.978736725621,34022916.0,30982964.133333333,359,0.0,-40.76250357739558,-40.76250394348895,-37.04459501474201,39.52320084520885,12.76410421284016
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,9,0.002514,407,45,0.0007689427432525089,0.049237844,-3421.473373007,-933.4651636438268,-2386.3055788552,-2386.3055788552,32841806.0,28013402.48888889,271,0.0,-51.975183550368556,-51.97518399262899,-44.873845651105654,49.608071064701065,15.51314159818935
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,10,0.002815,407,45,0.00045816208363245363,0.034376148,530.9210984908,3090.249061712026,4065.1058672532668,4065.1058672532668,22912052.0,17451937.355555557,0,0.0,-63.36233193611793,-63.362332135135134,-52.27740955142506,59.667357874226035,18.933260786195078
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,11,0.003016,407,45,0.00033419305352289195,0.019707799,1056.460757863,4200.059796865678,6210.254879523911,6210.254879523911,13119944.0,8350519.633333334,0,0.0,-66.70000325552826,-66.70000365110565,-53.92564785945946,62.44188492203112,20.44032509884457
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,12,0.003318,407,45,0.0009542558100000073,0.072020248,399.0545421811,3508.0757517347497,3553.723304049222,3553.723304049222,48031532.0,-22804362.155555554,0,0.0,-65.2808085970516,-65.280809,-51.57415598034398,60.71192452579852,21.859795309878084
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,13,0.003519,407,45,0.000914603387737938,0.060933154,-4251.610895207,1485.8715781418152,-1307.2115853050525,-1307.2115853050525,40602004.0,-24568012.111111112,37,0.0,-60.491029471744476,-60.49102971744471,-47.15135587690418,56.04447168869779,23.279600949564983
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,14,0.003821,407,45,0.0037545496707728754,0.13363463,-6172.6532448,-2483.6214147144747,-2567.535205658901,-2567.535205658901,89231136.0,-45613092.31111111,330,0.0,-50.11265895823096,-50.11265879361179,-38.13689703931203,46.120738263718266,23.48355562461116
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,15,0.004022,407,45,0.01032385241412948,0.23462115,-13901.920345,-5868.360945153534,-11234.781821992223,-11234.781821992223,156595840.0,39898342.404,375,0.0,-41.07522109606879,-41.075220891891895,-30.826225567076165,37.658889185012285,24.538327908963815
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,16,0.004323,407,45,0.024256204384481363,3.0166426,-219419.6905836,-12684.448491740815,-90048.40654003533,-90048.40654003533,2011072100.0,-754910736.8888888,283,0.0,-22.41394400584767,-22.41394426936118,-17.028118616953314,20.618668964054052,66.30593379744236
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,17,0.004524,407,45,0.050266863429538705,8.7327356,-92681.43588431,-12364.928629989408,223467.42944101998,223467.42944101998,5821133300.0,2033155994.0,350,0.0,-26.021511802515978,-26.02151240683538,-17.2478983965602,23.09697420197051,200.7543617408703
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,18,0.004821,407,45,1.4440403803025061,107.39281,-808745.2518181,-21934.257268059486,1852522.6200457066,1852522.6200457066,71604011000.0,23955310926.666668,350,0.0,-4.240382129975435,-4.240382128255538,10.95914504422606,-0.8261269286651186,1464.220787084024
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,19,0.005011,407,45,1.442141900000146,256.40012,-18613618.8162,-275655.9594173502,-6218056.689299511,-6218056.689299511,170911830000.0,-58520766888.888885,81,0.0,717.2961696044226,717.2961230712531,470.7837696019655,-635.125354092547,4475.507513636884
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,20,0.005264,407,45,10.186682000000012,1284.7023,-63269038.80407,-1113163.6163252266,-20179331.548816133,-20179331.548816133,856049650000.0,-266306154177.77777,113,0.0,2952.5974087714985,2952.5972942751855,1940.9048444791154,-2615.366515841933,13912.666175783857
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,21,0.005505,407,41,30.643486000000085,2442.4236,-22271044.31916,-3510200.8850161885,-12110734.01581744,-12110734.01581744,1628261300000.0,-629562001707.317,405,0.0,8616.503665813269,8616.503497592139,6207.734536388207,-7813.580566597871,7709.949175566731
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,22,0.005755,407,33,26.41663700000064,1535.5398,-17880416.16889,-8986913.847434055,-9080063.969670787,-9080063.969670787,1023817500000.0,-485495303030.30304,407,0.0,21219.692621597056,21219.692599950857,13727.215299164618,-18722.200173570844,36827.208999250186
CaseT4m_AllSurface_FeedbackDelayed,"all-surface f_i, delayed feedback",all_surface,delayed,23,0.006001,407,41,30.1408304095169,1432.2924,-24660172.72599,-16681871.613773195,-20435140.98932512,-20435140.98932512,954945500000.0,-331993258756.09753,407,0.0,39313.51977680589,39313.51966837839,24135.41881031941,-34254.15275183456,65470.041119356065
