time,Tv,z,z_norm,analytical_excess,analytical_hydrostatic,analytical_porepress
0,0,0.344999999934,0.343434343434,13336.7859035,6376.50000064,19713.2859042
0,0,0.354999999935,0.353535353535,13131.6164849,6278.40000063,19410.0164855
0,0,0.364999999936,0.363636363636,12926.4154168,6180.30000062,19106.7154174
0,0,0.374999999937,0.373737373737,12721.2608907,6082.20000061,18803.4608913
0,0,0.384999999938,0.383838383838,12516.0460519,5984.1000006,18500.1460525
0,0,0.394999999939,0.393939393939,12310.9041319,5886.00000059,18196.9041325
0,0,0.40499999994,0.40404040404,12105.6778871,5787.90000058,17893.5778877
0,0,0.414999999941,0.414141414141,11900.5461452,5689.80000057,17590.3461457
0,0,0.424999999942,0.424242424242,11695.3109707,5591.70000056,17287.0109712
0,0,0.434999999943,0.434343434343,11490.186897,5493.60000055,16983.7868976
0,0,0.444999999944,0.444444444444,11284.9453208,5395.50000055,16680.4453214
0,0,0.454999999945,0.454545454545,11079.8263846,5297.40000054,16377.2263851
0,0,0.464999999946,0.464646464646,10874.5809257,5199.30000053,16073.8809262
0,0,0.474999999947,0.474747474747,10669.4646345,5101.20000052,15770.6646351
0,0,0.484999999948,0.484848484848,10464.217744,5003.10000051,15467.3177445
0,0,0.494999999949,0.494949494949,10259.101702,4905.0000005,15164.1017025
0,0,0.504999999951,0.505050505051,10053.8557072,4806.90000049,14860.7557077
0,0,0.514999999952,0.515151515152,9848.73766846,4708.80000048,14557.5376689
0,0,0.524999999953,0.525252525253,9643.49472138,4610.70000047,14254.1947218
0,0,0.534999999954,0.535353535354,9438.37263956,4512.60000046,13950.97264
0,0,0.544999999955,0.545454545455,9233.13467021,4414.50000045,13647.6346707
0,0,0.554999999956,0.555555555556,9028.00674152,4316.40000044,13344.406742
0,0,0.564999999957,0.565656565657,8822.77541836,4218.30000043,13041.0754188
0,0,0.574999999958,0.575757575758,8617.64011777,4120.20000042,12737.8401182
0,0,0.584999999959,0.585858585859,8412.41681531,4022.10000041,12434.5168157
0,0,0.59499999996,0.59595959596,8207.27292492,3924.0000004,12131.2729253
0,0,0.604999999961,0.606060606061,8002.05869943,3825.90000039,11827.9586998
0,0,0.614999999962,0.616161616162,7796.9053285,3727.80000038,11524.7053289
0,0,0.624999999963,0.626262626263,7591.70090239,3629.70000037,11221.4009028
0,0,0.634999999964,0.636363636364,7386.53749852,3531.60000036,10918.1374989
0,0,0.644999999965,0.646464646465,7181.34325363,3433.50000035,10614.843254
0,0,0.654999999966,0.656565656566,6976.16960499,3335.40000034,10311.5696053
0,0,0.664999999967,0.666666666667,6770.9855848,3237.30000033,10008.2855851
0,0,0.674999999968,0.676767676768,6565.80181351,3139.20000032,9705.00181382
0,0,0.684999999969,0.686868686869,6360.62773414,3041.10000031,9401.72773445
0,0,0.69499999997,0.69696969697,6155.43428097,2943.0000003,9098.43428126
0,0,0.704999999971,0.707070707071,5950.26955058,2844.90000029,8795.16955087
0,0,0.714999999972,0.717171717172,5745.06715163,2746.80000028,8491.8671519
0,0,0.724999999973,0.727272727273,5539.91089759,2648.70000027,8188.61089785
0,0,0.734999999974,0.737373737374,5334.70055349,2550.60000026,7885.30055375
0,0,0.744999999975,0.747474747475,5129.55165648,2452.50000025,7582.05165673
0,0,0.754999999976,0.757575757576,4924.33459517,2354.40000024,7278.73459541
0,0,0.764999999977,0.767676767677,4719.19172934,2256.30000023,6975.49172957
0,0,0.774999999978,0.777777777778,4513.96936334,2158.20000022,6672.16936355
0,0,0.784999999979,0.787878787879,4308.83104127,2060.10000021,6368.93104148
0,0,0.79499999998,0.79797979798,4103.6049207,1962.0000002,6065.6049209
0,0,0.804999999981,0.808080808081,3898.46954206,1863.90000019,5762.36954225
0,0,0.814999999982,0.818181818182,3693.24130473,1765.80000018,5459.04130491
0,0,0.824999999983,0.828282828283,3488.10720714,1667.70000017,5155.80720731
0,0,0.834999999984,0.838383838384,3282.87852701,1569.60000016,4852.47852716
0,0,0.844999999985,0.848484848485,3077.7440379,1471.50000015,4549.24403804
0,0,0.854999999986,0.858585858586,2872.5165733,1373.40000014,4245.91657344
0,0,0.864999999987,0.868686868687,2667.38006122,1275.30000013,3942.68006135
0,0,0.874999999988,0.878787878788,2462.15540432,1177.20000012,3639.35540444
0,0,0.884999999989,0.888888888889,2257.01532843,1079.10000011,3336.11532854
0,0,0.89499999999,0.89898989899,2051.79495717,981.000000099,3032.79495727
0,0,0.904999999991,0.909090909091,1846.64991349,882.900000089,2729.54991358
0,0,0.914999999992,0.919191919192,1641.43514741,784.800000079,2426.23514748
0,0,0.924999999993,0.929292929293,1436.28391067,686.700000069,2122.98391074
0,0,0.934999999994,0.939393939394,1231.07587165,588.600000059,1819.67587171
0,0,0.944999999995,0.949494949495,1025.91743165,490.50000005,1516.4174317
0,0,0.954999999996,0.959595959596,820.717010779,392.40000004,1213.11701082
0,0,0.964999999997,0.969696969697,615.550602133,294.30000003,909.850602162
0,0,0.974999999998,0.979797979798,410.35843345,196.20000002,606.55843347
0,0,0.984999999999,0.989898989899,205.183558112,98.1000000099,303.283558122
0,0,0.995,1,5.31182539113e-14,0,5.31182539113e-14
0.1,0.027441722676,0.0049999999,0,16516.0155286,9711.90000098,26227.9155296
0.1,0.027441722676,0.014999999901,0.010101010101,16512.4867463,9613.80000097,26126.2867473
0.1,0.027441722676,0.024999999902,0.020202020202,16501.9069544,9515.70000096,26017.6069554
0.1,0.027441722676,0.034999999903,0.030303030303,16484.2957817,9417.60000095,25901.8957827
0.1,0.027441722676,0.044999999904,0.040404040404,16459.6858212,9319.50000094,25779.1858222
0.1,0.027441722676,0.0549999999051,0.0505050505051,16428.1224497,9221.40000093,25649.5224506
0.1,0.027441722676,0.0649999999061,0.0606060606061,16389.6635765,9123.30000092,25512.9635775
0.1,0.027441722676,0.0749999999071,0.0707070707071,16344.3793254,9025.20000091,25369.5793263
0.1,0.027441722676,0.0849999999081,0.0808080808081,16292.3516509,8927.1000009,25219.4516518
0.1,0.027441722676,0.0949999999091,0.0909090909091,16233.673894,8829.00000089,25062.6738949
0.1,0.027441722676,0.10499999991,0.10101010101,16168.4502801,8730.90000088,24899.3502809
0.1,0.027441722676,0.114999999911,0.111111111111,16096.7953646,8632.80000087,24729.5953655
0.1,0.027441722676,0.124999999912,0.121212121212,16018.8334305,8534.70000086,24553.5334314
0.1,0.027441722676,0.134999999913,0.131313131313,15934.6978432,8436.60000085,24371.297844
0.1,0.027441722676,0.144999999914,0.141414141414,15844.5303682,8338.50000084,24183.030369
0.1,0.027441722676,0.154999999915,0.151515151515,15748.4804584,8240.40000083,23988.8804593
0.1,0.027441722676,0.164999999916,0.161616161616,15646.7045152,8142.30000082,23789.004516
0.1,0.027441722676,0.174999999917,0.171717171717,15539.3651304,8044.20000081,23583.5651312
0.1,0.027441722676,0.184999999918,0.181818181818,15426.6303157,7946.1000008,23372.7303165
0.1,0.027441722676,0.194999999919,0.191919191919,15308.6727244,7848.00000079,23156.6727252
0.1,0.027441722676,0.20499999992,0.20202020202,15185.6688718,7749.90000078,22935.5688725
0.1,0.027441722676,0.214999999921,0.212121212121,15057.7983603,7651.80000077,22709.598361
0.1,0.027441722676,0.224999999922,0.222222222222,14925.2431147,7553.70000076,22478.9431155
0.1,0.027441722676,0.234999999923,0.232323232323,14788.1866322,7455.60000075,22243.786633
0.1,0.027441722676,0.244999999924,0.242424242424,14646.8132529,7357.50000074,22004.3132536
0.1,0.027441722676,0.254999999925,0.252525252525,14501.3074545,7259.40000073,21760.7074552
0.1,0.027441722676,0.264999999926,0.262626262626,14351.8531762,7161.30000072,21513.1531769
0.1,0.027441722676,0.274999999927,0.272727272727,14198.633175,7063.20000071,21261.8331757
