case,part,time,vel_max,vel_mean,settlement_mean_z,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Excess_maxAbs,bottom_PorePress_mean,bottom_hydro_mean,bottom_Excess_mean,bottom_grad_proxy,top_Excess_maxAbs,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,10,0.5,0.0019953409000008147,0.0013129354144665198,-0.0008722856137000012,60.73553372692,20714.73672651,11841.069848368055,60.73557390000013,9761.506034724,4913.557121585895,0.0,10954.44537019,6927.512527131453,10954.44537019,20665.792694967495,9712.56200759235,10953.23027196,-0.003769130998989567,0.0,2235678.666666667,102224731.81107713,102229800.0,8.413147900000004
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,11,0.55,0.0019324026000007274,0.001266385852776793,-0.0009367656350999973,61.69875809149,20304.14545402,11591.531572309817,61.69862160000021,9761.533279056,4914.189670595821,0.0,10543.82175763,6677.341691509409,10543.82175763,20255.2055287105,9712.59335466255,10542.611758840001,-0.0034024899996438762,0.0,2155068.9333333336,100220080.33367315,100222050.0,8.132978400000153
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,12,0.6000000000000001,0.0018687191000058467,0.0012197372696112025,-0.0009989149937999998,62.63072786613,19904.54722816,11350.138719472467,62.630669700000276,9761.560377219,4914.79935580467,0.0,10144.34057292,6435.33915010085,10144.34057292,19855.611062638003,9712.624214322901,10142.986432470001,-0.014771034499062807,0.0,2075541.6000000003,95373188.375807,95379200.0,7.863334200000003
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,13,0.65,0.001799784100005915,0.0011692481665034264,-0.0010585233578999987,63.52925632109,19526.00049249,11117.830970540732,63.52946189999987,9761.585525154,4915.384113856511,0.0,9765.48984179,6202.446658011,9765.48984179,19477.0676328365,9712.652666805452,9764.414550813999,-0.003959945901442552,0.0,1926720.9333333338,92395094.01563029,92399688.0,7.6037536000016095
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,14,0.7000000000000001,0.0017382612000049322,0.001128620627168813,-0.001115969030900005,64.39674676371,19175.53672491,10894.742803137297,64.39656780000035,9761.609438991,4915.947655908621,0.0,9414.989843397,5978.794941952775,9414.989843397,19126.607380122998,9712.68009752745,9413.926867249003,-0.003319908348203171,0.0,1909066.3333333335,90367273.03499831,90369232.0,7.333058800000036
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,15,0.75,0.0016789476000018074,0.0010887813747946433,-0.0011714004150000048,65.23455837494,18825.03775812,10677.556536181044,65.23443989999988,9761.633517636,4916.491437786662,0.0,9064.611303252,5761.06488433732,9064.611303252,18776.111538956502,9712.707300706503,9063.403821556003,-0.013631000747409416,0.0,1889177.7333333334,85832484.50220864,85838312.0,7.076364500000369
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,16,0.8,0.0016142396000043402,0.0010418978913065715,-0.0012248088922999993,66.04336856503,18480.84878696,10468.741791957998,66.04317630000006,9761.657441283,4917.015374948955,0.0,8720.130033491,5551.726195949389,8720.130033491,18431.9254250985,9712.734080682148,8719.190929634,-0.0045776861006743275,0.0,1664585.2666666668,83066991.14305133,83075168.0,6.835472600000016
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,17,0.8500000000000001,0.0015577520000034171,0.0010069100550546106,-0.0012760219398000015,66.82099006311,18175.78239316,10268.661092982658,66.82081499999971,9761.678158040999,4917.517774944948,0.0,8415.027768185,5351.143112630491,8415.027768185,18126.862142167498,9712.757909417403,8414.103817123,-0.004032409000501502,0.0,1659824.5333333337,81146483.63302754,81148888.0,6.584579500000003
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,18,0.9,0.0015035113000041811,0.0009726912199723821,-0.0013255095956000048,67.57152482715,17874.96003509,10075.585407140603,67.57157430000044,9761.699257389,4918.003248848321,0.0,8114.303138055,5157.581948588021,8114.303138055,17826.0424452065,9712.781671101304,8113.260357955002,-0.011174440398463048,0.0,1653111.066666667,77012340.3126062,77017808.0,6.348976100000028
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,19,0.9500000000000001,0.0014510893000001177,0.0009388146923222282,-0.0013732975290999998,68.2959002831,17574.72994877,9887.426251613251,68.29604279999977,9761.72040873,4918.472048475977,0.0,7813.902329034,4968.954004972955,7813.902329034,17525.814900268,9712.805363477552,7813.009120856997,-0.0028231436544956523,0.0,1623379.066666667,74550492.69928646,74554400.0,6.12713380000086
Case1DConsolidation_PR_SW3G_Xi0p10_Safety0p20_T1p0,20,1.0,0.0014008017000028457,0.0009048899892397873,-0.0014193950191000015,68.99516580216,17274.04929911,9704.258689806076,68.99539770000032,9761.741531622,4918.924264852881,0.0,7513.197901939,4785.3342166348775,7513.197901939,17225.1367267105,9712.828962904052,7512.307348969,-0.004870022999057255,0.0,1533161.666666667,72700752.51104316,72702600.0,5.89909980000034
