step,time,factor,applied,raw_max,raw_mean,used_max,used_mean,pre_accel_max,ratio_max,confining_ref,limited,relaxed,cap_min,lateral_used_max,cap_edge_used_max,interior_used_max,case,label,kind,scale,relax,limiter
33.0,0.00372,0.480003,407.0,619.521,134.493,619.521,134.493,35.1817,61.5613,1.92651,0.0,0.0,0.0,619.521,359.014,112.71,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
34.0,0.0038205,0.547003,407.0,1905.71,402.741,1905.71,402.741,96.6953,129.093,1.92661,0.0,0.0,0.0,1905.71,1091.71,321.003,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
35.0,0.00392091,0.613943,407.0,6186.26,1352.54,6186.26,1352.54,292.332,278.163,1.92697,0.0,0.0,0.0,6186.26,3900.98,755.449,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
36.0,0.00402103,0.680689,407.0,21631.7,4798.07,21631.7,4798.07,939.698,323.665,1.92859,0.0,0.0,0.0,21631.7,14657.0,1592.23,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
37.0,0.0041202,0.7468,407.0,78596.5,18168.9,78596.5,18168.9,3195.67,249.115,1.9351,0.0,0.0,0.0,78596.5,57345.5,4908.5,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
38.0,0.00421609,0.810728,407.0,274233.0,70162.0,274233.0,70162.0,11073.4,312.025,1.95968,0.0,0.0,0.0,274233.0,231942.0,16489.3,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
39.0,0.00426762,0.845083,407.0,526786.0,151898.0,526786.0,151898.0,25348.4,223.759,1.99542,0.0,0.0,0.0,513499.0,526786.0,33805.0,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
40.0,0.00428761,0.858403,407.0,72260.6,36494.2,72260.6,36494.2,35515.7,63.6266,2.01827,0.0,0.0,0.0,67974.9,72260.6,28808.3,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
41.0,0.00429949,0.866329,407.0,218536.0,72566.3,218536.0,72566.3,35576.6,75.7256,2.03306,0.0,0.0,0.0,183989.0,218536.0,39789.2,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
42.0,0.00430967,0.873111,407.0,352036.0,108149.0,352036.0,108149.0,36567.8,84.4994,2.04468,0.0,0.0,0.0,292925.0,352036.0,49296.8,CaseT4f_ConfOnly_FullFeedbackNoStab,full feedback,unstabilized,1.0,0.0,0
