case,part,time,axial_strain_proxy,pairwise_top_fz,pairwise_bottom_fz,pairwise_reaction_avg_abs,pairwise_reaction_avg_compression,reaction_axial_stress_avg,top_axial_stress,bottom_axial_stress,force_balance_error,Fz_proxy,pairwise_over_Fz_proxy,p_proxy,q_proxy,MccPc_mean,MccYieldFlag_fraction,MccEqPlasticStrain_max
mcc_high_pc,25,0.012567,0.00043430393200011297,2.63858,-2.12504,2.3818099999999998,2.3818099999999998,842.3924999999999,933.207,751.578,0.107806,2.213395088793475,1.0760889513396037,280.5504745525964,753.4168528271258,100000.0,0.0,0.0
mcc_high_pc,26,0.01307,0.00045168558999997277,2.8877,-2.32337,2.605535,2.605535,921.5215000000001,1021.32,821.723,0.108296,2.3019992398966753,1.131857454530241,292.103150832883,783.0938004951478,100000.0,0.0,0.0
mcc_high_pc,27,0.013573,0.00046873866499999584,2.8877,-2.32337,2.605535,2.605535,921.5215000000001,1021.32,821.723,0.108296,2.3887100256575087,1.0907707390237997,302.87603772337627,812.9359707368044,100000.0,0.0,0.0
mcc_high_pc,28,0.014075,0.00048578222200001964,3.03414,-2.57622,2.80518,2.80518,992.1299999999999,1073.11,911.15,0.0816215,2.473817583465713,1.1339477974241183,312.71051891195697,843.3352106861166,100000.0,0.0,0.0
mcc_high_pc,29,0.014578,0.0005032191199999536,3.03414,-2.57622,2.80518,2.80518,992.1299999999999,1073.11,911.15,0.0816215,2.558587643819167,1.0963783112048286,322.02780087121397,874.3312015187328,100000.0,0.0,0.0
mcc_high_pc,30,0.015081,0.0005209783340000274,3.08536,-2.8634,2.97438,2.97438,1051.97,1091.22,1012.72,0.0373121,2.6444450119526937,1.124765304839399,331.50620043303087,905.6623506403788,100000.0,0.0,0.0
mcc_high_pc,31,0.015584,0.0005391037100001272,3.08536,-2.8634,2.97438,2.97438,1051.97,1091.22,1012.72,0.0373121,2.7321552711712025,1.088657014257086,341.6514453714827,936.9762209476913,100000.0,0.0,0.0
mcc_high_pc,32,0.016086,0.0005575081600001086,3.10314,-3.19325,3.148195,3.148195,1113.4450000000002,1097.51,1129.38,0.0143115,2.8214610234015787,1.115803115438578,352.5194805028419,968.052341297334,100000.0,0.0,0.0
mcc_high_pc,33,0.016589,0.000576101120000061,3.10314,-3.19325,3.148195,3.148195,1113.4450000000002,1097.51,1129.38,0.0143115,2.9113491001964573,1.0813526278204013,363.7528789981327,998.8893493774941,100000.0,0.0,0.0
mcc_high_pc,34,0.017092,0.0005946377099999567,3.16962,-3.50724,3.33843,3.33843,1180.73,1121.03,1240.43,0.0505647,3.000735476307816,1.112537251736595,374.88119064110566,1029.617827257015,100000.0,0.0,0.0
