case,label,time,part,region,count,feedback_factor,porepress_mean,porepress_std,excess_mean,porepressrate_mean,porepressrate_maxabs,divvel_mean,divvel_maxabs,velocity_max,kplastic_max
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.002514,9,full_no_caps_edges,147,0.0,13362.781656310368,2226.75605269966,13362.781656310368,-4715803.2829931965,7059689.0,0.0070707263013605436,0.010580467,0.00045355844959923134,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.002514,9,lateral_shell,196,0.0,15400.794463443113,2594.1388868750323,15400.794463443113,-783060.919387755,7059689.0,0.0011594764204081631,0.010580467,0.00043895198485633297,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.002514,9,top_cap,74,0.0,4658.807603823406,1483.2169910663843,4658.807603823406,-1482895.5411081081,3398508.0,0.0022423161821621624,0.0051108324,0.0004884326788301348,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.002514,9,bottom_cap,74,0.0,4658.807865497068,1483.217077863602,4658.807865497068,-1482895.578189189,3398507.5,0.0022423162394594595,0.0051108319,0.0004884326609761326,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.002815,10,all,407,0.0,9872.760379884505,5203.864400614355,9872.760379884505,-5018202.7334078625,12614361.0,0.007527304338610565,0.018936519,0.0005307189704852089,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.002815,10,center_core,45,0.0,11385.03855427178,969.3710050483941,11385.03855427178,-9567762.033333333,10306320.0,0.014358620273333334,0.015467505,0.000337353763907775,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.002815,10,full_no_caps_edges,147,0.0,10869.610820037355,1796.6677721817575,10869.610820037355,-9806895.07142857,12614361.0,0.01471843754829932,0.018936519,0.00048541289067669,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.002815,10,lateral_shell,196,0.0,14130.563823510525,3157.387154949442,14130.563823510525,-5750843.481770408,12614361.0,0.008610484849971938,0.018936519,0.0004747324178236254,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.002815,10,top_cap,74,0.0,4006.6811173302713,1191.741667308971,4006.6811173302713,-2457857.282567568,4669045.5,0.0037046933824324323,0.0070278938,0.0005307189704852089,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.002815,10,bottom_cap,74,0.0,4006.6813452124597,1191.74175258643,4006.6813452124597,-2457857.556216216,4669047.0,0.003704693788108107,0.0070278961,0.0005307189704852084,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003016,11,all,407,0.01066666666666664,8624.105610993516,4989.396617801909,8624.105610993516,-6542685.97019656,14910718.0,0.009814029336683048,0.022396978,0.0005356613500000002,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003016,11,center_core,45,0.01066666666666664,9137.565185488489,963.4170845321173,9137.565185488489,-11583883.044444444,12677567.0,0.01738528928888889,0.019026283,0.0003321181327112288,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003016,11,full_no_caps_edges,147,0.01066666666666664,8580.871569359395,1455.4406204864629,8580.871569359395,-11798317.942176871,14910718.0,0.01771381990544218,0.022396978,0.0004848535981098522,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003016,11,lateral_shell,196,0.01066666666666664,12619.500317794807,3725.709706988095,12619.500317794807,-8022564.621938776,14910718.0,0.012018503853571429,0.022396978,0.00047896308672896765,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003016,11,top_cap,74,0.01066666666666664,3451.0688927797164,1088.4661281153885,3451.0688927797164,-2844220.817702703,5463120.0,0.004282737963243244,0.0082216114,0.0005356613500000001,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003016,11,bottom_cap,74,0.01066666666666664,3451.0691069610943,1088.466193512615,3451.0691069610943,-2844220.8508108105,5463121.5,0.004282737991216216,0.0082216142,0.0005356613500000002,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003318,12,all,407,0.21200000000000016,10223.199343084583,5445.847001842251,10223.199343084583,20663457.52211302,44488864.0,-0.030995188519901715,0.066799052,0.0037517520135005914,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003318,12,center_core,45,0.21200000000000016,11234.324967961335,1117.293722658768,11234.324967961335,30528646.444444444,37278472.0,-0.04578460433333333,0.055951789,0.00214504937196901,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003318,12,full_no_caps_edges,147,0.21200000000000016,9563.484684620278,1584.7649156311722,9563.484684620278,22725654.721088436,38887488.0,-0.03406066371428572,0.058364369,0.0031796958932713074,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003318,12,lateral_shell,196,0.21200000000000016,14074.113095087741,4833.148673120197,14074.113095087741,22367699.040816326,44488864.0,-0.033564607790816325,0.066799052,0.0037517520135005914,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003318,12,top_cap,74,0.21200000000000016,4880.66994747727,1289.7760239687404,4880.66994747727,13740076.344594594,32850266.0,-0.0205957893,0.049300693,0.0027559106682082824,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003318,12,bottom_cap,74,0.21200000000000016,4880.670068455351,1289.77607061439,4880.670068455351,13740075.675675675,32850264.0,-0.020595788343243243,0.049300689,0.002755910875870984,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003519,13,all,407,0.34600000000000003,20055.49633769054,6507.652250284474,20055.49633769054,53216771.7041769,135027950.0,-0.07982516258157248,0.20256005,0.009390448783737373,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003519,13,center_core,45,0.34600000000000003,24419.175383452,1266.0421368716488,24419.175383452,72123765.24444444,81413992.0,-0.10818304884444446,0.12211772,0.005695944114193376,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003519,13,full_no_caps_edges,147,0.34600000000000003,22523.187039053537,1860.0256145876924,22523.187039053537,56726900.89795918,81413992.0,-0.08509167982993197,0.12211772,0.008982312444986562,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003519,13,lateral_shell,196,0.34600000000000003,24737.937770118777,3353.8745733041446,24737.937770118777,65149541.469387755,135027950.0,-0.09773618253061223,0.20256005,0.009390448783737373,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003519,13,top_cap,74,0.34600000000000003,12353.985293435757,2586.5207290971853,12353.985293435757,29574149.487837836,63600860.0,-0.04434582508918919,0.095402673,0.008296350081923726,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003519,13,bottom_cap,74,0.34600000000000003,12353.986179657757,2586.5204875887603,12353.986179657757,29574156.12837838,63600864.0,-0.044345834731081085,0.09540268,0.008296350086683592,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003821,14,all,407,0.5473333333333336,36186.18739880151,52533.09964644412,36186.18739880151,100364220.25970516,1189781400.0,-0.15054635183144963,1.7854589,0.08763334889356951,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003821,14,center_core,45,0.5473333333333336,41550.83853723177,4147.736981134608,41550.83853723177,150236597.7777778,167324930.0,-0.22534138088888886,0.25099954,0.01906782899622592,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003821,14,full_no_caps_edges,147,0.5473333333333336,31943.36632101884,11194.66210868421,31943.36632101884,84256871.57823129,176023810.0,-0.12630337159863944,0.26407015,0.033104862594255,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003821,14,lateral_shell,196,0.5473333333333336,58574.29024367944,55663.14694111226,58574.29024367944,218683607.36734694,1189781400.0,-0.3280872179030612,1.7854589,0.08763334889356951,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003821,14,top_cap,74,0.5473333333333336,5311.6879497932,43047.861202314954,5311.6879497932,-68416232.69864865,659107140.0,0.10270492436621621,0.98913795,0.06038397216180231,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.003821,14,bottom_cap,74,0.5473333333333336,5311.695985019305,43047.864857513756,5311.695985019305,-68416189.4945946,659107140.0,0.10270485927702704,0.98913789,0.06038396652390777,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004021,15,all,407,0.680666666666667,145433.27077184245,511653.5704641024,145433.27077184245,751158653.8771498,12102138000.0,-1.1267387044471744,18.159786,0.8107944577468805,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004021,15,center_core,45,0.680666666666667,160530.95968825108,10790.753919581193,160530.95968825108,704480986.8888888,785167230.0,-1.0568400295555553,1.1779823,0.08732305309073649,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004021,15,full_no_caps_edges,147,0.680666666666667,107061.47036789334,77619.99939702301,107061.47036789334,437009438.23129255,945658370.0,-0.6551784886394558,1.4188691,0.1613067580192639,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004021,15,lateral_shell,196,0.680666666666667,257857.16254287484,550606.481618715,257857.16254287484,1390256745.8163266,12102138000.0,-2.0857963021938772,18.159786,0.8107944577468805,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004021,15,top_cap,74,0.680666666666667,-10332.552924610665,526571.9079440443,-10332.552924610665,-97611731.54054055,7451455000.0,0.14701242229729744,11.180859,0.536271342697837,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004021,15,bottom_cap,74,0.680666666666667,-10332.54161979743,526571.9451889612,-10332.54161979743,-97611716.05405405,7451458000.0,0.1470124499999999,11.180863,0.5362712910361682,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004268,16,all,407,0.8453333333333336,418163.7097284694,13183859.25496338,418163.7097284694,-3399115394.299754,356346990000.0,5.0977372438574955,534.78516,22.26143437236918,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004268,16,center_core,45,0.8453333333333336,912082.2196951956,302186.55764793145,912082.2196951956,4541622505.111111,10210849000.0,-6.812943923333334,15.317427,1.5909934638515626,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004268,16,full_no_caps_edges,147,0.8453333333333336,-209820.9453772143,1586351.7686048711,-209820.9453772143,-7662605988.299319,40955318000.0,11.502533690816328,61.471519,3.327808026748767,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004268,16,lateral_shell,196,0.8453333333333336,1763620.807557677,13849924.599994099,1763620.807557677,7197565008.112245,356346990000.0,-10.81183345357143,534.78516,22.26143437236918,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004268,16,top_cap,74,0.8453333333333336,-1645814.27222107,14732529.2624891,-1645814.27222107,-21718086089.18919,315920940000.0,32.59520440810811,474.03336,19.343128472569767,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004268,16,bottom_cap,74,0.8453333333333336,-1645814.2160204218,14732529.701032743,-1645814.2160204218,-21718087967.567566,315921010000.0,32.59520570945946,474.03345,19.34313470160278,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004503,17,all,407,1.0,-98552869.1484943,30016871.723805428,-98552869.1484943,-835506502250.6143,2187543700000.0,1253.2380943464373,3281.7788,182.82550386151675,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004503,17,center_core,45,1.0,-93057485.89204668,2392018.708616857,-93057485.89204668,-981056575111.1111,1074122700000.0,1471.5955999999999,1611.2234,26.97973372310474,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004503,17,full_no_caps_edges,127,1.0,-88372925.27179575,10826751.284853684,-88372925.27179575,-825072088897.6378,1083955800000.0,1237.5384507086617,1625.988,57.46569004802043,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004503,17,lateral_shell,188,1.0,-103529537.86657414,25162414.5429229,-103529537.86657414,-864797561468.0851,1669914600000.0,1297.1805797819147,2505.1243,142.5949814834269,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004503,17,top_cap,74,1.0,-96874765.86048554,39456748.89067652,-96874765.86048554,-754455466891.8918,2187543700000.0,1131.6586321621621,3281.7788,182.8255030643222,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004503,17,bottom_cap,74,1.0,-96874755.08077879,39456754.0907712,-96874755.08077879,-754455279189.1892,2187542700000.0,1131.6583545945944,3281.7773,182.82550386151675,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004754,18,all,375,1.0,-380847273.1878509,58398212.484421656,-380847273.1878509,-919727085592.0,2558006700000.0,1379.5544990373335,3837.2673,256.1819518408299,0.0
CaseT4e_ConfOnly_FeedbackDelayedLongRamp,long full ramp,0.004754,18,center_core,27,1.0,-398880802.264,14872296.097033681,-398880802.264,-1154885606666.6667,1624642400000.0,1732.3811133333336,2437.23,45.67484300003541,0.0
