nu,eta,root_index,xi,residual,scaled_residual
0.2,1.3333333333333335,72,2.2618803931085415e+02,-1.5896262084424961e-10,7.0278968476217495e-13
0.2,1.3333333333333335,73,2.2932972281812914e+02,4.3934278437518515e-10,1.9157690463122655e-12
0.2,1.3333333333333335,74,2.3247140386958819e+02,5.2912696446583141e-10,2.2760948471815342e-12
0.2,1.3333333333333335,75,2.3561308256348019e+02,-3.1147351364779752e-10,1.3219703687883230e-12
0.2,1.3333333333333335,76,2.3875475899288193e+02,6.0384763855836354e-10,2.5291543553058100e-12
0.2,1.3333333333333335,77,2.4189643324603423e+02,-6.7558403316070326e-11,2.7928647979425265e-13
0.2,1.3333333333333335,78,2.4503810540665171e+02,1.0828102858795319e-09,4.4189465311028863e-12
0.2,1.3333333333333335,79,2.4817977555420964e+02,9.7685415312298574e-11,3.9360747705617454e-13
0.2,1.3333333333333335,80,2.5132144376420865e+02,5.5820237321313471e-11,2.2210694195148731e-13
0.2,1.3333333333333335,81,2.5446311010842038e+02,-3.4305003282497637e-10,1.3481326730574475e-12
0.2,1.3333333333333335,82,2.5760477465511474e+02,2.3635493562323973e-10,9.1750991781677381e-13
0.2,1.3333333333333335,83,2.6074643746927109e+02,-2.3561028683616314e-09,9.0359925574795161e-12
0.2,1.3333333333333335,84,2.6388809861277377e+02,-1.1928023013751954e-09,4.5201064680279468e-12
0.2,1.3333333333333335,85,2.6702975814459467e+02,1.9977619558630977e-09,7.4814206840811279e-12
0.2,1.3333333333333335,86,2.7017141612096248e+02,-2.4169821699615568e-09,8.9461061597997234e-12
0.2,1.3333333333333335,87,2.7331307259551977e+02,1.4407532944460399e-09,5.2714393817914376e-12
0.2,1.3333333333333335,88,2.7645472761947099e+02,2.7845885597344022e-09,1.0072493907715807e-11
