nu,eta,root_index,xi,residual,scaled_residual
0.1,1.125,102,3.2043690264624286e+02,-3.0910882742318790e-09,9.6464803170451011e-12
0.1,1.125,103,3.2357854916669066e+02,4.1171688280883245e-10,1.2723862068996846e-12
0.1,1.125,104,3.2672019465116387e+02,-3.2059688237495720e-11,9.8125823754866309e-14
0.1,1.125,105,3.2986183912926447e+02,-2.6607835934555624e-09,8.0663577226126754e-12
0.1,1.125,106,3.3300348262947716e+02,2.4011228560993914e-09,7.2105037374450956e-12
0.1,1.125,107,3.3614512517922208e+02,-3.3173819247167557e-10,9.8688979141019274e-13
0.1,1.125,108,3.3928676680490321e+02,2.8654199013544712e-09,8.4454219311711213e-12
0.1,1.125,109,3.4242840753195594e+02,-3.2772504710010253e-09,9.5706150509583148e-12
0.1,1.125,110,3.4557004738489013e+02,-8.2218321040272713e-10,2.3792085472239822e-12
0.1,1.125,111,3.4871168638733275e+02,-1.1788756637542974e-09,3.3806600402971786e-12
0.1,1.125,112,3.5185332456206663e+02,-1.0179519449593499e-09,2.8931144709982243e-12
0.1,1.125,113,3.5499496193106813e+02,-1.0978169484587852e-09,3.0924859961025475e-12
0.1,1.125,114,3.5813659851554235e+02,3.2079014999908395e-09,8.9572010044734077e-12
0.1,1.125,115,3.6127823433595699e+02,-2.9656916922249366e-09,8.2088855911178538e-12
0.1,1.125,116,3.6441986941207347e+02,1.2319674169702921e-09,3.3806263608888483e-12
0.1,1.125,117,3.6756150376297796e+02,8.6379259300883859e-10,2.3500627355247336e-12
0.1,1.125,118,3.7070313740710935e+02,2.3530333237431478e-09,6.3474869411317945e-12
0.1,1.125,119,3.7384477036228679e+02,1.0738290256995242e-09,2.8723927972987553e-12
0.1,1.125,120,3.7698640264573532e+02,4.1200109990313649e-10,1.0928805309985017e-12
0.1,1.125,121,3.8012803427411052e+02,2.6196858016191982e-09,6.8915880056141497e-12
0.1,1.125,122,3.8326966526352192e+02,2.2653239284409210e-09,5.9105223651602576e-12
0.1,1.125,123,3.8641129562955507e+02,-2.0153834157099482e-09,5.2156431204383239e-12
0.1,1.125,124,3.8955292538729259e+02,1.0529106475587469e-09,2.7028693123254041e-12
0.1,1.125,125,3.9269455455133470e+02,-3.7708218769694213e-09,9.6024297593779936e-12
0.1,1.125,126,3.9583618313581769e+02,4.7029402594489511e-09,1.1881026696792450e-11
0.1,1.125,127,3.9897781115443308e+02,9.1353058451204561e-10,2.2896776687071248e-12
0.1,1.125,128,4.0211943862044404e+02,1.9586536836868618e-09,4.8708256691019414e-12
0.1,1.125,129,4.0526106554670275e+02,-3.5955736166215502e-09,8.8722404452326851e-12
0.1,1.125,130,4.0840269194566565e+02,-2.9636453291459475e-09,7.2566743255948815e-12
0.1,1.125,131,4.1154431782940901e+02,-2.8774138627341017e-09,6.9917472750208908e-12
0.1,1.125,132,4.1468594320964303e+02,-8.9761442723101936e-10,2.1645643936795646e-12
0.1,1.125,133,4.1782756809772570e+02,4.4842067836725619e-09,1.0732194632441355e-11
0.1,1.125,134,4.2096919250467613e+02,-1.9794583749899175e-09,4.7021454544275940e-12
0.1,1.125,135,4.2411081644118656e+02,-2.1139499040145893e-09,4.9844281778834108e-12
0.1,1.125,136,4.2725243991763500e+02,-4.8520973905397113e-09,1.1356511835193008e-11
0.1,1.125,137,4.3039406294409628e+02,-1.2378222891129553e-09,2.8760208276240457e-12
0.1,1.125,138,4.3353568553035336e+02,-4.1699763642100152e-09,9.6185308462181027e-12
0.1,1.125,139,4.3667730768590741e+02,3.7870222513447516e-09,8.6723587066627077e-12
0.1,1.125,140,4.3981892941998842e+02,4.0000713852350600e-09,9.0948140646737911e-12
0.1,1.125,141,4.4296055074156436e+02,-2.0585844140441623e-09,4.6473312591784232e-12
0.1,1.125,142,4.4610217165935046e+02,-2.6636257643986028e-09,5.9708872397791930e-12
0.1,1.125,143,4.4924379218181832e+02,-4.7340336095658131e-09,1.0537783029954148e-11
0.1,1.125,144,4.5238541231720410e+02,-2.8873614610347431e-09,6.3825255687293907e-12
0.1,1.125,145,4.5552703207351681e+02,1.5916157281026244e-11,3.4940093914024855e-14
0.1,1.125,146,4.5866865145854604e+02,-1.6376588973798789e-09,3.5704617967070476e-12
0.1,1.125,147,4.6181027047986925e+02,6.2108824749884661e-09,1.3448991657225766e-11
0.1,1.125,148,4.6495188914485936e+02,3.2911771086219233e-09,7.0785326082915107e-12
0.1,1.125,149,4.6809350746069117e+02,-4.8906940719462000e-09,1.0448113451684443e-11
0.1,1.125,150,4.7123512543434799e+02,1.1077077033405658e-09,2.3506475717763250e-12
0.1,1.125,151,4.7437674307262853e+02,-5.8141722547588870e-09,1.2256444565767254e-11
0.1,1.125,152,4.7751836038215220e+02,-7.1751742325432133e-09,1.5025965131060108e-11
0.1,1.125,153,4.8065997736936549e+02,-3.2931666282820515e-09,6.8513435345822470e-12
0.1,1.125,154,4.8380159404054746e+02,6.8365579863893799e-09,1.4130912486658324e-11
0.1,1.125,155,4.8694321040181524e+02,3.1297417990572285e-09,6.4273240332368856e-12
0.1,1.125,156,4.9008482645912886e+02,-2.9859847927582450e-10,6.0927917608305390e-13
0.1,1.125,157,4.9322644221829660e+02,-4.5156411943025887e-10,9.1553104371156481e-13
0.1,1.125,158,4.9636805768497970e+02,-1.8854962036130019e-09,3.7985848896216304e-12
0.1,1.125,159,4.9950967286469700e+02,-6.3753304857527837e-09,1.2763177235768325e-11
0.1,1.125,160,5.0265128776282916e+02,5.8971068028768059e-09,1.1732003769559843e-11
0.1,1.125,161,5.0579290238462352e+02,7.2466832534701098e-09,1.4327372367624961e-11
0.1,1.125,162,5.0893451673519758e+02,7.2227521741297096e-09,1.4191908657249233e-11
0.1,1.125,163,5.1207613081954332e+02,4.0214445107267238e-09,7.8532160916367881e-12
0.1,1.125,164,5.1521774464253099e+02,-4.6578634282923304e-09,9.0405726059067606e-12
0.1,1.125,165,5.1835935820891268e+02,-1.3785097507934552e-08,2.6593708186471649e-11
0.1,1.125,166,5.2150097152332592e+02,-5.6104454415617511e-09,1.0758264601451091e-11
0.1,1.125,167,5.2464258459029747e+02,-1.6502667676832061e-08,3.1455067052399646e-11
0.1,1.125,168,5.2778419741424591e+02,-1.4070678844291251e-08,2.6659909321323415e-11
0.1,1.125,169,5.3092580999948541e+02,-2.3487700673285872e-10,4.4239138936019398e-13
0.1,1.125,170,5.3406742235022875e+02,6.0015281633241102e-09,1.1237397961564877e-11
0.1,1.125,171,5.3720903447059004e+02,6.4989080783561803e-09,1.2097540549894359e-11
0.1,1.125,172,5.4035064636458765e+02,1.0299004316038918e-08,1.9059853791483451e-11
0.1,1.125,173,5.4349225803614718e+02,2.4098198991850950e-09,4.4339544189314559e-12
0.1,1.125,174,5.4663386948910374e+02,9.0198000179952942e-09,1.6500624131242669e-11
0.1,1.125,175,5.4977548072720515e+02,-2.9012880986556411e-09,5.2772235218966421e-12
0.1,1.125,176,5.5291709175411370e+02,-1.3543171917262953e-08,2.4494037386866855e-11
0.1,1.125,177,5.5605870257340894e+02,-3.2273419492412359e-09,5.8039590681798083e-12
0.1,1.125,178,5.5920031318859014e+02,1.6589751794526819e-08,2.9666921499809254e-11
0.1,1.125,179,5.6234192360307861e+02,-3.1999434213503264e-09,5.6903874440792408e-12
0.1,1.125,180,5.6548353382021901e+02,-6.1030505094095133e-09,1.0792622851773119e-11
0.1,1.125,181,5.6862514384328233e+02,2.0337438400019892e-08,3.5765985059742039e-11
0.1,1.125,182,5.7176675367546818e+02,-2.6393536245450377e-09,4.6161369257281455e-12
0.1,1.125,183,5.7490836331990545e+02,-1.1659949450404383e-08,2.0281405167028768e-11
0.1,1.125,184,5.7804997277965526e+02,8.3292661656741984e-09,1.4409249299851073e-11
0.1,1.125,185,5.8119158205771305e+02,-1.8140326574211940e-08,3.1212300959325634e-11
0.1,1.125,186,5.8433319115700897e+02,-7.5749539973912761e-09,1.2963415585536888e-11
0.1,1.125,187,5.8747480008041111e+02,7.5697244028560817e-09,1.2885189971931446e-11
0.1,1.125,188,5.9061640883072641e+02,2.1224650481599383e-08,3.5936438885699388e-11
0.1,1.125,189,5.9375801741070245e+02,1.4600232134398539e-08,2.4589532614160128e-11
0.1,1.125,190,5.9689962582302883e+02,-4.5600927478517406e-09,7.6396307696861157e-12
0.1,1.125,191,6.0004123407033876e+02,-1.6206968211918138e-08,2.7009757482797100e-11
0.1,1.125,192,6.0318284215521066e+02,-1.2859686648880597e-08,2.1319715598892235e-11
0.1,1.125,193,6.0632445008016953e+02,1.1517613529576920e-08,1.8995792645068577e-11
0.1,1.125,194,6.0946605784768849e+02,1.6672856872901320e-08,2.7356497802888179e-11
0.1,1.125,195,6.1260766546018976e+02,3.4933691495098174e-09,5.7024574559733657e-12
0.1,1.125,196,6.1574927292004600e+02,1.2389591574901715e-09,2.0121163141812680e-12
0.1,1.125,197,6.1889088022958185e+02,-3.5902303352486342e-09,5.8010716427374295e-12
0.1,1.125,198,6.2203248739107494e+02,-2.6113866624655202e-09,4.1981515682857386e-12
0.1,1.125,199,6.2517409440675715e+02,-4.9298023441224359e-09,7.8854872398390804e-12
0.1,1.125,200,6.2831570127881560e+02,1.4181750884745270e-08,2.2571059191360250e-11
0.2,1.3333333333333335,1,2.4605355721903961e+00,8.4376949871511897e-15,3.4292107305889634e-15
0.2,1.3333333333333335,2,6.0292923816145745e+00,1.4210854715202004e-14,2.3569689137212595e-15
0.2,1.3333333333333335,3,9.2614019262046483e+00,3.5527136788005009e-15,3.8360430819315632e-16
0.2,1.3333333333333335,4,1.2445259753212085e+01,-1.4743761767022079e-13,1.1846889546211968e-14
0.2,1.3333333333333335,5,1.5611585291451437e+01,1.1368683772161603e-13,7.2822096923025253e-15
0.2,1.3333333333333335,6,1.8769468840162826e+01,-5.0448534238967113e-13,2.6877976499269688e-14
0.2,1.3333333333333335,7,2.1922619351834701e+01,-1.3500311979441904e-13,6.1581655744581745e-15
0.2,1.3333333333333335,8,2.5072844189794388e+01,-1.2541079286165768e-12,5.0018574642881837e-14
0.2,1.3333333333333335,9,2.8221132179714850e+01,-1.2363443602225743e-12,4.3809169396515207e-14
