nu,eta,Tv,normalized_center_pressure,root_count,formula
0.1,1.125,3.9902643623619547e-04,1.0406185228048637e+00,200,paper_eq_46_47
0.1,1.125,4.0676999944277189e-04,1.0410160412813021e+00,200,paper_eq_46_47
0.1,1.125,4.1466383532726961e-04,1.0414175000001624e+00,200,paper_eq_46_47
0.1,1.125,4.2271086010243412e-04,1.0418229389515414e+00,200,paper_eq_46_47
0.1,1.125,4.3091404657344808e-04,1.0422323985484079e+00,200,paper_eq_46_47
0.1,1.125,4.3927642523616941e-04,1.0426459196313518e+00,200,paper_eq_46_47
0.1,1.125,4.4780108539668544e-04,1.0430635434734103e+00,200,paper_eq_46_47
0.1,1.125,4.5649117631259257e-04,1.0434853117849539e+00,200,paper_eq_46_47
0.1,1.125,4.6534990835642333e-04,1.0439112667186199e+00,200,paper_eq_46_47
0.1,1.125,4.7438055420165174e-04,1.0443414508743236e+00,200,paper_eq_46_47
0.1,1.125,4.8358645003171414e-04,1.0447759073043070e+00,200,paper_eq_46_47
0.1,1.125,4.9297099677249225e-04,1.0452146795182784e+00,200,paper_eq_46_47
0.1,1.125,5.0253766134871446e-04,1.0456578114885915e+00,200,paper_eq_46_47
0.1,1.125,5.1228997796473890e-04,1.0461053476554980e+00,200,paper_eq_46_47
0.1,1.125,5.2223154941018928e-04,1.0465573329324644e+00,200,paper_eq_46_47
0.1,1.125,5.3236604839093562e-04,1.0470138127115565e+00,200,paper_eq_46_47
0.1,1.125,5.4269721888589094e-04,1.0474748328688801e+00,200,paper_eq_46_47
0.1,1.125,5.5322887753015445e-04,1.0479404397701020e+00,200,paper_eq_46_47
0.1,1.125,5.6396491502497975e-04,1.0484106802760311e+00,200,paper_eq_46_47
0.1,1.125,5.7490929757511903e-04,1.0488856017482697e+00,200,paper_eq_46_47
0.1,1.125,5.8606606835405169e-04,1.0493652520549361e+00,200,paper_eq_46_47
0.1,1.125,5.9743934899765116e-04,1.0498496795764536e+00,200,paper_eq_46_47
0.1,1.125,6.0903334112683667e-04,1.0503389332114208e+00,200,paper_eq_46_47
0.1,1.125,6.2085232789977512e-04,1.0508330623825397e+00,200,paper_eq_46_47
0.1,1.125,6.3290067559420334e-04,1.0513321170426364e+00,200,paper_eq_46_47
0.1,1.125,6.4518283522045910e-04,1.0518361476807336e+00,200,paper_eq_46_47
0.1,1.125,6.5770334416581319e-04,1.0523452053282216e+00,200,paper_eq_46_47
0.1,1.125,6.7046682787071305e-04,1.0528593415650891e+00,200,paper_eq_46_47
0.1,1.125,6.8347800153755508e-04,1.0533786085262373e+00,200,paper_eq_46_47
0.1,1.125,6.9674167187261480e-04,1.0539030589078697e+00,200,paper_eq_46_47
0.1,1.125,7.1026273886179111e-04,1.0544327459739733e+00,200,paper_eq_46_47
0.1,1.125,7.2404619758079461e-04,1.0549677235628638e+00,200,paper_eq_46_47
0.1,1.125,7.3809714004048101e-04,1.0555080460938167e+00,200,paper_eq_46_47
0.1,1.125,7.5242075706798508e-04,1.0560537685737921e+00,200,paper_eq_46_47
0.1,1.125,7.6702234022436400e-04,1.0566049466042269e+00,200,paper_eq_46_47
0.1,1.125,7.8190728375945374e-04,1.0571616363879264e+00,200,paper_eq_46_47
0.1,1.125,7.9708108660466218e-04,1.0577238947360306e+00,200,paper_eq_46_47
0.1,1.125,8.1254935440443427e-04,1.0582917790750717e+00,200,paper_eq_46_47
0.1,1.125,8.2831780158714049e-04,1.0588653474541250e+00,200,paper_eq_46_47
0.1,1.125,8.4439225347615284e-04,1.0594446585520343e+00,200,paper_eq_46_47
0.1,1.125,8.6077864844188903e-04,1.0600297716847504e+00,200,paper_eq_46_47
0.1,1.125,8.7748304009562005e-04,1.0606207468127322e+00,200,paper_eq_46_47
0.1,1.125,8.9451159952584581e-04,1.0612176445484711e+00,200,paper_eq_46_47
0.1,1.125,9.1187061757808541e-04,1.0618205261640843e+00,200,paper_eq_46_47
0.1,1.125,9.2956650717888488e-04,1.0624294535990160e+00,200,paper_eq_46_47
0.1,1.125,9.4760580570494982e-04,1.0630444894678328e+00,200,paper_eq_46_47
0.1,1.125,9.6599517739823779e-04,1.0636656970681138e+00,200,paper_eq_46_47
0.1,1.125,9.8474141582792388e-04,1.0642931403884428e+00,200,paper_eq_46_47
0.1,1.125,1.0038514464001435e-03,1.0649268841164994e+00,200,paper_eq_46_47
0.1,1.125,1.0233323289164382e-03,1.0655669936472483e+00,200,paper_eq_46_47
0.1,1.125,1.0431912601818526e-03,1.0662135350912356e+00,200,paper_eq_46_47
0.1,1.125,1.0634355766636436e-03,1.0668665752829831e+00,200,paper_eq_46_47
0.1,1.125,1.0840727572015854e-03,1.0675261817894981e+00,200,paper_eq_46_47
0.1,1.125,1.1051104257708655e-03,1.0681924229188766e+00,200,paper_eq_46_47
0.1,1.125,1.1265563542986153e-03,1.0688653677290181e+00,200,paper_eq_46_47
0.1,1.125,1.1484184655350697e-03,1.0695450860364619e+00,200,paper_eq_46_47
0.1,1.125,1.1707048359804787e-03,1.0702316484253120e+00,200,paper_eq_46_47
