step,time,factor,applied,class_skipped,raw_max,raw_mean,used_max,used_mean,pre_accel_max,ratio_max,confining_ref,limited,relaxed,cap_min,lateral_used_max,cap_edge_used_max,interior_used_max,case,label,operator,mode,class_filter,stabilized
37.0,0.00386509,0.576726,407.0,0.0,2331220.0,1218840.0,2331220.0,1218840.0,85546.0,122.762,1.87206,0.0,0.0,0.0,2331220.0,1119400.0,837870.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
38.0,0.00387016,0.58011,407.0,0.0,2609040.0,1369040.0,2609040.0,1369040.0,99891.7,123.758,1.8646,0.0,0.0,0.0,2609040.0,1263110.0,943735.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
39.0,0.00387519,0.583461,407.0,0.0,2919550.0,1539230.0,2919550.0,1539230.0,116447.0,123.267,1.85566,0.0,0.0,0.0,2919550.0,1427420.0,1064240.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
40.0,0.00388022,0.586813,407.0,0.0,3325610.0,1690340.0,3325610.0,1690340.0,135768.0,232.871,1.84485,0.0,0.0,0.0,3325610.0,1648910.0,976502.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
41.0,0.00388525,0.590164,407.0,0.0,3718370.0,1911190.0,3718370.0,1911190.0,158310.0,191.729,1.83162,0.0,0.0,0.0,3718370.0,1855680.0,1136410.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
42.0,0.00389027,0.593515,380.0,0.0,3220030.0,1832670.0,3220030.0,1832670.0,137611.0,162.176,1.79924,0.0,0.0,0.0,3220030.0,2091140.0,1551410.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
43.0,0.0038953,0.596867,326.0,0.0,2767140.0,1745610.0,2767140.0,1745610.0,126788.0,142.976,1.65081,0.0,0.0,0.0,2767140.0,2268730.0,1522100.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
44.0,0.00390033,0.600218,294.0,0.0,2503580.0,1582450.0,2503580.0,1582450.0,122517.0,129.236,1.42026,0.0,0.0,0.0,2503580.0,2259650.0,2335650.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
45.0,0.00390535,0.60357,284.0,0.0,2533190.0,1573950.0,2533190.0,1573950.0,132874.0,117.06,1.31625,0.0,0.0,0.0,2533190.0,2328200.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
46.0,0.00391038,0.606921,256.0,0.0,2477520.0,1689700.0,2477520.0,1689700.0,137414.0,127.418,1.20847,0.0,0.0,0.0,2477520.0,2403070.0,0.0,CaseT4j_ConfOnly_Op3Unfiltered,op3 unfiltered,3,excess,off,off
