averaging_radius,averaging_radius_over_R,case,case_name,center_count,center_excess,center_excess_over_p0,configured_dp,frame_index,kind,resolution,time
0.0075,0.15,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,933.733269409,nan,0.01,1,diffusion,coarse,0.001005
0.010000000000000002,0.20000000000000004,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,933.733269409,nan,0.01,1,diffusion,coarse,0.001005
0.015,0.3,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,19,926.044173233342,nan,0.01,1,diffusion,coarse,0.001005
0.020000000000000004,0.4000000000000001,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,27,925.9812615005889,nan,0.01,1,diffusion,coarse,0.001005
nearest,nearest,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,933.733269409,nan,0.01,1,diffusion,coarse,0.001005
0.005000000000000001,0.10000000000000002,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,896.7734515015,nan,0.01,2,diffusion,coarse,0.002011
0.0075,0.15,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,896.7734515015,nan,0.01,2,diffusion,coarse,0.002011
0.010000000000000002,0.20000000000000004,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,7,874.266346039143,nan,0.01,2,diffusion,coarse,0.002011
0.015,0.3,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,19,859.8235293238527,nan,0.01,2,diffusion,coarse,0.002011
0.020000000000000004,0.4000000000000001,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,27,853.3069129888813,nan,0.01,2,diffusion,coarse,0.002011
nearest,nearest,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,896.7734515015,nan,0.01,2,diffusion,coarse,0.002011
0.005000000000000001,0.10000000000000002,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,679.183411806,nan,0.01,3,diffusion,coarse,0.003016
0.0075,0.15,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,679.183411806,nan,0.01,3,diffusion,coarse,0.003016
0.010000000000000002,0.20000000000000004,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,679.183411806,nan,0.01,3,diffusion,coarse,0.003016
0.015,0.3,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,19,718.6892962580683,nan,0.01,3,diffusion,coarse,0.003016
0.020000000000000004,0.4000000000000001,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,27,725.859126686322,nan,0.01,3,diffusion,coarse,0.003016
nearest,nearest,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,679.183411806,nan,0.01,3,diffusion,coarse,0.003016
0.005000000000000001,0.10000000000000002,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,721.9191734756,nan,0.01,4,diffusion,coarse,0.004022
0.0075,0.15,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,721.9191734756,nan,0.01,4,diffusion,coarse,0.004022
0.010000000000000002,0.20000000000000004,coarse_diffusion,CaseCryer_PR_StrictSphere_C5g_CoarseDiffusionNormalized,1,721.9191734756,nan,0.01,4,diffusion,coarse,0.004022
