case,time,frame_index,r_over_R_min,r_over_R_max,r_over_R_mid,excess_count,excess_mean,excess_median,excess_p95_abs,excess_p99_abs,excess_max,excess_maxAbs
mode5_mls_dp010,0.002011,2,0.95,1.0,0.975,24,819.9766276295082,819.9766281582,819.976629825525,819.9766301266509,819.9766302155,819.9766302155
mode5_mls_dp010,0.003016,3,0.0,0.2,0.1,1,701.9763597755,701.9763597755,701.9763597755,701.9763597755,701.9763597755,701.9763597755
mode5_mls_dp010,0.003016,3,0.2,0.4,0.30000000000000004,26,748.7306211490578,748.7752287150499,763.651362900375,763.651365342475,763.6513661503,763.6513661503
mode5_mls_dp010,0.003016,3,0.4,0.6,0.5,66,785.3888452021013,787.6310727404,788.1131667172999,788.1131713607749,788.1131726663,788.1131726663
mode5_mls_dp010,0.003016,3,0.6,0.8,0.7,158,751.8565548279672,735.40772361315,789.087886334385,793.5357613229339,793.535765754,793.535765754
mode5_mls_dp010,0.003016,3,0.8,0.9,0.8500000000000001,138,721.6854657501863,723.82881097215,725.619403842835,727.8879654550831,727.8879693502,727.8879693502
mode5_mls_dp010,0.003016,3,0.9,0.95,0.925,72,715.0660784321473,716.90099330175,716.901001003805,716.9010056312,716.9010056525,716.9010056525
mode5_mls_dp010,0.003016,3,0.95,1.0,0.975,24,708.2334392448792,708.2334400478001,708.23344321708,708.233444393884,708.2334447295,708.2334447295
mode5_mls_dp010,0.004022,4,0.0,0.2,0.1,7,738.3121299085857,734.4798308156,753.25809584782,759.696353742124,761.3059182157,761.3059182157
mode5_mls_dp010,0.004022,4,0.2,0.4,0.30000000000000004,20,705.01959887425,712.25547814755,712.25548666859,712.255487287078,712.2554874417,712.2554874417
mode5_mls_dp010,0.004022,4,0.4,0.6,0.5,66,665.3421995817073,662.16953645425,681.210163736375,681.2101695121149,681.2101723116,681.2101723116
mode5_mls_dp010,0.004022,4,0.6,0.8,0.7,158,624.6406231622115,612.2916122448,650.16941052312,650.238482082556,650.2384849121,650.2384849121
mode5_mls_dp010,0.004022,4,0.8,0.9,0.8500000000000001,138,615.3695930364672,616.1761244048,617.90932448001,617.909328124969,617.9093294349,617.9093294349
mode5_mls_dp010,0.004022,4,0.9,0.95,0.925,72,615.7026349070933,615.3825422074001,616.34283601974,616.3428414657101,616.3428420614,616.3428420614
mode5_mls_dp010,0.004022,4,0.95,1.0,0.975,24,613.6764487153793,613.6764485434501,613.676458143495,613.6764599521459,613.6764604351,613.6764604351
mode5_mls_dp010,0.005027,5,0.0,0.2,0.1,1,750.1929955737,750.1929955737,750.1929955737,750.1929955737,750.1929955737,750.1929955737
mode5_mls_dp010,0.005027,5,0.2,0.4,0.30000000000000004,26,781.7274381733617,783.26131605255,786.7519872384,786.751994432425,786.751996751,786.751996751
mode5_mls_dp010,0.005027,5,0.4,0.6,0.5,66,776.4153265696606,774.8008089769501,789.029729601525,789.02975738288,789.0297590396,789.0297590396
mode5_mls_dp010,0.005027,5,0.6,0.8,0.7,158,701.694337311573,680.3294138351,746.65079209042,752.422879656648,752.4228911621,752.4228911621
mode5_mls_dp010,0.005027,5,0.8,0.9,0.8500000000000001,138,648.2333482575119,650.23644135545,657.9408336071749,663.487889632622,663.4878988185,663.4878988185
mode5_mls_dp010,0.005027,5,0.9,0.95,0.925,72,624.182972866503,625.65155105735,625.65156247684,625.65156382933,625.6515649064,625.6515649064
mode5_mls_dp010,0.005027,5,0.95,1.0,0.975,30,615.3614748475935,609.6766918864,638.10061070192,638.100626796374,638.1006328775,638.1006328775
mode5_mls_dp010,0.006032,6,0.0,0.2,0.1,1,596.3503414093,596.3503414093,596.3503414093,596.3503414093,596.3503414093,596.3503414093
mode5_mls_dp010,0.006032,6,0.2,0.4,0.30000000000000004,26,578.5257123657153,578.4118604231,586.49979612395,586.4997976253251,586.4997980926,586.4997980926
mode5_mls_dp010,0.006032,6,0.4,0.6,0.5,66,564.5843868057443,564.7082803107,567.9147946027999,567.9148039311,567.9148063231,567.9148063231
mode5_mls_dp010,0.006032,6,0.6,0.8,0.7,158,545.0102983976283,536.00495079955,565.7575887589251,565.757597949058,565.7576042304,565.7576042304
mode5_mls_dp010,0.006032,6,0.8,0.9,0.8500000000000001,138,538.6090288515312,541.1654631575,542.5957870582,542.595796869062,542.5958000085,542.5958000085
mode5_mls_dp010,0.006032,6,0.9,0.95,0.925,72,534.8429287240652,530.3798033406999,543.76920489348,543.7692125929191,543.7692181246,543.7692181246
mode5_mls_dp010,0.006032,6,0.95,1.0,0.975,24,549.1975852495084,549.1975864765,549.197604105305,549.197605222239,549.1976053834,549.1976053834
