dp_label,dp,field,r_over_R,exact_laplacian,material_laplacian,mode8_exact_boundary_laplacian,mode8_zero_boundary_laplacian
dp=0.010,0.01,constant,0.8246211251235361,0.0,0.0,-3.23525719862877e-13,-5808.06923261149
dp=0.010,0.01,constant,0.8246211251235361,0.0,0.0,-6.220702691649099e-13,-5808.039626455488
dp=0.010,0.01,constant,0.8246211251235376,0.0,0.0,-2.91815755990159e-13,-6762.807198203465
dp=0.010,0.01,constant,0.8485281374238538,0.0,0.0,2.881422662473249e-13,-5127.364310799445
dp=0.010,0.01,constant,0.8485281374238538,0.0,0.0,2.6858447784088793e-12,-8910.916227761778
dp=0.010,0.01,constant,0.8485281374238538,0.0,0.0,7.827685740682505e-14,-5129.12088373257
dp=0.010,0.01,constant,0.8485281374238551,0.0,0.0,-8.761013222986652e-13,-5129.141615646977
dp=0.010,0.01,constant,0.8485281374238551,0.0,0.0,-9.699289697809987e-13,-5129.150830352811
dp=0.010,0.01,constant,0.8485281374238565,0.0,0.0,2.0717192054236981e-13,-5129.132829365662
dp=0.010,0.01,constant,0.8485281374238577,0.0,0.0,4.956242455513651e-13,-8910.84719924265
dp=0.010,0.01,constant,0.8485281374238577,0.0,0.0,3.863837526794967e-12,-8911.048682310355
dp=0.010,0.01,constant,0.8485281374238577,0.0,0.0,5.09982609035431e-14,-8911.035192333587
dp=0.010,0.01,constant,0.8485281374238591,0.0,0.0,4.546779036368753e-14,-5130.383485855749
dp=0.010,0.01,constant,0.8485281374238604,0.0,0.0,9.190585393370269e-13,-5127.445550665741
dp=0.010,0.01,constant,0.8485281374238604,0.0,0.0,-2.078200513261144e-13,-5129.105859615426
dp=0.010,0.01,constant,0.8485281374238616,0.0,0.0,6.921801114576482e-13,-5129.151882243676
dp=0.010,0.01,constant,0.8485281374238616,0.0,0.0,2.3997061383457173e-12,-8910.955037489615
dp=0.010,0.01,constant,0.8485281374238616,0.0,0.0,-5.31230650626642e-13,-5129.116870098049
dp=0.010,0.01,constant,0.871779788708131,0.0,0.0,-2.700591111992737e-12,-7534.960280036274
dp=0.010,0.01,constant,0.8717797887081322,0.0,0.0,-1.0406379886817702e-12,-7534.883774960911
dp=0.010,0.01,constant,0.8717797887081348,0.0,0.0,-4.48201323096035e-13,-7534.8076055664815
dp=0.010,0.01,constant,0.8717797887081348,0.0,0.0,-8.479364815775036e-13,-7534.834602799404
dp=0.010,0.01,constant,0.8717797887081348,0.0,0.0,-8.739918211670507e-13,-7534.915281901186
dp=0.010,0.01,constant,0.871779788708136,0.0,0.0,1.6451036900891102e-13,-7534.837279554159
dp=0.010,0.01,constant,0.871779788708136,0.0,0.0,-3.5207620341439574e-12,-7534.889748147277
dp=0.010,0.01,constant,0.8717797887081387,0.0,0.0,-3.10684369384863e-13,-7534.864271107623
dp=0.010,0.01,constant,0.8717797887081399,0.0,0.0,9.678780213451683e-13,-7534.862222679479
dp=0.010,0.01,constant,0.894427190999913,0.0,0.0,-1.2640307848551042e-12,-4492.178615772221
dp=0.010,0.01,constant,0.894427190999913,0.0,0.0,1.1632725446391895e-13,-4492.243917543856
dp=0.010,0.01,constant,0.894427190999913,0.0,0.0,2.7008126318825907e-13,-4491.787728054571
dp=0.010,0.01,constant,0.8944271909999154,0.0,0.0,-6.732349054861049e-13,-4491.709844222154
dp=0.010,0.01,constant,0.8944271909999154,0.0,0.0,-2.288791369495591e-13,-4491.898881606887
dp=0.010,0.01,constant,0.894427190999918,0.0,0.0,-9.295611409440981e-13,-4492.055438788529
dp=0.010,0.01,constant,0.894427190999918,0.0,0.0,1.6997635389449667e-13,-4489.6625300514515
dp=0.010,0.01,constant,0.894427190999918,0.0,0.0,1.5831306132573052e-13,-4491.8158108611615
dp=0.010,0.01,constant,0.8944271909999203,0.0,0.0,-8.791513094485001e-13,-4491.883243045194
dp=0.010,0.01,constant,0.8944271909999203,0.0,0.0,1.6821343440484134e-12,-4494.9649003135855
dp=0.010,0.01,constant,0.9165151389911644,0.0,0.0,5.467118055877652e-13,-2982.196295970187
dp=0.010,0.01,constant,0.9165151389911644,0.0,0.0,5.188614686830921e-13,-2981.957324231571
dp=0.010,0.01,constant,0.9165151389911644,0.0,0.0,-9.53388732759836e-13,-2983.3179484396105
dp=0.010,0.01,constant,0.9165151389911658,0.0,0.0,-8.221937968956427e-13,-2983.1206339228584
dp=0.010,0.01,constant,0.9165151389911658,0.0,0.0,-5.852284838069288e-13,-2983.504370515725
dp=0.010,0.01,constant,0.916515138991167,0.0,0.0,-2.2444765572230506e-14,-2984.472761146165
dp=0.010,0.01,constant,0.916515138991167,0.0,0.0,4.206398155912625e-13,-2983.3352506908545
dp=0.010,0.01,constant,0.9165151389911682,0.0,0.0,1.4218937715983786e-13,-2983.0661730858205
dp=0.010,0.01,constant,0.9165151389911682,0.0,0.0,5.241820991676099e-13,-2983.384539521789
dp=0.010,0.01,constant,0.9165151389911682,0.0,0.0,-8.612156473603146e-13,-2982.515298005674
dp=0.010,0.01,constant,0.9165151389911693,0.0,0.0,3.9972493199241995e-13,-2980.815793493193
dp=0.010,0.01,constant,0.9165151389911693,0.0,0.0,-3.6074201856823095e-14,-2983.240963577998
dp=0.010,0.01,constant,0.9165151389911705,0.0,0.0,-2.987330364517182e-13,-2981.784306146248
dp=0.010,0.01,constant,0.9165151389911705,0.0,0.0,8.213918998275258e-13,-2982.555822562908
dp=0.010,0.01,constant,0.9165151389911705,0.0,0.0,4.2060941842768176e-14,-2981.1550338325624
dp=0.010,0.01,constant,0.9165151389911719,0.0,0.0,-3.590054304161773e-13,-2983.103852235313
dp=0.010,0.01,constant,0.9165151389911719,0.0,0.0,-8.638266340455335e-13,-2983.1521915668395
dp=0.010,0.01,constant,0.916515138991173,0.0,0.0,1.611361481498072e-13,-2982.8166891909027
dp=0.010,0.01,constant,0.916515138991173,0.0,0.0,3.4601868020300176e-13,-2982.720923725604
dp=0.010,0.01,constant,0.9165151389911731,0.0,0.0,-8.707165359612154e-13,-2985.2111846214952
dp=0.010,0.01,constant,0.9380831519646818,0.0,0.0,3.78718879867824e-13,-2263.0761537087938
dp=0.010,0.01,constant,0.9380831519646844,0.0,0.0,-4.1163072867302957e-13,-2261.1806785897484
dp=0.010,0.01,constant,0.9380831519646855,0.0,0.0,3.75295976576305e-13,-2260.90931648105
dp=0.010,0.01,constant,0.9380831519646855,0.0,0.0,-1.6053211039445374e-13,-2263.070903342332
dp=0.010,0.01,constant,0.9380831519646878,0.0,0.0,-2.0644763966168496e-13,-2262.052248348242
dp=0.010,0.01,constant,0.9380831519646878,0.0,0.0,-6.848837520762848e-14,-2259.4703454975634
dp=0.010,0.01,constant,0.9380831519646878,0.0,0.0,-2.7368557687757063e-13,-2262.80547652132
dp=0.010,0.01,constant,0.938083151964689,0.0,0.0,2.6997816752039065e-14,-2261.212572959607
dp=0.010,0.01,constant,0.9380831519646915,0.0,0.0,-1.6277921894287734e-13,-2263.245328199357
dp=0.010,0.01,constant,0.9797958971132675,0.0,0.0,-1.10116891398953e-12,3472.4165335749462
dp=0.010,0.01,constant,0.9797958971132699,0.0,0.0,4.642448804676816e-13,3478.922550537928
