case,time,targets,corrected,fallback,material_samples,boundary_samples,avg_material,avg_boundary,support,r_min_factor,r_threshold,boundary_weight,condition_limit,cond_min,cond_mean,cond_max,mean_lap,max_abs_lap,mean_abs_replaced,max_abs_replaced
mode8_corrected_laplacian_dp008,0.00321722,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.52,2285.55,-1042710.0,29565300.0,10923500.0,31699200.0
mode8_corrected_laplacian_dp008,0.00329764,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.51,2285.52,-1833970.0,26812900.0,10421300.0,28016400.0
mode8_corrected_laplacian_dp008,0.00329764,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.5,2285.5,-1832830.0,26815100.0,10421600.0,28018600.0
mode8_corrected_laplacian_dp008,0.00337806,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.269,1410.49,2285.47,-2861450.0,24959800.0,9822160.0,23211900.0
mode8_corrected_laplacian_dp008,0.00337806,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.27,1410.48,2285.44,-2860210.0,24959200.0,9821930.0,23214500.0
mode8_corrected_laplacian_dp008,0.00345848,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.27,1410.46,2285.4,-4139680.0,26244700.0,9697120.0,21228400.0
mode8_corrected_laplacian_dp008,0.00345848,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.271,1410.45,2285.37,-4138380.0,26243900.0,9696920.0,21227600.0
mode8_corrected_laplacian_dp008,0.0035389,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.272,1410.43,2285.33,-2122810.0,22705500.0,9363750.0,22853100.0
mode8_corrected_laplacian_dp008,0.0035389,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.272,1410.41,2285.29,-2121230.0,22709000.0,9364170.0,22856600.0
mode8_corrected_laplacian_dp008,0.00361931,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.273,1410.39,2285.25,-3846730.0,21576100.0,8414700.0,19045400.0
mode8_corrected_laplacian_dp008,0.00361931,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.275,1410.37,2285.2,-3845230.0,21575300.0,8415130.0,19044700.0
mode8_corrected_laplacian_dp008,0.00369973,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.276,1410.35,2285.16,-5740760.0,23260600.0,8148140.0,18850800.0
mode8_corrected_laplacian_dp008,0.00369973,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.277,1410.33,2285.11,-5739330.0,23259900.0,8147970.0,18850000.0
mode8_corrected_laplacian_dp008,0.00378014,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.279,1410.31,2285.06,-7838160.0,25015000.0,8314400.0,18679700.0
mode8_corrected_laplacian_dp008,0.00378014,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.281,1410.29,2285.01,-7836820.0,25014300.0,8313820.0,18678900.0
mode8_corrected_laplacian_dp008,0.00386054,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.282,1410.26,2284.96,-10175600.0,26864700.0,10339700.0,18540900.0
mode8_corrected_laplacian_dp008,0.00386054,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.284,1410.24,2284.91,-10174400.0,26863900.0,10338400.0,18540100.0
mode8_corrected_laplacian_dp008,0.00394095,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.287,1410.21,2284.85,-12794200.0,28831300.0,12945100.0,29394500.0
mode8_corrected_laplacian_dp008,0.00394095,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.289,1410.18,2284.79,-12793100.0,28830600.0,12943900.0,29390400.0
mode8_corrected_laplacian_dp008,0.00402135,594.0,594.0,0.0,56388.0,5346.0,94.9293,9.0,0.0288,0.7,0.035,1.0,1000000000000.0,582.292,1410.15,2284.72,-15740600.0,30933600.0,15877000.0,44437100.0
