dp_label,dp,field,operator,r_over_R_min,r_over_R_max,count,bias,rmse,p95_abs_error
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,0.8,0.9,135,-235.47815918258368,318.1290372763172,536.5895531796168
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,0.9,0.95,72,-785.2616655548878,795.8188551170115,968.0050336834988
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,0.95,1.0,33,-1382.6470389303029,1396.4089470880385,1711.9297313268114
dp=0.010,0.01,smooth_quartic,mode8_exact_boundary,1.0,1.12,245,-2249.2410427110794,2284.2368101106563,2772.1236060319197
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.0,0.2,4,423.44465333852895,423.4447582299273,423.8576379824033
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.2,0.4,26,422.2930615431132,422.2934573586561,423.2725764035829
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.4,0.6,78,426.5660241736502,426.65899653643737,441.45501831930386
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.6,0.8,146,452.52495660392844,457.119400223157,563.5951328389542
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.8,0.9,135,-235.47815918258368,318.1290372763172,536.5895531796168
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.9,0.95,72,-785.2616655548878,795.8188551170115,968.0050336834988
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,0.95,1.0,33,-1382.6470389303029,1396.4089470880385,1711.9297313268114
dp=0.010,0.01,smooth_quartic,mode8_drained_zero_boundary,1.0,1.12,245,-2249.2410427110794,2284.2368101106563,2772.1236060319197
dp=0.008,0.008,constant,material_only,0.0,0.2,7,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,0.2,0.4,74,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,0.4,0.6,170,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,0.6,0.8,243,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,0.8,0.9,245,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,0.9,0.95,156,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,0.95,1.0,126,0.0,0.0,0.0
dp=0.008,0.008,constant,material_only,1.0,1.12,192,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_exact_boundary,0.0,0.2,7,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_exact_boundary,0.2,0.4,74,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_exact_boundary,0.4,0.6,170,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_exact_boundary,0.6,0.8,243,-2.4688673923463895e-13,7.505885306441941e-13,1.6968538111742096e-12
dp=0.008,0.008,constant,mode8_exact_boundary,0.8,0.9,245,-1.2486328660096682e-13,1.1699465650189278e-12,2.2092458372497707e-12
dp=0.008,0.008,constant,mode8_exact_boundary,0.9,0.95,156,3.323940548357205e-13,2.5747646211133417e-12,5.5243537206328815e-12
dp=0.008,0.008,constant,mode8_exact_boundary,0.95,1.0,126,-5.988682694979304e-13,3.496581098007346e-12,7.285701579426944e-12
dp=0.008,0.008,constant,mode8_exact_boundary,1.0,1.12,192,-9.586063988070515e-13,4.8323579223043075e-12,9.588775154697903e-12
dp=0.008,0.008,constant,mode8_drained_zero_boundary,0.0,0.2,7,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_drained_zero_boundary,0.2,0.4,74,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_drained_zero_boundary,0.4,0.6,170,0.0,0.0,0.0
dp=0.008,0.008,constant,mode8_drained_zero_boundary,0.6,0.8,243,-4389.420076458615,6099.327113977597,10179.232147351448
dp=0.008,0.008,constant,mode8_drained_zero_boundary,0.8,0.9,245,-13086.463676524421,13178.184010367588,15349.871521961486
dp=0.008,0.008,constant,mode8_drained_zero_boundary,0.9,0.95,156,-16951.832680937292,17114.881541623206,19157.552789865666
dp=0.008,0.008,constant,mode8_drained_zero_boundary,0.95,1.0,126,-19307.382088741942,19843.17833061474,25850.9804646551
dp=0.008,0.008,constant,mode8_drained_zero_boundary,1.0,1.12,192,6857.2624145465115,10297.407796804026,19217.01512382645
dp=0.008,0.008,quadratic_r2,material_only,0.0,0.2,7,-0.012905770121061469,0.012905770121061469,0.012905770121061977
dp=0.008,0.008,quadratic_r2,material_only,0.2,0.4,74,-0.01290577012106104,0.012905770121061042,0.012905770121061977
dp=0.008,0.008,quadratic_r2,material_only,0.4,0.6,170,-0.03532759478716569,0.04565510675425484,0.0801674300433111
dp=0.008,0.008,quadratic_r2,material_only,0.6,0.8,243,-1.2322024229214275,1.5301671266128145,3.025115966218303
dp=0.008,0.008,quadratic_r2,material_only,0.8,0.9,245,-5.325437504260644,5.498835953053562,7.228157139845844
dp=0.008,0.008,quadratic_r2,material_only,0.9,0.95,156,-9.789403669166417,9.825529963268291,10.777271136555651
dp=0.008,0.008,quadratic_r2,material_only,0.95,1.0,126,-12.045723717542371,12.055897513055575,12.462431428391987
dp=0.008,0.008,quadratic_r2,material_only,1.0,1.12,192,-13.655642726001622,13.657461527767278,14.055273974137279
dp=0.008,0.008,quadratic_r2,mode8_exact_boundary,0.0,0.2,7,-0.012905770121061469,0.012905770121061469,0.012905770121061977
dp=0.008,0.008,quadratic_r2,mode8_exact_boundary,0.2,0.4,74,-0.01290577012106104,0.012905770121061042,0.012905770121061977
dp=0.008,0.008,quadratic_r2,mode8_exact_boundary,0.4,0.6,170,-0.03532759478716569,0.04565510675425484,0.0801674300433111
dp=0.008,0.008,quadratic_r2,mode8_exact_boundary,0.6,0.8,243,-0.21152003237658562,0.33388734515610735,0.7401503015903835
dp=0.008,0.008,quadratic_r2,mode8_exact_boundary,0.8,0.9,245,2.5449030637938284e-15,7.089095106092361e-15,1.3322676295501878e-14
dp=0.008,0.008,quadratic_r2,mode8_exact_boundary,0.9,0.95,156,1.6624878112335678e-15,9.54851381949677e-15,1.865174681370263e-14
dp=0.008,0.008,quadratic_r2,mode8_exact_boundary,0.95,1.0,126,3.4540271877227093e-16,1.2452862156318912e-14,2.4424906541753444e-14
dp=0.008,0.008,quadratic_r2,mode8_exact_boundary,1.0,1.12,192,-4.2095956350370517e-16,1.630063003663957e-14,3.3661962106634726e-14
dp=0.008,0.008,quadratic_r2,mode8_drained_zero_boundary,0.0,0.2,7,-0.012905770121061469,0.012905770121061469,0.012905770121061977
dp=0.008,0.008,quadratic_r2,mode8_drained_zero_boundary,0.2,0.4,74,-0.01290577012106104,0.012905770121061042,0.012905770121061977
dp=0.008,0.008,quadratic_r2,mode8_drained_zero_boundary,0.4,0.6,170,-0.03532759478716569,0.04565510675425484,0.0801674300433111
dp=0.008,0.008,quadratic_r2,mode8_drained_zero_boundary,0.6,0.8,243,-11.185070223523123,15.251972856974755,25.448080368378633
dp=0.008,0.008,quadratic_r2,mode8_drained_zero_boundary,0.8,0.9,245,-32.71615919131105,32.94546002591897,38.374678804903716
dp=0.008,0.008,quadratic_r2,mode8_drained_zero_boundary,0.9,0.95,156,-42.37958170234324,42.78720385405803,47.893881974664176
dp=0.008,0.008,quadratic_r2,mode8_drained_zero_boundary,0.95,1.0,126,-48.26845522185486,49.60794582653688,64.62745116163774
dp=0.008,0.008,quadratic_r2,mode8_drained_zero_boundary,1.0,1.12,192,17.143156036366282,25.743519492010062,48.042537809566156
dp=0.008,0.008,linear_gap,material_only,0.0,0.2,6,36.1618511072649,36.1618511072649,36.16185110726687
dp=0.008,0.008,linear_gap,material_only,0.2,0.4,74,2.4703063717247558,4.049585352648003,9.492292872070635
dp=0.008,0.008,linear_gap,material_only,0.4,0.6,170,0.43921187377761733,0.5482246743589984,0.9498315986566581
dp=0.008,0.008,linear_gap,material_only,0.6,0.8,243,13.29139613552193,16.302569268332746,31.812411405645246
dp=0.008,0.008,linear_gap,material_only,0.8,0.9,245,53.53381365186269,55.07943045287977,71.45776394726587
dp=0.008,0.008,linear_gap,material_only,0.9,0.95,156,93.0370076433696,93.32707523910786,101.48152686856992
dp=0.008,0.008,linear_gap,material_only,0.95,1.0,126,110.74456165150409,110.80716007500575,113.97773511221266
dp=0.008,0.008,linear_gap,material_only,1.0,1.12,192,120.68889714925092,120.69331435629401,122.23705620025615
dp=0.008,0.008,linear_gap,mode8_exact_boundary,0.0,0.2,6,36.1618511072649,36.1618511072649,36.16185110726687
dp=0.008,0.008,linear_gap,mode8_exact_boundary,0.2,0.4,74,2.4703063717247558,4.049585352648003,9.492292872070635
dp=0.008,0.008,linear_gap,mode8_exact_boundary,0.4,0.6,170,0.43921187377761733,0.5482246743589984,0.9498315986566581
dp=0.008,0.008,linear_gap,mode8_exact_boundary,0.6,0.8,243,3.8847424170190297,4.2764867105332955,8.220092523899678
dp=0.008,0.008,linear_gap,mode8_exact_boundary,0.8,0.9,245,1.3118008318037018,1.472833780261097,2.2919563438943955
dp=0.008,0.008,linear_gap,mode8_exact_boundary,0.9,0.95,156,-1.0813991656792221,1.126852152065387,1.4238951740718875
