case,part,time,region,particle_count,platen_contamination,porepress_mean,porepress_std,porepressrate_maxabs,divvel_mean,divvel_maxabs,kplastic_max,kplastic_mean,kplastic_nonzero_count,kplastic_fraction,sigma_xx_mean,sigma_yy_mean,sigma_zz_mean,sigma_a_proxy,reaction_force_proxy,p_eff_proxy,q_proxy
dp_high_strength,24,0.012065,specimen_minus_edges,63,0,96002.56427119322,10633.873362108483,20177554.0,-0.02096916233333333,0.030412164,0.0,0.0,0,0.0,-31.735397888888897,-31.735399269841274,-917.5771414285716,917.5771414285716,2.5943882459525307,327.0159795291006,885.8417428492065
dp_high_strength,25,0.012567,specimen_minus_edges,63,0,97174.5289248789,10305.031327273196,13824810.0,-0.012791787282539685,0.020817481,0.0,0.0,0,0.0,-34.438491,-34.43849473015872,-953.1058523809522,953.1058523809522,2.6948433095400937,340.660946037037,918.6673595158729
dp_high_strength,26,0.01307,specimen_minus_edges,63,0,100170.57588437396,10145.21781164177,9918530.0,-0.007152583188888891,0.015030533,0.0,0.0,0,0.0,-30.50370123015873,-30.503707250793653,-984.1381657142857,984.1381657142857,2.782585108372801,348.38185806507937,953.6344614738096
dp_high_strength,27,0.013573,specimen_minus_edges,63,0,98870.02877033097,9638.256702895547,10145438.0,-0.0074857601206349215,0.015286426,0.0,0.0,0,0.0,-23.915796553539675,-23.915801992174597,-1015.0341203174603,1015.0341203174603,2.8699413619790803,354.28857295439155,991.1183210446034
dp_high_strength,28,0.014075,specimen_minus_edges,63,0,102317.949808764,9729.306878297702,12295161.0,-0.012658194888888887,0.018587852,0.0,0.0,0,0.0,-19.761642150317456,-19.761645059365076,-1049.8252663492062,1049.8252663492062,2.9683110098840526,363.1161845196296,1030.0636227443654
dp_high_strength,29,0.014578,specimen_minus_edges,63,0,103869.55190829854,9698.167358328317,14890679.0,-0.018430546761904754,0.022410337,0.0,0.0,0,0.0,-20.447568401587294,-20.447567412380952,-1089.7534174603175,1089.7534174603175,3.0812051974659336,376.88285109142856,1069.3058495533337
dp_high_strength,30,0.015081,specimen_minus_edges,63,0,110642.84645648825,9622.269960942083,18560780.0,-0.02092267619047619,0.027917558,0.0,0.0,0,0.0,-24.50638962698412,-24.506384352380948,-1133.031580952381,1133.031580952381,3.203571321904706,394.01478497724867,1108.525193962699
dp_high_strength,31,0.015584,specimen_minus_edges,63,0,113219.73339934651,9526.32923014551,20053532.0,-0.019129824682539685,0.030123683,0.0,0.0,0,0.0,-28.284129793650795,-28.28412033809524,-1176.5201126984132,1176.5201126984132,3.326532248568573,411.0294542767197,1148.2359876325404
dp_high_strength,32,0.016086,specimen_minus_edges,63,0,118805.28381989681,9408.401604378441,18716034.0,-0.015054714057142857,0.028183442,0.0,0.0,0,0.0,-28.85296361587303,-28.852952788888892,-1217.8746238095239,1217.8746238095239,3.4434593740380897,425.1935134047619,1189.0216656071432
dp_high_strength,33,0.016589,specimen_minus_edges,63,0,119259.15934613174,9683.481881991236,16300621.0,-0.011895981512698411,0.024511045,0.0,0.0,0,0.0,-25.95434298730158,-25.95433257460318,-1256.7006206349206,1256.7006206349206,3.55323729379356,436.2030987322751,1230.7462828539685
