case,part,time,velocity_max,specimen_velocity_max,porepressrate_maxabs,divvel_maxabs,porepress_mean,porepress_std,kplastic_max,kplastic_mean,kplastic_nonzero_count,kplastic_fraction,kplastic_growth_rate,reaction_force_proxy,p_eff_proxy,q_proxy
dp_mild_yield,21,0.010556,0.0049999999,0.004399951177980303,12621648.0,0.019028597,-2528.1884891938544,22554.823135868173,0.00081766921,0.00022381328063120396,407,1.0,0.07439125498007965,0.47357955321874623,79.29159267176904,132.3043671323957
dp_mild_yield,22,0.011059,0.0049999999,0.004567540752941444,20476470.0,0.030853081,-4606.288614823002,24985.3797104009,0.00086084666,0.00023807711998132672,407,1.0,0.08583986083499023,0.4737663092441454,78.70689101972967,133.28049675910302
dp_mild_yield,23,0.011562,0.0049999999,0.004702722400169831,25391846.0,0.038197581,-8176.60765588831,24707.983310207233,0.00090905791,0.00025554121129484054,407,1.0,0.09584741550695808,0.4523108441949251,73.48650582790337,129.72859681711313
dp_mild_yield,24,0.012064,0.0049999999,0.0047369783693856,24649986.0,0.037117943,-12547.009937745179,27477.306647119385,0.00095948309,0.0002744519895724814,407,1.0,0.10044856573705171,0.42143343802920696,66.24538151918922,124.20931054308365
dp_mild_yield,25,0.012567,0.0049999999,0.004663162225586739,20732238.0,0.031247506,-16519.11063327723,26234.562431069557,0.0010087689,0.0002928785686756759,407,1.0,0.0979837176938371,0.39461669936294497,60.08070340761503,119.2296059893144
dp_mild_yield,26,0.01307,0.0049999999,0.004532476592255361,17466740.0,0.02633067,-19268.84464907026,27785.17499167333,0.0010544584,0.0003091580765528256,407,1.0,0.0908339960238568,0.38308863914969976,57.44237001879606,117.07128018187959
dp_mild_yield,27,0.013572,0.0049999999,0.004417364000000002,13138675.0,0.019819597,-20417.427299717066,25511.86152678964,0.0010957666,0.0003227887244742014,407,1.0,0.08228725099601572,0.3905698629798696,59.21900693598689,118.37523731592137
dp_mild_yield,28,0.014075,0.0049999999,0.004383224500000001,9536857.0,0.014444861,-20392.504991169597,26910.993094486777,0.0011336852,0.00033459518639312015,407,1.0,0.07538489065606373,0.4118236293864254,64.38268754113022,121.90518968461913
dp_mild_yield,29,0.014578,0.0049999999,0.0043957378,9808017.0,0.014815458,-19869.35537767995,25124.607562576697,0.0011703796,0.0003459777707297295,407,1.0,0.07295109343936385,0.4365221096867754,70.45017803022932,125.90690470649879
dp_mild_yield,30,0.01508,0.0049999999,0.004465573808472968,13270319.0,0.02003408,-20137.49003781756,27288.69891903851,0.0012080462,0.00035816582974447145,407,1.0,0.0750330677290838,0.45466352015151823,74.74438416028667,129.089912678489
dp_mild_yield,31,0.015583,0.0049999999,0.004553990276995664,16615520.0,0.025028421,-21442.6421242731,25990.468798122307,0.0012480224,0.0003720053183783785,407,1.0,0.07947554671968193,0.45973676724887713,75.64714587406228,130.42721128472985
dp_mild_yield,32,0.016086,0.0049999999,0.004620163555584633,18740876.0,0.028266771,-24168.51061812678,28292.58800154603,0.0012904574,0.00038788549750614254,407,1.0,0.08436381709741542,0.4500265809624809,73.15519706104264,129.01372068484898
dp_mild_yield,33,0.016589,0.0049999999,0.004639772110999764,19833354.0,0.029893905,-27517.93316509589,26639.718368805065,0.0013344564,0.0004050929848550368,407,1.0,0.08747316103379738,0.4310067580119347,68.64739382575756,125.68509607340295
dp_mild_yield,34,0.017091,0.0049999999,0.004612959763382156,18826390.0,0.0284063,-30972.158612681353,28489.3492950126,0.0013785716,0.0004223502371523345,407,1.0,0.08787888446215161,0.4118752691643784,64.20658750279196,122.19673549519781
dp_mild_yield,35,0.017594,0.0049999999,0.004560002741097767,17242928.0,0.025982214,-33608.331178388195,26485.901223327142,0.0014214092,0.00043848919069778885,407,1.0,0.0851642147117296,0.4011515380582338,61.75298053533985,120.18802989993854
dp_mild_yield,36,0.018097,0.004506593597174218,0.004506593597174218,14385874.0,0.021725578,-35251.016202382,28273.87434790647,0.0014621217,0.00045292589326289965,407,1.0,0.0809393638170974,0.4031128923098545,62.23262833995903,120.50908894067557
