step,path,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,eps_v,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,sigmac_xx,sigmac_yy,sigmac_zz,p,q,pc,e,eps_p_v,eps_p_eq,plastic_multiplier,yield_f,yield_f_normalized,return_status,yield_flag,iterations,residual,pore_pressure_proxy
39,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,163.94983947727104,163.94983947727104,163.94983947727104,0,0,0,-163.94983947727104,-163.94983947727104,-163.94983947727104,163.94983947727104,0,163.94983948306685,0.76867860152749912,0.0022020405193645806,0.0022020405193645801,1.3288097050762527e-06,-1.3683202837135313e-06,3.5351128422821375e-11,plastic_converged,1,3,-1.3683202837135313e-06,0
40,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,164.51888734814574,164.51888734814574,164.51888734814574,0,0,0,-164.51888734814574,-164.51888734814574,-164.51888734814574,164.51888734814574,0,164.51888735406405,0.76788269615681171,0.0025154693512916479,0.0025154693512916475,1.3230025717818997e-06,-1.402090095109596e-06,3.5973434377628556e-11,plastic_converged,1,3,-1.402090095109596e-06,0
41,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,165.08913016633673,165.08913016633673,165.08913016633673,0,0,0,-165.08913016633673,-165.08913016633673,-165.08913016633673,165.08913016633673,0,165.08913017238075,0.76708714894354113,0.0028286114056611873,0.0028286114056611869,1.3172263962364144e-06,-1.4368345581701807e-06,3.6610639432236357e-11,plastic_converged,1,3,-1.4368345581701807e-06,0
42,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,165.66056747120848,165.66056747120848,165.66056747120848,0,0,0,-165.66056747120848,-165.66056747120848,-165.66056747120848,165.66056747120848,0,165.66056747738051,0.76629195972651654,0.0031414667933006043,0.0031414667933006039,1.3114809950567165e-06,-1.4723452684089417e-06,3.725708593289613e-11,plastic_converged,1,3,-1.4723452684089417e-06,0
43,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,166.23319879456238,166.23319879456238,166.23319879456238,0,0,0,-166.23319879456238,-166.23319879456238,-166.23319879456238,166.23319879456238,0,166.23319880086476,0.76549712834463957,0.003454035626859545,0.0034540356268595446,1.3057661860190127e-06,-1.508635368737951e-06,3.7912835721790555e-11,plastic_converged,1,3,-1.508635368737951e-06,0
44,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,166.8070236606836,166.8070236606836,166.8070236606836,0,0,0,-166.8070236606836,-166.8070236606836,-166.8070236606836,166.8070236606836,0,166.8070236671187,0.76470265463688447,0.003766318020798947,0.0037663180207989466,1.3000817880339047e-06,-1.5457249462961184e-06,3.8578119789049522e-11,plastic_converged,1,3,-1.5457249462961184e-06,0
45,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,167.38204158636177,167.38204158636177,167.38204158636177,0,0,0,-167.38204158636177,-167.38204158636177,-167.38204158636177,167.38204158636177,0,167.38204159293201,0.76390853844229789,0.004078314091385456,0.004078314091385456,1.2944276211615793e-06,-1.5836274496071984e-06,3.9252995760471918e-11,plastic_converged,1,3,-1.5836274496071984e-06,0
46,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,167.95825208093896,167.95825208093896,167.95825208093896,0,0,0,-167.95825208093896,-167.95825208093896,-167.95825208093896,167.95825208093896,0,167.95825208764785,0.76311477959999885,0.0043900239566811534,0.0043900239566811534,1.2888035065848092e-06,-1.6226107863295207e-06,3.994378117323476e-11,plastic_converged,1,3,-1.6226107863295207e-06,0
47,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,168.53565464633311,168.53565464633311,168.53565464633311,0,0,0,-168.53565464633311,-168.53565464633311,-168.53565464633311,168.53565464633311,0,168.53565465318314,0.76232137794917887,0.0047014477365373087,0.0047014477365373087,1.2832092666184802e-06,-1.6624429482380126e-06,4.0644395933641179e-11,plastic_converged,1,3,-1.6624429482380126e-06,0
48,isotropic_compression_swelling,0.00014999999999999999,0.00014999999999999999,0.00014999999999999999,0,0,0,0.00044999999999999999,169.11424877707586,169.11424877707586,169.11424877707586,0,0,0,-169.11424877707586,-169.11424877707586,-169.11424877707586,169.11424877707586,0,169.11424878406962,0.76152833332910175,0.0050125855525857297,0.0050125855525857297,1.2776447246923409e-06,-1.7031516599555039e-06,4.1355228855841682e-11,plastic_converged,1,3,-1.7031516599555039e-06,0
