path,step,yield_flag,return_status,iterations,residual,yield_f,plastic_multiplier
drained_like,15,0,elastic,0,-6754.193786982245,-6754.193786982245,0.0
drained_like,16,0,elastic,0,-6571.171597633132,-6571.171597633132,0.0
drained_like,17,0,elastic,0,-6380.986686390528,-6380.986686390528,0.0
drained_like,18,0,elastic,0,-6183.639053254433,-6183.639053254433,0.0
drained_like,19,0,elastic,0,-5979.128698224847,-5979.128698224847,0.0
drained_like,20,0,elastic,0,-5767.4556213017695,-5767.4556213017695,0.0
drained_like,21,0,elastic,0,-5548.6198224852,-5548.6198224852,0.0
drained_like,22,0,elastic,0,-5322.621301775141,-5322.621301775141,0.0
drained_like,23,0,elastic,0,-5089.46005917159,-5089.46005917159,0.0
drained_like,24,0,elastic,0,-4849.136094674547,-4849.136094674547,0.0
drained_like,25,0,elastic,0,-4601.6494082840145,-4601.6494082840145,0.0
drained_like,26,0,elastic,0,-4346.999999999989,-4346.999999999989,0.0
drained_like,27,0,elastic,0,-4085.187869822474,-4085.187869822474,0.0
drained_like,28,0,elastic,0,-3816.2130177514673,-3816.2130177514673,0.0
drained_like,29,0,elastic,0,-3540.0754437869696,-3540.0754437869696,0.0
drained_like,30,0,elastic,0,-3256.7751479289805,-3256.7751479289805,0.0
drained_like,31,0,elastic,0,-2966.3121301775,-2966.3121301775,0.0
drained_like,32,0,elastic,0,-2668.686390532529,-2668.686390532529,0.0
drained_like,33,0,elastic,0,-2363.897928994066,-2363.897928994066,0.0
drained_like,34,0,elastic,0,-2051.9467455621125,-2051.9467455621125,0.0
drained_like,35,0,elastic,0,-1732.8328402366678,-1732.8328402366678,0.0
drained_like,36,0,elastic,0,-1406.5562130177314,-1406.5562130177314,0.0
drained_like,37,0,elastic,0,-1073.1168639053046,-1073.1168639053046,0.0
drained_like,38,0,elastic,0,-732.5147928993865,-732.5147928993865,0.0
drained_like,39,0,elastic,0,-384.74999999997704,-384.74999999997704,0.0
drained_like,40,0,elastic,0,-29.82248520707617,-29.82248520707617,0.0
drained_like,41,1,plastic_converged,5,2.9713191906921566e-09,2.9722286853939295e-09,1.1073909900428394e-06
drained_like,42,1,plastic_converged,5,4.690718924393877e-09,4.6898094296921045e-09,1.2058031956099544e-06
drained_like,43,1,plastic_converged,5,4.8662514018360525e-09,4.867615643888712e-09,1.2038055916091671e-06
drained_like,44,1,plastic_converged,5,5.052243068348616e-09,5.060428520664573e-09,1.2017689740801168e-06
drained_like,45,1,plastic_converged,5,5.237779987510294e-09,5.233232514001429e-09,1.1996950835746168e-06
drained_like,46,1,plastic_converged,5,5.422407411970198e-09,5.426500138128176e-09,1.1975855965607852e-06
drained_like,47,1,plastic_converged,5,5.609308573184535e-09,5.611582309938967e-09,1.1954421277176887e-06
drained_like,48,1,plastic_converged,5,5.813490133732557e-09,5.8116711443290114e-09,1.1932662321464266e-06
drained_like,49,1,plastic_converged,5,6.0067577578593045e-09,6.005848263157532e-09,1.1910594075091722e-06
drained_like,50,1,plastic_converged,5,6.2104845710564405e-09,6.209120329003781e-09,1.1888230960949595e-06
drained_like,51,1,plastic_converged,5,6.416030373657122e-09,6.42148734186776e-09,1.1865586868164903e-06
drained_like,52,1,plastic_converged,5,6.627033144468442e-09,6.6338543547317386e-09,1.1842675171383038e-06
drained_like,53,1,plastic_converged,5,6.83303369442001e-09,6.835307431174442e-09,1.1819508749395677e-06
drained_like,54,1,plastic_converged,5,7.053586159599945e-09,7.053586159599945e-09,1.179610000312571e-06
drained_like,55,1,plastic_converged,5,7.270045898621902e-09,7.270045898621902e-09,1.1772460872989456e-06
drained_like,56,1,plastic_converged,5,7.498329068766907e-09,7.498329068766907e-09,1.1748602855661426e-06
drained_like,57,1,plastic_converged,5,7.722064765403047e-09,7.72161001805216e-09,1.1724537020249061e-06
drained_like,58,1,plastic_converged,5,7.94670995674096e-09,7.951257430249825e-09,1.1700274023903025e-06
drained_like,59,1,plastic_converged,5,6.020449563948205e-05,6.020449336574529e-05,1.1675802981017642e-06
drained_like,60,1,plastic_converged,5,6.159806434880011e-05,6.159806434880011e-05,1.1651177555053191e-06
drained_like,61,1,plastic_converged,5,6.298943480942398e-05,6.298943935689749e-05,1.1626382810810326e-06
drained_like,62,1,plastic_converged,5,6.437847696361132e-05,6.437847696361132e-05,1.1601429710703842e-06
drained_like,63,1,plastic_converged,5,6.576461828444735e-05,6.576462556040497e-05,1.1576327067618333e-06
drained_like,64,1,plastic_converged,5,6.714772462146357e-05,6.714772553095827e-05,1.1551083365205489e-06
drained_like,65,1,plastic_converged,5,6.852750902908156e-05,6.852751130281831e-05,1.152570676998313e-06
drained_like,66,1,plastic_converged,5,6.990359270275803e-05,6.990358588154777e-05,1.1500205143054264e-06
drained_like,67,1,plastic_converged,5,7.127592607503175e-05,7.127593153199996e-05,1.1474586051340873e-06
drained_like,68,1,plastic_converged,5,7.264416490215808e-05,7.264416490215808e-05,1.1448856778437889e-06
drained_like,69,1,plastic_converged,5,7.400819595204666e-05,7.400819595204666e-05,1.1423024335055066e-06
drained_like,70,1,plastic_converged,5,7.536770044680452e-05,7.536770635852008e-05,1.1397095469124777e-06
drained_like,71,1,plastic_converged,5,7.672277752135415e-05,7.672277661185944e-05,1.1371076675469305e-06
drained_like,72,1,plastic_converged,5,7.807316615071613e-05,7.807316205798998e-05,1.1344974205197302e-06
drained_like,73,1,plastic_converged,5,7.941880357975606e-05,7.941880721773487e-05,1.131879407466518e-06
drained_like,74,1,plastic_converged,5,8.075954974628985e-05,8.075954519881634e-05,1.1292542074189585e-06
drained_like,75,1,plastic_converged,5,8.209536008507712e-05,8.209535826608771e-05,1.12662237763912e-06
drained_like,76,1,plastic_converged,5,8.342607179656625e-05,8.342607270606095e-05,1.1239844544245754e-06
drained_like,77,1,plastic_converged,5,8.475181721223635e-05,8.475181903122575e-05,1.1213409538847083e-06
drained_like,78,1,plastic_converged,5,8.607252266301657e-05,8.607251766079571e-05,1.1186923726859902e-06
drained_like,79,1,plastic_converged,5,8.738812766750925e-05,8.738812584851985e-05,1.116039188771258e-06
drained_like,80,1,plastic_converged,5,8.869845305525814e-05,8.869845396475284e-05,1.113381862052709e-06
drained_like,81,1,plastic_converged,5,9.000379759527277e-05,9.000380487123039e-05,1.1107208350766208e-06
drained_like,82,1,plastic_converged,5,9.130385296884924e-05,9.130385387834394e-05,1.1080565336694123e-06
drained_like,83,1,plastic_converged,5,9.25991344047361e-05,9.259913031200995e-05,1.1053893675485687e-06
drained_like,84,1,plastic_converged,5,9.388906073581893e-05,9.388906073581893e-05,1.102719730925703e-06
drained_like,85,1,plastic_converged,5,9.517431135463994e-05,9.517431135463994e-05,1.1000480030706974e-06
drained_like,86,1,plastic_converged,5,9.645461614127271e-05,9.64546143222833e-05,1.0973745488714847e-06
drained_like,87,1,plastic_converged,5,9.772965950105572e-05,9.772965313459281e-05,1.0946997193583064e-06
