step,path,eps_xx,eps_yy,eps_zz,eps_xy,eps_yz,eps_xz,eps_v,stress_xx,stress_yy,stress_zz,stress_xy,stress_yz,stress_xz,sigmac_xx,sigmac_yy,sigmac_zz,p,q,pc,e,eps_p_v,eps_p_eq,plastic_multiplier,yield_f,return_status,yield_flag,iterations,residual,pore_pressure_proxy,yield_f_normalized
37,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,162.81533038201877,162.81533038201877,162.81533038201877,0.0,0.0,0.0,-162.81533038201877,-162.81533038201877,-162.81533038201877,162.81533038201877,0.0,162.8153303875753,0.7702714873861705,0.0015743220886799386,0.0015743220886799384,1.3405175842723725e-06,-1.302750978634696e-06,plastic_converged,1,3,-1.302750978634696e-06,0.0,3.412780261874101e-11
38,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,163.3819870067545,163.3819870067545,163.3819870067545,0.0,0.0,0.0,-163.3819870067545,-163.3819870067545,-163.3819870067545,163.3819870067545,0.0,163.38198701243002,0.7694748652168467,0.0018883248008816189,0.0018883248008816187,1.334647980670627e-06,-1.3352758761835786e-06,plastic_converged,1,3,-1.3352758761835786e-06,0.0,3.47376282920109e-11
39,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,163.94983947727104,163.94983947727104,163.94983947727104,0.0,0.0,0.0,-163.94983947727104,-163.94983947727104,-163.94983947727104,163.94983947727104,0.0,163.94983948306685,0.7686786015274991,0.0022020405193645806,0.00220204051936458,1.3288097050762527e-06,-1.3683202837135313e-06,plastic_converged,1,3,-1.3683202837135313e-06,0.0,3.5351128422821375e-11
40,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,164.51888734814574,164.51888734814574,164.51888734814574,0.0,0.0,0.0,-164.51888734814574,-164.51888734814574,-164.51888734814574,164.51888734814574,0.0,164.51888735406405,0.7678826961568117,0.002515469351291648,0.0025154693512916475,1.3230025717818997e-06,-1.402090095109596e-06,plastic_converged,1,3,-1.402090095109596e-06,0.0,3.5973434377628556e-11
41,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,165.08913016633673,165.08913016633673,165.08913016633673,0.0,0.0,0.0,-165.08913016633673,-165.08913016633673,-165.08913016633673,165.08913016633673,0.0,165.08913017238075,0.7670871489435411,0.0028286114056611873,0.002828611405661187,1.3172263962364144e-06,-1.4368345581701807e-06,plastic_converged,1,3,-1.4368345581701807e-06,0.0,3.661063943223636e-11
42,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,165.66056747120848,165.66056747120848,165.66056747120848,0.0,0.0,0.0,-165.66056747120848,-165.66056747120848,-165.66056747120848,165.66056747120848,0.0,165.6605674773805,0.7662919597265165,0.0031414667933006043,0.003141466793300604,1.3114809950567165e-06,-1.4723452684089417e-06,plastic_converged,1,3,-1.4723452684089417e-06,0.0,3.725708593289613e-11
43,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,166.23319879456238,166.23319879456238,166.23319879456238,0.0,0.0,0.0,-166.23319879456238,-166.23319879456238,-166.23319879456238,166.23319879456238,0.0,166.23319880086476,0.7654971283446396,0.003454035626859545,0.0034540356268595446,1.3057661860190127e-06,-1.508635368737951e-06,plastic_converged,1,3,-1.508635368737951e-06,0.0,3.7912835721790555e-11
44,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,166.8070236606836,166.8070236606836,166.8070236606836,0.0,0.0,0.0,-166.8070236606836,-166.8070236606836,-166.8070236606836,166.8070236606836,0.0,166.8070236671187,0.7647026546368845,0.003766318020798947,0.0037663180207989466,1.3000817880339047e-06,-1.5457249462961184e-06,plastic_converged,1,3,-1.5457249462961184e-06,0.0,3.857811978904952e-11
45,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,167.38204158636177,167.38204158636177,167.38204158636177,0.0,0.0,0.0,-167.38204158636177,-167.38204158636177,-167.38204158636177,167.38204158636177,0.0,167.382041592932,0.7639085384422979,0.004078314091385456,0.004078314091385456,1.2944276211615793e-06,-1.5836274496071984e-06,plastic_converged,1,3,-1.5836274496071984e-06,0.0,3.925299576047192e-11
46,isotropic_compression_swelling,0.00015,0.00015,0.00015,0.0,0.0,0.0,0.00045,167.95825208093896,167.95825208093896,167.95825208093896,0.0,0.0,0.0,-167.95825208093896,-167.95825208093896,-167.95825208093896,167.95825208093896,0.0,167.95825208764785,0.7631147795999988,0.004390023956681153,0.004390023956681153,1.2888035065848092e-06,-1.6226107863295207e-06,plastic_converged,1,3,-1.6226107863295207e-06,0.0,3.994378117323476e-11
