case,time,xi,shepard,interval,gencase_code,dual_code,excluded,steps,final_part,nmat,zmin,zmax,H,K,G,vel_max,vel_mean,PorePress_min,PorePress_max,PorePress_mean,hydro_min,hydro_max,hydro_mean,Excess_min,Excess_max,Excess_mean,Eq4_p0_max,Eq4_minus_hydro_max,L2_PorePress_vs_Eq4,MaxErr_PorePress_vs_Eq4,L2_Excess_vs_Eq4_minus_hydro,MaxErr_Excess_vs_Eq4_minus_hydro,DivVelContribution_maxAbs,HydraulicContribution_maxAbs,PorePressRate_maxAbs,PorePressureAccelDiff_maxAbs
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p05_S20,0.0015,0.05,1,20,0,0,0,3147,PartCsv_0001.csv,1000,0.004995109,0.9949894,0.989994291,1666666.6666666665,769230.7692307692,0.013798683,0.012095759602000008,298.3675350822,16992.23773482,7323.979493358556,49.15398599999977,9760.99798071,4905.097787159087,249.2137325151,7274.350100245,2418.881477357693,20312.839766756028,10551.841786046027,3101.264506203708,4074.1858473407065,3101.2647676979977,4074.1861649827074,79901193.33333334,64788152.45919131,90567920.0,8.156606700000127
Case1DConsolidation_PR_SW2C_T0p0015_Xi0p05_S40,0.0015,0.05,1,40,0,0,0,3147,PartCsv_0001.csv,1000,0.0049951114,0.9949894,0.9899942886,1666666.6666666665,769230.7692307692,0.013798811,0.01208437703299998,287.3557894144,17049.27310808,7327.572972111336,49.15398599999977,9760.997957166,4905.097742190049,238.2019863845,7332.460595321,2422.474992133322,20312.839717512496,10551.841760346495,3094.5449281505726,4068.236306505394,3094.545197667252,4068.236478415394,79432593.33333334,66775854.583961956,90403608.0,8.285310700000007
Case1DConsolidation_PR_SW2C_T0p0020_Xi4em5_S0,0.0020,4e-5,0,0,0,0,0,4195,PartCsv_0001.csv,1000,0.0049934471,0.99498039,0.9899869429,1666666.6666666665,769230.7692307692,0.019520044,0.015039888564000055,1652.185489426,24469.60946809,11249.308338663472,49.24237409999953,9761.014283949,4905.170785811791,1602.94326399,14757.38618728,6344.1373504756475,20312.688997424073,10551.674713475073,1789.4716767020705,4429.864881387788,1789.4714874770584,4429.864490717788,90345966.66666667,75062574.41739723,96076664.0,11.907089
Case1DConsolidation_PR_SW2C_T0p0020_Xi4em5_S20,0.0020,4e-5,1,20,0,0,0,4195,PartCsv_0001.csv,1000,0.0049934294,0.99498039,0.9899869606,1666666.6666666665,769230.7692307692,0.019521829,0.015107899052100025,1721.774875303,24301.93043158,11224.561299074225,49.24237409999953,9761.014457586,4905.171075275467,1672.532649261,14589.2689674,6319.390018727157,20312.689360595123,10551.674903009123,1724.3459333470512,4262.723929377895,1724.3457476141982,4262.723510107895,92385393.33333333,74232169.41753314,97372000.0,11.732557000000003
Case1DConsolidation_PR_SW2C_T0p0020_Xi4em5_S40,0.0020,4e-5,1,40,0,0,0,4195,PartCsv_0001.csv,1000,0.0049934383,0.99498039,0.9899869517000001,1666666.6666666665,769230.7692307692,0.019520927,0.015074119905600047,1686.819928446,24391.59548576,11236.972376472993,49.24237409999953,9761.014370277,4905.170942555973,1637.577702782,14679.39256774,6331.801241109233,20312.68917798369,10551.674807706691,1757.3438975724532,4351.8665953715645,1757.3437146354465,4351.866207131565,91366013.33333334,75065238.61134897,96787944.0,11.840444000000018
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p01_S0,0.0020,0.01,0,0,0,0,0,4195,PartCsv_0001.csv,1000,0.0049934946,0.99498063,0.9899871354,1666666.6666666665,769230.7692307692,0.019190596,0.014794711093999944,1630.179919089,24265.6730522,11159.375537631104,49.240019699999685,9761.013817974,4905.168954628124,1580.939862061,14552.81478836,6254.206388396388,20312.6929471657,10551.679129191698,1696.3314270881915,4226.5501681105015,1696.3312387942608,4226.5497522905025,89086293.33333334,74093302.88093781,94694024.0,11.755219
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p01_S20,0.0020,0.01,1,20,0,0,0,4195,PartCsv_0001.csv,1000,0.0049934774,0.99498063,0.9899871526,1666666.6666666665,769230.7692307692,0.01919236,0.014861578847699959,1698.919366419,24099.78124867,11135.016429856889,49.240019699999685,9761.013986706,4905.169241688347,1649.679308876,14386.48494585,6229.846992634519,20312.693300077673,10551.679313371673,1632.4340182615465,4061.1949492661915,1632.4338357884508,4061.194546316192,91091800.00000001,73264968.58756371,95964544.0,11.581472000000002
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p01_S40,0.0020,0.01,1,40,0,0,0,4195,PartCsv_0001.csv,1000,0.0049934858,0.99498063,0.9899871442,1666666.6666666665,769230.7692307692,0.019191461,0.014828365908200018,1664.390215788,24188.48272302,11147.234592713645,49.240019699999685,9761.013904302,4905.16909646111,1615.150158602,14475.64195964,6242.065298420473,20312.693127725313,10551.679223423313,1664.8151788229964,4149.377964062416,1664.814988848472,4149.377547012418,90089506.66666669,74091904.45273532,95392304.0,11.688711000000016
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p03_S0,0.0020,0.03,0,0,0,0,0,4195,PartCsv_0001.csv,1000,0.0049935882,0.99498105,0.9899874618000001,1666666.6666666665,769230.7692307692,0.01855118,0.01431902974799997,1587.019248747,23867.34038823,10983.601234928354,49.235899499999675,9761.012899758001,4905.165337131784,1537.783436761,14153.24539469,6078.4356869698495,20312.699644286033,10551.686744528031,1519.8609669243172,3829.4293777828425,1519.860791727751,3829.428967762844,86635580.00000001,72204978.19599049,92006768.0,11.458583
Case1DConsolidation_PR_SW2C_T0p0020_Xi0p03_S20,0.0020,0.03,1,20,0,0,0,4195,PartCsv_0001.csv,1000,0.0049935719,0.99498105,0.9899874781,1666666.6666666665,769230.7692307692,0.018552892,0.0143836674036,1654.086966373,23704.99611936,10960.03430463019,49.235899499999675,9761.013059661,4905.165623907509,1604.851153832,13990.46342393,6054.868476813845,20312.699978731685,10551.686919070686,1458.7147126521763,3667.618921672951,1458.7145382125013,3667.618519102951,88574826.66666667,71380584.93394497,93229112.0,11.286404000000003
