step,time,feedback_factor,feedback_applied,feedback_class_skipped,feedback_raw_max,feedback_raw_mean,feedback_used_max,feedback_used_mean,feedback_limited,feedback_relaxed,case,label
75,0.00553865,1.0,51,356,731640.0,461745.0,731640.0,461745.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
76,0.0055495,1.0,51,356,846850.0,535047.0,846850.0,535047.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
77,0.00556307,1.0,51,356,922190.0,582997.0,922190.0,582997.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
78,0.00558308,1.0,51,356,880677.0,556768.0,880677.0,556768.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
79,0.00560288,1.0,51,356,653949.0,417573.0,653949.0,417573.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
80,0.00561466,1.0,51,356,259399.0,184899.0,259399.0,184899.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
81,0.00562368,1.0,51,356,100557.0,73017.9,100557.0,73017.9,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
82,0.00563171,1.0,51,356,141164.0,63886.5,141164.0,63886.5,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
83,0.00563956,1.0,51,356,306123.0,144279.0,306123.0,144279.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
84,0.0056474,1.0,51,356,458320.0,236481.0,458320.0,236481.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
85,0.00565552,1.0,51,356,612819.0,327317.0,612819.0,327317.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
86,0.00566423,1.0,51,356,760146.0,412850.0,760146.0,412850.0,0,0,CaseT4k_InitialStressPlusConf_FeedbackDelayed,"initial stress + conf, delayed fb"
