case,configured_dp,excess_count,excess_max,excess_maxAbs,excess_mean,excess_median,excess_p90_abs,excess_p95_abs,excess_p99_abs,frame_index,kind,mode,r_over_R_max,r_over_R_min,resolution,time
coarse_compression,0.01,72,106.820020202,106.820020202,92.47298584187638,85.29953128852,106.8199728175,106.81998213399501,106.820017770534,6,compression,4,0.95,0.9,coarse,0.006032
coarse_compression,0.01,54,182.9576197402,182.9576197402,105.84635681839816,122.92469481315001,164.94760494610017,182.95758799445002,182.957615463683,6,compression,4,1.0,0.95,coarse,0.006032
finer_compression,0.008,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.2,0.0,finer,0.0
finer_compression,0.008,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.4,0.2,finer,0.0
finer_compression,0.008,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.6,0.4,finer,0.0
finer_compression,0.008,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.8,0.6,finer,0.0
finer_compression,0.008,248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.9,0.8,finer,0.0
finer_compression,0.008,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,0.95,0.9,finer,0.0
finer_compression,0.008,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,compression,4,1.0,0.95,finer,0.0
finer_compression,0.008,7,62.8946304314,62.8946304314,62.330092081961425,62.89461769989,62.894625963782005,62.894628197591004,62.8946299846382,1,compression,4,0.2,0.0,finer,0.001046
finer_compression,0.008,74,67.00953400355,67.00953400355,66.49191285504408,66.73050513746,67.00952093400001,67.0095258825755,67.0095304412595,1,compression,4,0.4,0.2,finer,0.001046
finer_compression,0.008,170,92.72963827488,92.72963827488,81.28612298702949,77.80458386661999,92.72962104911501,92.72962908467,92.7296327678233,1,compression,4,0.6,0.4,finer,0.001046
finer_compression,0.008,264,134.3343797544,134.3343797544,118.11956300958357,118.30979920205,127.81641140828,127.81642274294501,134.334371689049,1,compression,4,0.8,0.6,finer,0.001046
finer_compression,0.008,224,129.4935041202,129.4935041202,123.05084523089154,122.1489233918,129.33238778685,129.33239622302,129.49349239916899,1,compression,4,0.9,0.8,finer,0.001046
finer_compression,0.008,156,124.0348169761,124.0348169761,117.78187239758655,118.10107920355,121.86458457444999,124.0347951395,124.03481315076999,1,compression,4,0.95,0.9,finer,0.001046
finer_compression,0.008,126,129.6235469221,129.6235469221,112.56660472722143,111.3775038597,119.2052074461,119.205213297975,129.623545115475,1,compression,4,1.0,0.95,finer,0.001046
finer_compression,0.008,7,351.4764715457,351.4764715457,351.1197092581143,351.4764662867,351.47647107116,351.47647130843,351.476471498246,2,compression,4,0.2,0.0,finer,0.002011
finer_compression,0.008,74,354.2735874869,354.2735874869,353.04781955842026,353.4241675394,354.23968845075,354.27358487817503,354.273587321117,2,compression,4,0.4,0.2,finer,0.002011
finer_compression,0.008,170,346.5215124879,346.5215124879,333.70264985994703,336.11875677235,343.22571100653,346.521503744415,346.521511276293,2,compression,4,0.6,0.4,finer,0.002011
finer_compression,0.008,264,314.7664431671,314.7664431671,298.3368336733219,299.1797911251,309.85326643635,309.853272389545,314.766436139222,2,compression,4,0.8,0.6,finer,0.002011
finer_compression,0.008,224,280.6259779714,280.6259779714,276.457412395745,274.64558580485,280.62597058778,280.625972489395,280.625976894055,2,compression,4,0.9,0.8,finer,0.002011
finer_compression,0.008,156,268.2950722701,268.2950722701,266.5895991937622,267.11756327115,268.29506083375,268.29506498620003,268.29506911377496,2,compression,4,0.95,0.9,finer,0.002011
finer_compression,0.008,126,265.9123185582,265.9123185582,261.5315647964143,260.64076498969996,264.4522363273,264.45224207760003,265.91231716355003,2,compression,4,1.0,0.95,finer,0.002011
finer_compression,0.008,7,114.9434510426,114.9434510426,94.04235064669858,90.55883380481,100.31268764270601,107.628069342653,113.4803747026106,3,compression,4,0.2,0.0,finer,0.003056
finer_compression,0.008,74,75.07010074496,75.07010074496,62.48270383892754,58.975652247765,75.070086619126,75.07009032441701,75.0700963927073,3,compression,4,0.4,0.2,finer,0.003056
finer_compression,0.008,170,61.39518074351,61.39518074351,58.942530753330175,59.665495561425004,61.395164041066,61.395170360179506,61.3951787881218,3,compression,4,0.6,0.4,finer,0.003056
finer_compression,0.008,264,52.57344715819,52.57344715819,46.4955755381042,46.47222923154,49.456748396474,49.456768471874,52.5734202333039,3,compression,4,0.8,0.6,finer,0.003056
finer_compression,0.008,224,59.13563501899,59.13563501899,53.91906506321916,55.858121878565,59.13559728582901,59.1356080841085,59.1356266372984,3,compression,4,0.9,0.8,finer,0.003056
finer_compression,0.008,156,64.65142080793,64.65142080793,59.45544759314802,61.148625434205,63.80229905248,64.65139855542,64.6514141548195,3,compression,4,0.95,0.9,finer,0.003056
finer_compression,0.008,126,72.08030310989,72.08030310989,62.875893351896835,70.80172403991,72.080275768905,72.0802856543425,72.0803018269275,3,compression,4,1.0,0.95,finer,0.003056
finer_compression,0.008,7,176.1009331492,176.1009331492,163.73242635379998,161.6710130525,167.44298981914,171.77196148417,175.23513881619402,4,compression,4,0.2,0.0,finer,0.004022
finer_compression,0.008,74,146.6899309903,146.6899309903,120.09664255361764,114.6040876017,146.68991096978002,146.689916736405,146.689929244724,4,compression,4,0.4,0.2,finer,0.004022
finer_compression,0.008,170,108.4530690723,108.4530690723,104.59577087271471,103.70043320580001,108.45305655658,108.453063245695,108.453068251396,4,compression,4,0.6,0.4,finer,0.004022
finer_compression,0.008,264,117.2238389929,117.2238389929,107.5082455991364,107.10456218195,113.66081397129,115.55088977631999,117.22382407538,4,compression,4,0.8,0.6,finer,0.004022
finer_compression,0.008,224,107.7700283602,107.7700283602,101.79042007412183,104.7798433181,107.76997424397001,107.769999101125,107.770012139396,4,compression,4,0.9,0.8,finer,0.004022
finer_compression,0.008,156,104.1687185997,104.1687185997,72.37973405287418,72.91406876995,92.94637251309,104.168674670775,104.16869979981001,4,compression,4,0.95,0.9,finer,0.004022
finer_compression,0.008,126,73.51992326882,73.51992326882,59.71882530511104,68.79881369935,73.51977510315,73.51981971162249,73.51984106790749,4,compression,4,1.0,0.95,finer,0.004022
finer_compression,0.008,7,82.06856315554,82.06856315554,72.85635902294142,82.06854564567,82.068561780058,82.068562467799,82.0685630179918,5,compression,4,0.2,0.0,finer,0.005067
finer_compression,0.008,74,160.143542415,160.143542415,151.28324940785274,157.31208717425,160.1435255543,160.14353272353,160.143542352658,5,compression,4,0.4,0.2,finer,0.005067
finer_compression,0.008,170,145.5212345836,145.5212345836,134.54623588146168,134.01868844305,141.52532150646,145.52120523770498,145.521219997549,5,compression,4,0.6,0.4,finer,0.005067
finer_compression,0.008,264,131.3545204654,131.3545204654,124.3580318288704,124.48666410265,128.58511736954,128.58513518997,131.354504167271,5,compression,4,0.8,0.6,finer,0.005067
finer_compression,0.008,224,127.3211268195,127.3211268195,119.36128015298122,122.05461315275,127.32105723875,127.32107227680001,127.32111233873599,5,compression,4,0.9,0.8,finer,0.005067
finer_compression,0.008,156,156.7548327269,156.7548327269,130.04545711749304,124.2511435712,156.75460564705,156.754657598775,156.75478293436,5,compression,4,0.95,0.9,finer,0.005067
finer_compression,0.008,126,227.5092600961,227.5092600961,154.02621230614528,169.1983999125,173.1235839764,173.1237746431,227.50919744332498,5,compression,4,1.0,0.95,finer,0.005067
finer_compression,0.008,7,-62.40848907787,72.94800512908,-63.914141367234286,-62.40849774344,66.62430533641,69.786155232745,72.315635149813,6,compression,4,0.2,0.0,finer,0.006032
finer_compression,0.008,74,-25.60509902913,52.35507582867,-34.432014018232564,-30.698519730975,52.355067518268,52.355071899346996,52.35507455444041,6,compression,4,0.4,0.2,finer,0.006032
finer_compression,0.008,170,-19.90573739226,23.11205155452,-21.448000699236115,-21.72566225584,23.112040613467,23.1120434300325,23.1120500557514,6,compression,4,0.6,0.4,finer,0.006032
finer_compression,0.008,240,-26.82429587869,41.98676959988,-31.674568695744377,-30.76260169497,34.309950092184955,41.9867488244745,41.9867622698632,6,compression,4,0.8,0.6,finer,0.006032
finer_compression,0.008,248,-38.1755341153,59.00922907577,-47.66179636867701,-49.85618263831,59.009171522494995,59.009188081577,59.009215486689,6,compression,4,0.9,0.8,finer,0.006032
finer_compression,0.008,156,-17.7668493693,64.87633694382,-41.65526328873153,-58.894111405844995,64.87626666785499,64.876300219045,64.876327388799,6,compression,4,0.95,0.9,finer,0.006032
finer_compression,0.008,126,42.95485428695,62.3995449719,-36.670649742150125,-56.504659614695,62.39945129178,62.399474488180005,62.3995399997325,6,compression,4,1.0,0.95,finer,0.006032
