variant,failed,region,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,pairwise_reaction_avg,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePress_std,velocity_max
baseline,1,measurement_core,11,11,0,11,178.0,178.0,0.9999954854563345,0.010989359439334066,0.015541301160899025,0.005331984847727271,16572604.0,-3.4434397909090904,29.224014777273087,-12.8449066541795,5.5032692,119.99840818181815,0.8000527381818183,-1.1792906909090908e-06,0.2763558650000001,-16.03923672727273,0.04534987344442884,-23109.74371050091,1285.1578184666766,0.00016338089000000525
baseline,1,top_cap_zone,9,9,9,0,152.22222222222223,120.44444444444444,0.9890013457482097,0.10264605388976064,0.14412267310820515,0.039117043000000004,27779682.0,59.41879581481482,95.38887700353128,1.6069201830612372,4051.6697,120.00822666666669,0.7999774477777778,6.095229633333334e-06,0.2611434122222222,-122.40159,0.34608234233853885,-31721.782099953336,2723.015435026899,0.0024634993000000006
edge_selector_buffer,0,bottom_cap_zone,135,0,0,0,148.6,105.94814814814815,0.9878034992361782,0.03308258316635913,0.046400210352122655,0.024358869096296306,32391148.0,23.592441831308637,15.457967831939593,1.6470773454685916,4596.9512,119.99905607407402,0.8000291977037041,-6.992604051851851e-07,0.32014618348148155,-33.344856718518535,0.09428036121171188,-10709.390447105554,5925.454549102757,0.0005012671500000016
edge_selector_buffer,0,edge_ring,1576,0,0,0,95.6497461928934,68.07106598984771,0.7099528012727385,0.0943415389716669,0.13082343009914507,0.03735954216941623,52462104.0,44.51761670970168,48.78750225780228,1.3240134329614657,4271.8604,120.00103456852786,0.8000039568527895,7.644117605647274e-07,0.2917455952030506,-75.58544293083764,0.21371280500686507,-23062.951191065884,17220.52528045797,0.004954072926286194
edge_selector_buffer,0,interior,844,0,0,0,149.81990521327015,146.74881516587678,0.9853981861883572,0.042072550615443925,0.058980832028751325,0.006584034557405181,31891736.0,27.308701820030816,38.551628553725465,2.014874268676486,4327.084,119.99032447867327,0.8000366085781995,-7.166590287298574e-06,0.2885389575592376,-52.3836627594786,0.14811131708397288,-14074.344780991882,5969.776678451555,0.0015382187341272382
edge_selector_buffer,0,lateral_surface,3624,0,0,0,97.67991169977925,96.15342163355409,0.6985064930376185,0.04399523780482657,0.06051657262952814,-0.0011313155026821163,33141394.0,33.49268589653183,30.951159867846208,1.3453196210956535,4953.1509,119.99482573951428,0.8000242314790236,-3.83380127337141e-06,0.28256874701986967,-50.12940675441483,0.14173755838963575,-10924.706516312994,7298.753549779517,0.002766964058159784
edge_selector_buffer,0,measurement_core,183,0,0,0,165.43169398907105,165.43169398907105,0.9999879601675806,0.023840812949079523,0.033560204555194664,-0.013161570454535518,25993822.0,29.475248236899823,30.550347249203213,1.5740718134749025,4362.8984,119.99568956284162,0.8000247999453554,-3.1937960737704915e-06,0.2483653667759557,-49.67898004371584,0.14046400686885446,-10015.098684195396,6157.770898570935,0.0009808435600000003
edge_selector_buffer,0,top_cap_zone,384,0,0,0,147.828125,105.69270833333333,0.9872929115823906,0.10145635121204592,0.1430960006681445,0.03341102699010417,40787552.0,63.494583282986106,60.18185000041356,0.9562746319319286,4596.9512,120.03007033854148,0.7999451505729168,2.226420943816928e-05,0.28175347880208407,-103.4681998385416,0.2925494428436306,-23725.778634681337,14975.519473345255,0.003936447976377529
edge_selector_buffer,1,bottom_cap_zone,261,261,0,261,147.26819923371647,105.26819923371647,0.9869680847073764,0.02630921442551955,0.03612606820861016,0.00012116049344827914,31414006.0,-19.9798954359885,40.70466436491209,-3.9605337596002106,35.551426,119.99893839080451,0.800051407892717,-7.868038226053639e-07,0.2602049968199239,-6.397057846440618,0.01808725494147011,-25780.832593940224,3809.0997619742498,0.0003965972191487221
edge_selector_buffer,1,edge_ring,888,888,32,856,95.63063063063063,68.27027027027027,0.7106692463778271,0.03212427025441025,0.04434623795761758,0.005310850374650887,39676740.0,-17.633673963256,43.72608844957807,-4.580421021965481,8675.7295,119.99847486486495,0.8000491605855821,-1.1290055763063077e-06,0.26092866094594097,-7.746163591470722,0.021901761569222234,-25722.139181346138,4492.101698963515,0.0039917059328866645
