variant,time,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,pairwise_reaction_avg,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePress_std,velocity_max
baseline,0.001408,407,161,4,157,110.62407862407862,98.0,0.7771681357940994,0.047614062287941905,0.06594783342154109,0.002944204374914007,36581744.0,17.260852277095818,42.01864110436665,-0.45490895843048174,3831.1082,120.00159339066344,0.8000253765601958,1.1806989085995086e-06,0.27635586499999937,-43.30553180959213,0.12244350653353236,-18948.418456315234,4363.511694588593,0.003619465298978475
baseline,0.001508,407,157,0,157,110.62407862407862,98.0,0.7771684357711489,0.048662353369716235,0.06714246117815188,-0.0007489238192751869,38999052.0,18.50065297947503,43.688338422116196,-2.1573955753909555,3759.2253,120.00157511056517,0.8000235949877162,1.166933091449631e-06,0.27635586499999937,-45.245661922872216,0.1279290951933325,-18898.22295791297,5553.3443161071,0.0038150888009469922
baseline,0.001609,407,149,4,145,110.62407862407862,98.0,0.7771684330964973,0.05001424760545683,0.06877499220294021,-0.003969500963390667,41620536.0,20.411601949522034,45.4564103759221,-1.0054299909150153,4018.1233,120.00140646191636,0.8000216293611796,1.0416888581953323e-06,0.27635586499999937,-47.86938767074448,0.1353475049744274,-18632.17415788404,6920.365329857001,0.003987005979064432
baseline,0.001709,407,128,0,128,110.62407862407862,98.0,0.7771681756209954,0.05160731001008117,0.07077805818553629,-0.006649417647149891,43437852.0,22.877359322432422,46.37466287571342,-0.8090528497155458,4300.4351,120.00112103194103,0.8000195765847665,8.300529287886976e-07,0.27635586499999937,-50.4991208355528,0.14278290032674434,-18186.510393919136,8423.140757479168,0.004137706071783168
baseline,0.00181,407,107,1,106,110.62407862407862,98.0,0.7771676878216712,0.05322308981984379,0.07285414676777051,-0.008720323776019652,45591136.0,25.71466233135709,47.30811249455364,-0.2800706745751244,4523.2769,120.0007958476658,0.8000173268796044,5.891083757125303e-07,0.27635586499999937,-53.50127098368547,0.15127127989205674,-17602.050415238926,10039.382516331041,0.0042693332593604204
baseline,0.00191,407,110,16,94,110.62407862407862,98.0,0.7787067220836718,0.054730188840264773,0.07479309376188688,-0.010143043953542763,47181032.0,28.66392289664209,48.826874805536846,0.4146494229262301,4709.0854,120.00056132678125,0.8000148136609351,4.1552036109582266e-07,0.27635586499999937,-56.98823543334151,0.1611304396005881,-16922.238092762163,11750.879808077121,0.0043934441449294485
baseline,0.002011,407,90,4,86,110.62407862407862,98.0,0.7789318186692828,0.05599547997820338,0.07639242289897279,-0.010936776416658479,48548364.0,32.04611305817365,48.82566928627898,-0.6448698936808976,4852.8984,120.00008009828,0.8000124674938589,5.886129884520875e-08,0.2489734499999983,-59.97298779253072,0.16956962807656037,-16189.229487128725,13544.86527810674,0.004506033172524084
baseline,0.002111,407,77,4,73,110.62407862407862,98.0,0.7789305749055787,0.05685362007085173,0.07740364131681764,-0.011095132086265346,49666920.0,35.43055670909089,49.33663784176009,0.6345361902042245,4955.2705,119.9996158722358,0.800010095675676,-2.8512174692874736e-07,0.2489734499999983,-63.3433234960933,0.17909902777435957,-15445.609523782185,15405.908647366643,0.0046064807561027815
baseline,0.002212,407,77,4,73,110.62407862407862,98.0,0.7789291992668328,0.05734252430295804,0.07787796119682229,-0.010601758307371003,50644584.0,38.7573374242211,49.517093946288334,0.3447217735346244,5004.4268,119.99913390663374,0.8000080317690411,-6.425411520393126e-07,0.2489734499999983,-66.46655855030468,0.18792976684592974,-14735.05839740273,17321.14581609581,0.004696412653478466
baseline,0.002312,407,77,4,73,110.62407862407862,98.0,0.778927846666175,0.05747399826076464,0.07783731585859557,-0.009614818236609323,51443332.0,41.92412494488125,49.616427034093206,-0.4547643586571083,4996.2456,119.99864859950856,0.8000062479606882,-1.0021210486240789e-06,0.2489734499999983,-69.49789720122854,0.1965006749585864,-14090.655495041368,19272.291522151096,0.004777303815981416
baseline,0.002413,407,54,1,53,110.62407862407862,98.0,0.7790668374611416,0.05721251525807309,0.0772373294170227,-0.008162115751105651,52150520.0,45.321953965585614,49.39511129891993,-0.6662957698142247,4939.9814,119.99778000000009,0.8000044549140044,-1.6457487841523337e-06,0.2489734499999983,-72.61939016707615,0.20532648839135154,-13422.460630646072,16415.361483909095,0.004850289471810808
baseline,0.002513,407,40,0,40,110.62407862407862,98.0,0.7790655345429512,0.056680155536486726,0.07624923925571529,-0.006216532653071252,52820388.0,48.343031414004926,49.269936273119704,-1.050343999841968,4846.7769,119.99695206388196,0.8000028485995087,-2.258807819459459e-06,0.2489734499999983,-75.48573688452106,0.21343089280250108,-13005.81871013194,18412.994539488733,0.004916649626436078
edge_selector_buffer,0.0,407,0,0,0,110.62407862407862,98.0,0.7791512608896142,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,120.0,0.8000000100000014,0.0,0.14480900000000071,-50.0,0.1413716694115407,0.0,0.0,0.0
edge_selector_buffer,0.000503,407,0,0,0,110.62407862407862,98.0,0.7771593948570963,0.03954921186562913,0.055779814607533576,0.018727164904176898,15441555.0,33.809639450450454,8.212251234237192,0.24430873276340204,4596.9512,120.0,0.8000175002702695,0.0,0.32969450000000095,-38.770583447174445,0.10962124211972994,-6276.254270591639,991.3949651708972,0.0009684581650833893
edge_selector_buffer,0.000603,407,0,0,0,110.62407862407862,98.0,0.7771600212479545,0.04204712824549803,0.059306632589897115,0.03693019723095821,31882142.0,30.266336793611796,14.162491656280286,0.45910672643992395,4365.374,120.0,0.8000213239066313,0.0,0.35796050000000024,-39.1750521105651,0.11076485032309376,-8751.590743989711,1401.9692106059952,0.0012338497593094994
edge_selector_buffer,0.000704,407,0,0,0,110.62407862407862,98.0,0.7771607200060144,0.04459224335431154,0.06288858670337946,0.03515819916879605,33074000.0,26.744940713759206,20.550653123828045,0.7749419779572759,3929.4148,120.00000931203932,0.8000251161670775,6.86890968058968e-09,0.3820185999999998,-39.79046321867319,0.11250488423764671,-11108.114137775841,1831.2922605225745,0.001553875228726769
edge_selector_buffer,0.000804,407,0,0,0,110.62407862407862,98.0,0.7771614374715721,0.046723558204790315,0.06587305978104441,0.03245803381597048,33970840.0,22.808686646298128,25.750207307072333,1.3694279326842402,3430.887,120.00050874692865,0.8000286979361175,3.7684576995085996e-07,0.3734891000000004,-39.19037153071253,0.11080816496310696,-13283.642093325132,2305.5650066417184,0.0019104304166464334
edge_selector_buffer,0.000905,407,8,0,8,110.62407862407862,98.0,0.7771622418958043,0.04815995656260923,0.06784942348401608,0.02913534463046683,33934572.0,19.169170501605233,30.181027395280065,2.71620417101401,2863.2227,120.00102862407866,0.8000317610319416,7.616193808108107e-07,0.3734891000000004,-38.375211100737104,0.10850335314662984,-15236.45347467749,2849.85769073512,0.002257329733089993
edge_selector_buffer,0.001005,407,112,4,108,110.62407862407862,98.0,0.7771629831483734,0.04911027407953324,0.06909649255223828,0.02537747956292376,32813842.0,16.52150471977887,33.7677860142834,-1.2970748218388184,2862.99,120.00109167076187,0.8000326315724824,8.083444808108107e-07,0.3734891000000004,-37.983910296560225,0.10739697618805857,-16937.38385102044,3480.896509770009,0.0025826285356905995
edge_selector_buffer,0.001106,407,165,0,165,110.62407862407862,98.0,0.777163667439446,0.04987533354266275,0.07003320242721353,0.021377794789410303,30672288.0,14.740321876812445,36.360735947857805,-5.9347648910089355,2845.2993,120.00085503685501,0.8000322582800977,6.3269936017199e-07,0.2723652699999984,-37.75148863857496,0.10673981943212307,-18370.227510976132,4214.969652795203,0.002882178223615953
edge_selector_buffer,0.001206,407,173,0,173,110.62407862407862,98.0,0.7771642314682696,0.05052058435665243,0.07078150208114377,0.017348961970270277,30819272.0,13.507443086158895,38.87301004238407,-0.7827654327626344,2953.967,120.00059803439811,0.800031559238329,4.423651768058969e-07,0.2723652699999984,-37.96892934103193,0.10735461853421027,-19533.033453070206,5055.948185216321,0.003151312797496666
edge_selector_buffer,0.001307,407,174,0,174,110.62407862407862,98.0,0.7771645838867705,0.0510184656476543,0.07131167624933918,0.013320843976265349,33638508.0,12.83223071516216,41.237672058738724,-0.23915318184998827,3105.7217,120.00033412776426,0.800030706412775,2.468030981498768e-07,0.2723652699999984,-38.588735595135134,0.10910707943129594,-20425.852273670214,5998.263652822513,0.003398708881255795
edge_selector_buffer,0.001408,407,178,4,174,110.62407862407862,98.0,0.7771647871592516,0.05137264493307978,0.07161415448404586,0.009458981733243247,36470844.0,12.737306135356269,43.6495274860202,-0.22640314841094272,3790.073,120.00004027027013,0.8000297490663395,2.9075229754299774e-08,0.2723652699999984,-39.75680186970519,0.1124097090156817,-21478.713574499856,4379.780781016425,0.003620136819241665
edge_selector_buffer,0.001508,407,178,4,174,110.62407862407862,98.0,0.7771646290060028,0.051759807765625825,0.07193121465830263,0.005805019005675677,38870192.0,13.234621785847668,45.628459561782996,-0.5762295912787825,3783.0208,119.9996953316953,0.8000287709090907,-2.2702279626535608e-07,0.2723652699999984,-41.19009217968057,0.11646224189313377,-21867.78672598888,5473.422037030066,0.003817238534958279
edge_selector_buffer,0.001609,407,170,8,162,110.62407862407862,98.0,0.7771642562775231,0.052450881071175015,0.07265303758261894,0.0024550670700737125,41464980.0,14.41812410160115,47.56380274133911,-0.10266344040047697,8675.7295,119.99919565110581,0.8000277528009823,-5.972121115479109e-07,0.2723652699999984,-43.240119903931195,0.12225855872747882,-22032.333465621272,6724.656258234276,0.0039917059328866645
edge_selector_buffer,0.001709,407,161,0,161,110.62407862407862,98.0,0.7771637147798058,0.053589898258971945,0.07399231299994592,-0.0005400909831204006,43546996.0,16.114356106764944,48.5362962855973,-2.814290891866973,4259.2954,119.99864678132693,0.8000268230958238,-1.0039868018427517e-06,0.2723652699999984,-45.159973073660915,0.1276868156800734,-21996.13491134368,8113.965530823342,0.004154235293722411
edge_selector_buffer,0.00181,407,148,4,144,110.62407862407862,98.0,0.777162914286404,0.055183671431114786,0.07600325761305052,-0.0030031257419164707,45378848.0,18.30370844013268,49.94972249767244,-1.3127971474455968,4486.1484,119.99800518427516,0.8000257964127758,-1.4791428003439813e-06,0.2723652699999984,-47.8600044973145,0.1353209746765839,-21794.856739756782,9633.63705243366,0.0042997868462140865
edge_selector_buffer,0.00191,407,135,5,130,110.62407862407862,98.0,0.7782728474724402,0.057037438907077125,0.07841759644342987,-0.004895764335977883,46943440.0,20.951240078247327,50.65365968232665,0.07401828862837942,4711.3369,119.99723267813278,0.8000247502457006,-2.0516749755724792e-06,0.2723652699999984,-50.579256781695314,0.14300947937646513,-21466.729944483115,11277.526691103682,0.004429057244573031
edge_selector_buffer,0.002011,407,126,12,114,110.62407862407862,98.0,0.7786989241752241,0.05881653588742589,0.08073116250570876,-0.006154897939041768,48245412.0,23.831074257944305,51.50973871589705,0.2701819865917117,4865.4146,119.99643130221153,0.8000234381081073,-2.645378280245701e-06,0.2313052500000009,-53.68876592058967,0.15180140933678388,-21054.214004602385,13037.413192283646,0.00454349488974032
edge_selector_buffer,0.002111,407,110,0,110,110.62407862407862,98.0,0.7786974979461546,0.06025869131003511,0.08255270460979063,-0.006766792186732188,49364188.0,26.976709227690424,51.28971073017286,0.2651542978615972,4944.9136,119.9954934152336,0.8000224224078633,-3.3404882052579833e-06,0.2313052500000009,-56.453171507518455,0.15961758199187814,-20600.68866762773,14902.608427379477,0.00464405318327108
edge_selector_buffer,0.002212,407,119,13,106,110.62407862407862,98.0,0.7789235935896354,0.06135907861915283,0.08386809334538188,-0.006735525866339071,50322048.0,30.132053646838674,51.903126645764814,-2.214443758318044,4953.1509,119.99454255528252,0.8000215217690412,-4.045207073955774e-06,0.2313052500000009,-59.81357421253071,0.16911889679793093,-20149.259920553,16861.347534240893,0.004734472352669683
edge_selector_buffer,0.002312,407,93,0,93,110.62407862407862,98.0,0.7789219769635283,0.062004260278811084,0.08452283382325934,-0.006183169412776423,51120364.0,33.564355347502044,51.08064938496786,-0.2086944111142656,4898.7207,119.99329238329244,0.8000207348648645,-4.971147451867323e-06,0.2313052500000009,-62.58833433316952,0.17696434620735646,-19734.852132801756,18893.351005822107,0.004815415752423767
edge_selector_buffer,0.002413,407,89,0,89,110.62407862407862,98.0,0.7789204090889856,0.06221761753514701,0.08456956392082358,-0.005000204600024583,51819024.0,36.64738206356269,50.958209262345704,-0.5376583947933896,4793.9053,119.99216761670776,0.800020198378379,-5.804348268820635e-06,0.2313052500000009,-65.52306898771504,0.18526211295521647,-19304.833131441435,17352.378899178904,0.004887716523970113
edge_selector_buffer,0.002513,407,69,4,65,110.62407862407862,98.0,0.7790593289796778,0.062066302924176316,0.08407964648162437,-0.003400545673685513,52462104.0,39.96354544826369,50.72885000953084,-3.403288667232857,4653.4463,119.99063820638827,0.8000195657739559,-6.9376335338820635e-06,0.2313052500000009,-68.68353681326786,0.1941981252076138,-19076.922875187825,19533.45539634713,0.004954072926286194
gap_2dp,0.0,407,0,0,0,107.8009828009828,98.0,0.7564781980801317,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,120.0,0.8000000100000014,0.0,0.0913552499999996,-50.0,0.1413716694115407,0.0,0.0,0.0
gap_2dp,0.000503,407,0,0,0,107.8009828009828,98.0,0.7545369487915213,0.03975628654129773,0.056049240304121256,0.019836384088452064,18702236.0,33.275005546273555,6.950764300801256,0.20981128965487675,4655.5361,120.0,0.8000180768058953,0.0,0.12468249999999916,-37.38670524570026,0.10570841868763703,-6647.999901793299,1246.546588498468,0.0009684581650833893
gap_2dp,0.000603,407,0,0,0,107.8009828009828,98.0,0.754535993811704,0.03955491059920782,0.05575700508688708,0.0394487392358722,37210476.0,27.351364283374295,10.332013671792566,0.38400541723558457,4677.6001,120.0,0.8000244712039306,0.0,0.12126949999999909,-33.61120507862408,0.09503344345797482,-9292.14778436148,1739.5466759318447,0.001073774988690482
gap_2dp,0.000704,407,0,0,0,107.8009828009828,98.0,0.7545353205529995,0.03838484767523229,0.05405765253681476,0.038265964117936126,36844512.0,21.599715315561006,13.710283493761557,0.6781974770328587,4578.957,120.0,0.8000306855282556,0.0,0.11723785000000038,-30.008905830466823,0.08484818228933623,-11856.977755820531,2229.573724471955,0.0011466040249860348
gap_2dp,0.000804,407,4,0,4,107.8009828009828,98.0,0.7545349394410199,0.03634246236772218,0.05108230843958775,0.03594753312039312,36036728.0,16.21543287040541,16.980072837980657,1.3804869263764838,4286.896,119.99999803439802,0.8000364156019659,-1.4473076412776413e-09,0.11275775000000009,-26.72368194471741,0.07555943058695497,-14266.40636267392,2741.2998364223386,0.0011857588867049927
gap_2dp,0.000905,407,40,0,40,107.8009828009828,98.0,0.7545349291168962,0.033626433312524476,0.047103818379029286,0.0325766258992629,34356564.0,11.45953156052415,20.055343370953484,2.6798247538668933,3865.6255,119.99992835380833,0.8000408361425069,-5.298146027027028e-08,0.11275775000000009,-23.948110214299763,0.06771168640494253,-16449.89322381487,3307.2753722392254,0.0012014742827933722
gap_2dp,0.001005,407,174,0,174,107.8009828009828,98.0,0.754535124857181,0.030686233080228054,0.04274707918556024,0.028323549985012283,31864510.0,7.646253903354626,22.816869361683022,-2.793770081798862,3278.4844,119.99966024570017,0.8000424317199022,-2.5170411243243245e-07,0.11275775000000009,-21.915812704127788,0.06196550056986394,-18348.311636072907,3953.914137171333,0.0012839669319379024
gap_2dp,0.001106,407,249,0,249,107.8009828009828,98.0,0.7545355159486166,0.027932235346780205,0.038584084552288705,0.023477960653520886,28631136.0,4.347514209262899,25.508179986855033,-4.583642554267106,2514.9844,119.99962358722351,0.8000424894348898,-2.7881657582309587e-07,0.08522324999999932,-20.29480954221129,0.05738222210743352,-19921.946657448112,4696.83841741461,0.001356512826148059
gap_2dp,0.001206,407,257,0,257,107.8009828009828,98.0,0.7545360697849897,0.02583515381006022,0.035315117827943665,0.018120430763882048,28212066.0,1.8988889914004934,27.744564467247947,-1.7298468002655722,2602.8479,119.99961921375922,0.8000421001228508,-2.820226304078624e-07,0.08522324999999932,-19.152017742260455,0.05415105441645614,-21136.485173817695,5535.304826234385,0.0014182813089223052
gap_2dp,0.001307,407,258,0,258,107.8009828009828,98.0,0.7545366088473207,0.024393558189931913,0.03296563162745485,0.012488810332432435,28239884.0,0.4000294438411112,29.443386399898188,-1.2369438390058194,2823.3403,119.9996103194102,0.8000414067813276,-2.8857674400491417e-07,0.08522324999999932,-18.50753602383292,0.05232882528766975,-21973.55785388852,6459.324907052992,0.001470548662791421
gap_2dp,0.001408,407,258,0,258,107.8009828009828,98.0,0.7545370486057946,0.023838798786386457,0.03183146837884329,0.006864919635078624,28053166.0,-0.11315488819000956,30.722937537478767,-1.09002334201175,3162.1333,119.99957201474197,0.8000404709090915,-3.1710062457002463e-07,0.08522324999999932,-18.467773661965616,0.05221639985813122,-23072.26522153141,4119.341343819739,0.0015149909625711557
gap_2dp,0.001508,407,258,0,258,107.8009828009828,98.0,0.754537347535927,0.024539575811647615,0.03246969692772932,0.001404903999975431,27794208.0,0.30166489873054964,31.759205679436075,-1.173665679562348,3546.8535,119.99953326781328,0.8000393303931209,-3.456471185995084e-07,0.08522324999999932,-19.08653449471744,0.053965904895983234,-23166.429913533466,5243.839899897382,0.001559044408827459
gap_2dp,0.001609,407,258,0,258,107.8009828009828,98.0,0.7545374896594125,0.02606191867378141,0.0342865493021826,-0.0037374702250614275,28247030.0,1.5868066320541345,32.606746295515464,-1.8343722160218843,3961.3713,119.9995031695332,0.8000380330958246,-3.6788270636363644e-07,0.08522324999999932,-20.346733451936373,0.0575290335034377,-22915.923519514894,6449.757988239109,0.0016028003261344677
gap_2dp,0.001709,407,241,0,241,107.8009828009828,98.0,0.75453746385379,0.028061024151051512,0.03682484194051084,-0.008411586463071259,28618522.0,3.791995929262899,33.20718235545971,-1.475134777528255,4304.4077,119.99938262899268,0.8000364319164622,-4.5729630603685524e-07,0.08522324999999932,-22.273229161891898,0.06297607179604937,-22352.131603763948,7700.782344537686,0.0016459383704167413
gap_2dp,0.00181,407,216,0,216,107.8009828009828,98.0,0.7564790090224217,0.030132774265766465,0.0395233990301589,-0.01245938736415234,28872428.0,6.665767435741201,33.64057651653944,-4.914462827218218,4547.7119,119.99929326781326,0.8000344432923837,-5.232339979361178e-07,0.08522324999999932,-24.682709206461908,0.06978871612234248,-21517.033751659226,8972.888897683062,0.001688367567610831
gap_2dp,0.00191,407,175,0,175,107.8009828009828,98.0,0.7564786179897689,0.031941704318483755,0.04188667198539128,-0.015755436512235887,29018964.0,10.063721613431612,33.9276909346779,-6.1732240188299645,4731.2383,119.9992533169533,0.800031910835382,-5.530523172481573e-07,0.08522324999999932,-27.461845327788698,0.07764653838222013,-20461.017344953245,10248.368794919179,0.0017300358375408244
gap_2dp,0.002011,407,131,0,131,107.8009828009828,98.0,0.7564781998390806,0.03327302463347055,0.04359616077701304,-0.018201466806044217,29108964.0,14.173605727043405,33.84253318719925,-0.37855668747179316,4869.4121,119.99899528255536,0.8000286092874679,-7.442318253071253e-07,0.11614265000000033,-30.691363430393107,0.08677778569341967,-19241.05633427675,11513.414898708874,0.0017715826644372616
gap_2dp,0.002111,407,111,0,111,107.8009828009828,98.0,0.7564777856908252,0.03404993690946929,0.04453444018377641,-0.01968980855970515,29183996.0,18.420928105642908,33.78000052442203,0.2330613688345138,4942.8359,119.99885420147432,0.800025007125308,-8.485644340786241e-07,0.11614265000000033,-34.04755351135139,0.09626718958557019,-17921.339981203007,12758.593940745479,0.0018120660731342374
gap_2dp,0.002212,407,110,0,110,107.8009828009828,98.0,0.7564773675001691,0.03417197331315393,0.044550994137047134,-0.020369882515479113,29265750.0,22.649680385271914,33.70164717651251,-0.04392275428957126,5017.4185,119.99884614250621,0.8000214247420154,-8.545661984520887e-07,0.11614265000000033,-37.361366755324305,0.10563677579394068,-16556.042011119545,13975.064775670131,0.0018516257738864898
gap_2dp,0.002312,407,110,0,110,107.8009828009828,98.0,0.7564769916123412,0.033674376260689025,0.043692622891577625,-0.02023926221842752,29361736.0,26.869278560647004,33.58912727306326,-0.4738408714672311,5040.1255,119.99885083538089,0.8000179773218665,-8.510617473464374e-07,0.11614265000000033,-40.64538992985258,0.11492213256532567,-15199.499236747508,15154.900112394746,0.0018901301188744028
gap_2dp,0.002413,407,98,0,98,107.8009828009828,98.0,0.7564767015253421,0.032600166389253026,0.042011325921443785,-0.019382700293857486,29486848.0,31.19073672719084,33.474939332386704,-0.562715836048804,5020.6694,119.99867643734649,0.8000145580835385,-9.802669104422602e-07,0.11614265000000033,-43.94575860122849,0.12425370514024489,-13682.223747922011,11983.654872018411,0.001927495794759552
gap_2dp,0.002513,407,89,0,89,107.8009828009828,98.0,0.7564764097864608,0.030984258365827272,0.0395436104971291,-0.01785503431302212,29693470.0,35.16297735945947,33.75011122574465,-3.497018492350606,4970.7515,119.99859326781323,0.8000113293366083,-1.0417611615479113e-06,0.11614265000000033,-46.993900868796075,0.13287212435964307,-12485.48577182055,13035.738172369103,0.0019636408656360125
platen_overhang,0.0,407,0,0,0,117.58230958230958,98.0,0.8043061554992177,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,120.0,0.8000000100000014,0.0,0.1922390000000006,-50.0,0.1413716694115407,0.0,0.0,0.0
platen_overhang,0.000503,407,0,0,0,117.58230958230958,98.0,0.8022536270126402,0.03695689552044827,0.051990762037497355,0.016288820848157245,15411770.0,35.93088173546276,8.417448148843727,0.237125187323307,4841.6807,120.0,0.8000152097543,0.0,0.4181520000000002,-40.40143061179364,0.11423235384407582,-5459.063468103607,1563.790629900368,0.0009684673212833326
platen_overhang,0.000603,407,0,0,0,117.58230958230958,98.0,0.8022554381884183,0.038103525550274006,0.053621179876760766,0.030638157591891896,30346580.0,34.139286240786234,14.683060673420957,0.4261495258382422,4732.8857,120.0,0.8000171431941029,0.0,0.4658485,-42.72176357493853,0.1207929407358842,-7512.66064919466,2203.7866709201676,0.0012016504171612412
platen_overhang,0.000704,407,0,0,0,117.58230958230958,98.0,0.8022573811024081,0.03981963112087102,0.05602341643791527,0.026427681531203902,28448926.0,32.65060042661751,21.307617606014023,0.6641571895599382,4588.7227,120.00003228501235,0.8000187091646176,2.3958575479115478e-08,0.5057720000000008,-45.394643572481534,0.1283503308836716,-9284.01611394211,2813.97666635458,0.0016887243697576008
platen_overhang,0.000804,407,0,0,0,117.58230958230958,98.0,0.802259504010495,0.04145395404803547,0.058288232824136636,0.02147764422316953,26974152.0,30.2661376710074,25.625724711931802,0.9917521657553158,4404.1079,120.00116031941035,0.8000197801228492,8.594726326781324e-07,0.4865954999999998,-45.664327213759194,0.1291128434152797,-10723.58288779922,3393.731456189643,0.002189406220570612
platen_overhang,0.000905,407,0,0,0,117.58230958230958,98.0,0.8022617265419192,0.04257851489080919,0.05980895801521717,0.016412216265429973,24576016.0,28.311534368049546,29.97079798018597,1.589362164628722,4175.5239,120.00236272727267,0.8000202870761656,1.7499653500449631e-06,0.4865954999999998,-46.38359927518427,0.13114653725697456,-11823.62916397236,3944.1576807116644,0.0026422661725200723
platen_overhang,0.001005,407,12,8,4,117.58230958230958,98.0,0.8022638695552456,0.04339889639115827,0.060862013920735515,0.011358303066068798,21060542.0,27.18554343226866,33.190482243903006,-1.7553309429104231,3902.061,120.00335307125319,0.8000202248157243,2.4836008203980346e-06,0.4865954999999998,-47.18158145454544,0.13340277871411352,-12584.928979905679,4460.412088850245,0.003045438496147822
platen_overhang,0.001106,407,12,0,12,117.58230958230958,98.0,0.8022658473100824,0.044367135360107154,0.06207553829760783,0.006408142733636364,18789698.0,27.090936491800168,35.523451642321206,-0.5667825006079992,3586.7263,120.0039819164618,0.8000193608599517,2.9497362549336615e-06,0.36419040000000036,-48.418945584766576,0.13690134336929996,-13014.438661918195,4953.627963264027,0.0034054570623830997
