variant,region,return_status,count,failed_count,status_-3,status_-1,neighbor_count_all_mean,neighbor_count_specimen_mean,support_ratio_mean,velocity_gradient_norm_mean,shear_rate_mean,DivVel_mean,PorePressRate_maxAbs,p_eff_mean,q_mean,q_over_p_mean,yield_residual_maxAbs,pc_mean,void_ratio_mean,plastic_vol_strain_mean,pairwise_reaction_avg,sigma_zz_mean,Fz_proxy,PorePress_mean,PorePress_std,velocity_max
baseline,interior,1,391,0,0,0,150.11253196930946,146.5447570332481,0.9866631295074922,0.05155457783928982,0.07214104937477384,-0.008369812080588242,26993650.0,34.79223642910486,58.78794772654083,2.4723453734454783,6.3764601e-05,119.98700125319714,0.8000334793094633,-9.626336388028143e-06,0.2733973121866982,-73.1347623887468,0.20678366901826983,-13388.373509800325,5085.147316052558,0.0015201829000000041
baseline,lateral_surface,-3,8,8,8,0,103.5,96.0,0.785081335583151,0.0789278987015984,0.10814353707709572,-0.0142905074,16535262.0,68.03563162500001,82.92232366748199,1.2673853492344298,2281.4941,119.99132,0.799994975,-6.431019349999999e-06,0.24897345,-112.36501375,0.31770459154576447,-3522.2031777245,8201.572026427877,0.0016818811855366436
baseline,lateral_surface,-1,356,356,0,356,117.43820224719101,114.4494382022472,0.8767305572952693,0.018794905648385315,0.026168160709317198,0.0036638141094943767,23219276.0,-5.467300460112354,30.07249785293061,-152.42259294157677,14.983955,119.99942876404495,0.8000509361797747,-4.2173265957865184e-07,0.2823171962359543,-13.457935715730336,0.038051416779319905,-20867.93609086135,2107.3734603979406,0.0006367211450333471
baseline,lateral_surface,0,3200,0,0,0,94.7975,93.3375,0.672390932047555,0.03295496127269272,0.045702752526589015,-0.006846996172212477,31025182.0,35.01232242278957,22.593382521325157,0.8781541556156164,5004.4268,119.99952819999992,0.800016320875005,-3.4931273120624956e-07,0.29211012795625807,-46.62813088624999,0.13183793409857966,-8036.531229372418,5909.425113574526,0.0012864895658641251
baseline,lateral_surface,1,748,0,0,0,108.15508021390374,104.84491978609626,0.7936048923605402,0.06126983932604828,0.08299565276600245,-0.012875296335093572,26520604.0,45.186161949062885,59.84943003542268,2.2710880362658243,0.00013275193,119.99438112299448,0.800012506203209,-4.16248934322927e-06,0.26868680794117333,-79.3535078155079,0.22436675747080184,-8689.506180543605,8139.661593080874,0.0020335748621642087
baseline,measurement_core,-1,11,11,0,11,178.0,178.0,0.9999954854563345,0.010989359439334066,0.015541301160899025,0.005331984847727271,16572604.0,-3.4434397909090904,29.224014777273087,-12.8449066541795,5.5032692,119.99840818181815,0.8000527381818183,-1.1792906909090908e-06,0.2763558650000001,-16.03923672727273,0.04534987344442884,-23109.74371050091,1285.1578184666766,0.00016338089000000525
baseline,measurement_core,0,154,0,0,0,163.06493506493507,163.06493506493507,0.9998965395947632,0.021033020274115667,0.029632274376854086,-0.01667596187662338,27344048.0,32.43864939095239,24.59910029850941,1.0604051178648315,4701.4766,119.9973961038961,0.800018720844156,-1.9276457422077913e-06,0.2563194515259746,-48.698659883116896,0.1376922169156212,-7269.730626950531,5896.9276200326385,0.0007352457112777794
baseline,measurement_core,1,53,0,0,0,170.45283018867926,170.45283018867926,1.000301557780881,0.03058398728990902,0.043073259777047554,-0.014345734535849057,23206180.0,28.807860708364778,52.500421609769354,3.1897204769695358,3.655611e-05,119.99161452830187,0.8000328239622642,-6.2081648962264134e-06,0.26602287820754694,-63.65442398113207,0.17997864367285302,-12552.935254992177,7043.016722508123,0.0010204926000000004
baseline,top_cap_zone,-3,9,9,9,0,152.22222222222223,120.44444444444444,0.9890013457482097,0.10264605388976064,0.14412267310820515,0.039117043000000004,27779682.0,59.41879581481482,95.38887700353128,1.6069201830612372,4051.6697,120.00822666666669,0.7999774477777778,6.095229633333334e-06,0.2611434122222222,-122.40159,0.34608234233853885,-31721.782099953336,2723.015435026899,0.0024634993000000006
baseline,top_cap_zone,0,73,0,0,0,149.24657534246575,109.71232876712328,0.9874292664274742,0.03301532613409128,0.046413556792068024,0.017493020197260272,24566194.0,45.07805100913242,20.90122431505553,0.45836840804419193,4596.9512,120.0,0.8000053245205478,0.0,0.30361703150684927,-58.887392575342446,0.16650017991337857,-6360.321628372933,4323.674053383251,0.0011102963000000064
