case,variant,part,time,idp,return_status,failed,x,y,z,r,r_over_R,z_over_H,distance_to_top_platen,distance_to_bottom_platen,distance_to_lateral_boundary,distance_to_edge_corner,region,neighbor_count_all,neighbor_count_specimen,nearest_neighbor_distance,kernel_support_sum,kernel_support_ratio_to_core,velocity,DivVel,PorePressRate,PorePress,sigma_zz,p_eff,q,q_over_p,pc,void_ratio,plastic_vol_strain,eq_plastic_strain,plastic_multiplier,return_iterations,yield_residual,Kplastic,pairwise_reaction_avg,axial_stress_reaction,force_balance_error,axial_strain_rate_proxy,radial_strain_rate_proxy,shear_rate_proxy,velocity_gradient_norm
CaseM3l_BaselineDense,baseline,6,0.001005,314,-1,1,3.3819613e-14,-0.030000756,0.009999997,0.030000756,1.0000252,0.09999997,0.09000000300000001,0.009999997,-7.560000000010614e-07,0.009999997028576808,edge_ring,85,66,0.01000000400242,8.316015627539889,0.6407957785724318,0.0010840687779070132,0.041912846,-27926256.0,-20244.42086663,-13.215138,-2.9556029333333336,25.34694038360168,-8.57589498837564,120.0,0.8000493,0.0,0.0,0.0,0.0,-2.9556127,0.0,0.37390975,132.2435221838996,0.783163,-0.0008855218180940508,0.031653596834743364,0.06763473965954046,0.048712284395191666
CaseM3l_BaselineDense,baseline,6,0.001005,325,-1,1,1.4313159e-14,-0.020000296,0.010000013,0.020000296,0.6666765333333334,0.10000012999999999,0.089999987,0.010000013,0.009999703999999998,0.01414193551419978,edge_ring,122,95,0.00999998994916145,12.013952662617516,0.9257426266347409,0.0004261969987560803,0.043204997,-28763492.0,-22691.59728594,-12.7124,-4.415032666666667,25.80406304360768,-5.844591646722662,119.9977,0.80005389,-1.7053262e-06,1.7668345e-06,0.0,0.0,-4.4150429,1.7668345e-06,0.37390975,132.2435221838996,0.783163,-0.0020807633174453606,0.021418024371317117,0.043785949831578096,0.031165091363983755
CaseM3l_BaselineDense,baseline,6,0.001005,326,-1,1,2.1761772e-14,-0.02000029,0.020000003,0.02000029,0.6666763333333334,0.20000002999999997,0.079999997,0.020000003,0.009999709999999998,0.02236055276785681,lateral_surface,122,113,0.009999990000001797,12.013973660729373,0.925744244657366,0.00039667968420899403,0.034879919,-23219272.0,-21866.8741143,-14.003686,-2.8495131333333323,25.59882133881574,-8.983577243201013,119.9985,0.80005276,-1.1101758e-06,1.1510047e-06,0.0,0.0,-2.8495231,1.1510047e-06,0.37390975,132.2435221838996,0.783163,-0.0012565033197950465,0.01968971942629661,0.040147569904417105,0.0285451829490698
CaseM3l_BaselineDense,baseline,6,0.001005,327,-1,1,8.0221686e-15,-0.020000292,0.029999999,0.020000292,0.6666764000000001,0.29999999,0.070000001,0.029999999,0.009999708,0.03162268331570338,lateral_surface,122,122,0.0099999960000002,12.013996795148504,0.9257460272944825,0.0004027826703337253,0.028998546,-19305312.0,-20722.77411826,-14.426842,-1.8316252000000002,24.627999183274227,-13.445981843487536,120.0,0.80005074,0.0,0.0,0.0,0.0,-1.8316354,0.0,0.37390975,132.2435221838996,0.783163,-0.0013142611969388191,0.018177073070229928,0.03675759121571031,0.026108616966744175
CaseM3l_BaselineDense,baseline,6,0.001005,336,-1,1,9.1723565e-14,-0.010000035,0.01000002,0.010000035,0.3333345,0.1000002,0.08999998000000001,0.01000002,0.019999965,0.022360657414343277,bottom_cap_zone,153,121,0.009999985000000801,12.93593317406612,0.9967864108366103,0.00010933281057397472,0.042827237,-28529658.0,-21506.69435069,-13.036406,-4.184966,25.888124622208355,-6.1859820658539055,120.0,0.80005062,0.0,0.0,0.0,0.0,-4.1849761,0.0,0.37390975,132.2435221838996,0.783163,-0.0032949796328886408,0.022949279354268548,0.04638002669282298,0.032804791974781325
CaseM3l_BaselineDense,baseline,6,0.001005,337,-1,1,9.9536014e-14,-0.010000031,0.020000005,0.010000031,0.33333436666666666,0.20000005,0.079999995,0.020000005,0.019999969,0.02828425286269705,interior,153,144,0.009999985000000801,12.93594130339951,0.9967870372474724,5.496767327852546e-05,0.038017955,-25330676.0,-21241.1116803,-14.175665,-3.1187089999999995,25.982492877142327,-8.331169364356318,120.0,0.80005056,0.0,0.0,0.0,0.0,-3.1187189,0.0,0.37390975,132.2435221838996,0.783163,-0.0015548886617957917,0.020376799393779087,0.04099843978680324,0.029017300159658227
CaseM3l_BaselineDense,baseline,6,0.001005,338,-1,1,-8.0213505e-14,-0.010000032,0.029999999,0.010000032,0.33333440000000003,0.29999999,0.070000001,0.029999999,0.019999968,0.03605549417219275,interior,153,153,0.009999994000000048,12.935951679394934,0.996787836776281,5.190755579978422e-05,0.035275787,-23506980.0,-20709.71940565,-14.67948,-1.7809187000000002,24.69847821338917,-13.868391753867915,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.7809287,0.0,0.37390975,132.2435221838996,0.783163,-0.0018582486604041607,0.01732551764725157,0.034830395835274724,0.024655675503061903
CaseM3l_BaselineDense,baseline,6,0.001005,402,-1,1,0.01000028,-0.020000389,0.010000009,0.0223611529271127,0.7453717642370901,0.10000009,0.089999991,0.010000009,0.007638847072887298,0.012583805648651757,edge_ring,115,90,0.009999988143299051,11.035861890563488,0.8503752312540419,0.0006625134520132743,0.040608749,-27050680.0,-20984.25510555,-13.103383,-3.500046333333333,25.755476729709592,-7.358610223076931,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000565,0.0,0.37390975,132.2435221838996,0.783163,-0.0015394609256909673,0.025492172029030445,0.05284034295325429,0.038069339163440845
CaseM3l_BaselineDense,baseline,6,0.001005,403,-1,1,0.010000277,-0.020000385,0.020000001,0.02236114800776011,0.7453716002586703,0.20000000999999998,0.079999999,0.020000001,0.0076388519922398895,0.021409159249240695,lateral_surface,115,107,0.00999999200000125,11.03588402256534,0.8503769366492687,0.0006367210648736596,0.033584654,-22372544.0,-20306.36651571,-15.215139,-0.7869815333333333,24.90553998299342,-31.646917911153132,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78699142,0.0,0.37390975,132.2435221838996,0.783163,-0.001079621962775593,0.024365905214187952,0.050342790710694765,0.035958559455451074
CaseM3l_BaselineDense,baseline,6,0.001005,413,-1,1,0.010000105,-0.010000105,0.010000018,0.014142284116155002,0.4714094705385001,0.10000018,0.089999982,0.010000018,0.015857715883845,0.018747466843631804,bottom_cap_zone,145,114,0.009999987000001601,12.633798281161226,0.9735052179427769,0.00022574630122773823,0.042672817,-28421314.0,-21835.96091839,-12.967579,-4.1978056666666665,26.49444503286386,-6.311498705918464,119.99934,0.80005151,-4.8932509e-07,5.0790533e-07,0.0,0.0,-4.1978159,5.0790533e-07,0.37390975,132.2435221838996,0.783163,-0.0028299413789682447,0.021597601672132684,0.04376245346707626,0.030960752356969566
CaseM3l_BaselineDense,baseline,6,0.001005,414,-1,1,0.010000101,-0.010000101,0.020000005,0.014142278459300753,0.4714092819766918,0.20000005,0.079999995,0.020000005,0.015857721540699247,0.025523862020908627,interior,145,136,0.009999987000001601,12.63381163760394,0.973506247131813,0.00019016246546510086,0.036411412,-24254424.0,-21326.2447854,-14.148314,-2.9538233333333337,26.3276913026441,-8.913089352887534,119.99969,0.80005103,-2.2951676e-07,2.3841592e-07,0.0,0.0,-2.9538338,2.3841592e-07,0.37390975,132.2435221838996,0.783163,-0.0013141643697606202,0.019317134841000578,0.039157733618925536,0.027751748468617658
CaseM3l_BaselineDense,baseline,6,0.001005,415,-1,1,0.010000102,-0.010000102,0.029999999,0.014142279873514314,0.4714093291171438,0.29999999,0.070000001,0.029999999,0.015857720126485685,0.03393327611077289,interior,145,145,0.009999994000000099,12.633827118939132,0.9735074400557662,0.00019200645941040785,0.032409851,-21592390.0,-20548.64290768,-14.87394,-1.3833727666666669,24.910026022084118,-18.00673442640234,120.0,0.8000496,0.0,0.0,0.0,0.0,-1.3833827,0.0,0.37390975,132.2435221838996,0.783163,-0.0016311187924233136,0.016744089334192466,0.03379405174017872,0.0239583637937883
CaseM3l_BaselineDense,baseline,6,0.001005,467,-1,1,0.020000558,-0.020000558,-1.6089267e-08,0.028285060378629708,0.9428353459543236,-1.6089266999999998e-07,0.10000001608926701,-1.6089267e-08,0.0017149396213702907,0.001714939621445764,edge_ring,88,56,0.0100000130892679,8.022114622474856,0.618149053049192,0.0011129176015273578,0.032592114,-21742362.0,-14936.04359381,-13.948177,-1.8814714333333342,35.05128296772906,-18.629718393135516,119.99983,0.80004817,-1.2447812e-07,1.3347561e-07,0.0,0.0,-1.8814813,1.3347561e-07,0.37390975,132.2435221838996,0.783163,0.0007452792238566192,0.033074964874121204,0.07142663315663193,0.05150700522141547
CaseM3l_BaselineDense,baseline,6,0.001005,468,-1,1,0.020000555,-0.020000555,0.009999997,0.028285056135989018,0.9428352045329673,0.09999997,0.09000000300000001,0.009999997,0.0017149438640109808,0.010145983069999571,edge_ring,94,75,0.010000004002624399,8.027980380734908,0.6186010427158204,0.0010826389487713975,0.040063176,-26701478.0,-19350.99338922,-14.687737,-0.9666863999999998,27.8388272570022,-28.798198937113636,120.0,0.8000474,0.0,0.0,0.0,0.0,-0.96669656,0.0,0.37390975,132.2435221838996,0.783163,-0.0007392188261706083,0.03369782929774259,0.07264587218007577,0.05221022568216715
CaseM3l_BaselineDense,baseline,6,0.001005,479,-1,1,0.020000389,-0.01000028,0.010000009,0.0223611529271127,0.7453717642370901,0.10000009,0.089999991,0.010000009,0.007638847072887298,0.012583805648651757,edge_ring,115,90,0.009999988143212051,11.035861890560513,0.8503752312538125,0.0006625133878638938,0.040608749,-27050680.0,-20984.2606353,-13.103381,-3.5000486666666664,25.755477735286938,-7.358605604708813,120.0,0.80005026,0.0,0.0,0.0,0.0,-3.5000587,0.0,0.37390975,132.2435221838996,0.783163,-0.0015394606102250995,0.02549217003340072,0.052840338743350035,0.03806933622284078
CaseM3l_BaselineDense,baseline,6,0.001005,480,-1,1,0.020000385,-0.010000277,0.020000001,0.02236114800776011,0.7453716002586703,0.20000000999999998,0.079999999,0.020000001,0.0076388519922398895,0.021409159249240695,lateral_surface,115,107,0.00999999200000125,11.035884022561714,0.8503769366489893,0.0006367210935005045,0.033584654,-22372544.0,-20306.3694314,-15.215142,-0.7869791333333337,24.905541400519123,-31.647016223961437,120.0,0.80004883,0.0,0.0,0.0,0.0,-0.78698903,0.0,0.37390975,132.2435221838996,0.783163,-0.0010796221426455257,0.024365905766314387,0.050342792173665975,0.03595856059683865
CaseM3l_BaselineDense,baseline,6,0.001005,159,-1,1,-0.030000759,2.8116574e-14,-1.7046998e-08,0.030000759,1.0000253,-1.7046998e-07,0.100000017046998,-1.7046998e-08,-7.589999999994823e-07,7.591914120562916e-07,edge_ring,79,50,0.01000001404699845,8.309356826563297,0.640282680503926,0.0011099043840021867,0.034136418,-22767610.0,-15650.70766909,-13.5417,-2.511518333333333,31.983004263789766,-12.734529483342985,120.0,0.80004853,0.0,0.0,0.0,0.0,-2.5115283,0.0,0.37390975,132.2435221838996,0.783163,0.0005555255776800179,0.030474502637498457,0.06620273348787115,0.04784324570478163
