z,z_norm,analytical_initial_excess,saved_frame0_excess,analytical_t0p1_excess,fd_t0p1_excess,gpu_mode0_t0p1_excess_approx,gpu_mode1_t0p1_excess
0.255799999925,0.253333333333,15167.0078238,0,14489.4939859,14489.2550994,14375.2219719,14181.749741
0.262399999926,0.26,15031.5881111,0,14391.0809084,14390.7932111,14283.9339072,14090.9194182
0.268999999927,0.266666666667,14896.1683984,0,14291.0068819,14290.6216436,14190.8141548,13998.3828106
0.275599999927,0.273333333333,14760.7486857,0,14189.3241875,14188.8706218,14096.3777964,13904.571124
0.282199999928,0.28,14625.3289729,0,14086.0847216,14085.5895161,13999.9707747,13808.5350345
0.288799999929,0.286666666667,14489.9092602,0,13981.3399258,13980.7595679,13901.9678288,13711.0097565
0.295399999929,0.293333333333,14354.4895475,0,13875.1407199,13874.5022749,13802.7436508,13612.3152401
0.30199999993,0.3,14219.0698348,0,13767.5374386,13766.8654766,13701.5020586,13511.5116579
0.308599999931,0.306666666667,14083.6501221,0,13658.5797719,13657.8356948,13598.8886179,13409.4168191
0.315199999931,0.313333333333,13948.2304094,0,13548.3167084,13547.5253571,13495.1873725,13306.2556347
0.321799999932,0.32,13812.8106967,0,13436.7964831,13435.9802642,13389.679983,13201.1261224
0.328399999933,0.326666666667,13677.390984,0,13324.0665288,13323.1914133,13282.7631186,13094.884217
0.334999999933,0.333333333333,13541.9712712,0,13210.1734306,13209.2619942,13174.7199245,12987.6724002
0.341599999934,0.34,13406.5515585,0,13095.1628849,13094.2353564,13065.2311241,12878.6316304
0.348199999935,0.346666666667,13271.1318458,0,12979.0796618,12978.1062085,12954.6197342,12768.6512521
0.354799999935,0.353333333333,13135.7121331,0,12861.967571,12860.9684988,12843.0639546,12657.8025606
0.361399999936,0.36,13000.2924204,0,12743.8694316,12742.8628097,12730.1625162,12545.2536848
0.367999999937,0.366666666667,12864.8727077,0,12624.8270457,12623.7868526,12616.1793953,12431.9142181
0.374599999937,0.373333333333,12729.452995,0,12504.8811749,12503.8254771,12501.2496079,12317.7667209
0.381199999938,0.38,12594.0332823,0,12384.0715211,12383.016278,12385.2199181,12202.1330405
0.387799999939,0.386666666667,12458.6135695,0,12262.4367098,12261.3593252,12268.2981349,12085.8048786
0.394399999939,0.393333333333,12323.1938568,0,12140.0142773,12138.9306426,12150.5442908,11968.7119993
0.40099999994,0.4,12187.7741441,0,12016.8406608,12015.7647048,12031.3863495,11850.3441881
0.407599999941,0.406666666667,12052.3544314,0,11892.9511919,11891.8633683,11911.6570547,11731.3607733
0.414199999941,0.413333333333,11916.9347187,0,11768.3800923,11767.2942117,11791.3615674,11611.6644537
0.420799999942,0.42,11781.515006,0,11643.160473,11642.0885381,11669.9376413,11490.8812398
0.427399999943,0.426666666667,11646.0952933,0,11517.3243363,11516.2494941,11547.9566299,11369.5551487
0.433999999943,0.433333333333,11510.6755806,0,11390.9025792,11389.8366796,11425.3860507,11247.5699649
0.440599999944,0.44,11375.2558678,0,11263.9250009,11262.8782473,11301.8715014,11124.6636057
0.447199999945,0.446666666667,11239.8361551,0,11136.4203111,11135.3782106,11177.861343,11001.2802631
0.453799999945,0.453333333333,11104.4164424,0,11008.4161411,11007.3887241,11053.3000584,10877.2914112
0.460399999946,0.46,10968.9967297,0,10879.9390568,10878.9348707,10927.9292371,10752.5360753
0.466999999947,0.466666666667,10833.577017,0,10751.0145737,10750.0211814,10802.1406018,10627.3605587
0.473599999947,0.473333333333,10698.1573043,0,10621.667173,10620.6929416,10675.8729983,10501.6235924
0.480199999948,0.48,10562.7375916,0,10491.9203202,10490.972296,10548.8133896,10375.2337745
0.486799999949,0.486666666667,10427.3178789,0,10361.7964838,10360.8640111,10421.3359669,10248.4828801
0.493399999949,0.493333333333,10291.8981661,0,10231.3171567,10230.4071052,10293.3620443,10121.2374302
