line,time,Tv,z,z_norm,excess
gpu_mode1_xi005_b5,0.1,0.027441722676,0.654719,0.656281818217,6907.15891151
gpu_mode1_xi005_b5,0.1,0.027441722676,0.664719,0.666382828317,6703.39787941
gpu_mode1_xi005_b5,0.1,0.027441722676,0.674719,0.676483838417,6499.25866122
gpu_mode1_xi005_b5,0.1,0.027441722676,0.684718,0.686583838415,6294.75558491
gpu_mode1_xi005_b5,0.1,0.027441722676,0.694718,0.696684848515,6089.90157172
gpu_mode1_xi005_b5,0.1,0.027441722676,0.704718,0.706785858615,5884.70840621
gpu_mode1_xi005_b5,0.1,0.027441722676,0.714717,0.716885858614,5679.18715061
gpu_mode1_xi005_b5,0.1,0.027441722676,0.724717,0.726986868714,5473.3475956
gpu_mode1_xi005_b5,0.1,0.027441722676,0.734716,0.737086868713,5267.19934028
gpu_mode1_xi005_b5,0.1,0.027441722676,0.744716,0.747187878813,5060.75098981
gpu_mode1_xi005_b5,0.1,0.027441722676,0.754716,0.757288888913,4854.01100504
gpu_mode1_xi005_b5,0.1,0.027441722676,0.764715,0.767388888912,4646.98800723
gpu_mode1_xi005_b5,0.1,0.027441722676,0.774715,0.777489899012,4439.6896984
gpu_mode1_xi005_b5,0.1,0.027441722676,0.784714,0.787589899011,4232.12505436
gpu_mode1_xi005_b5,0.1,0.027441722676,0.794714,0.797690909111,4024.30182091
gpu_mode1_xi005_b5,0.1,0.027441722676,0.804713,0.80779090911,3816.22853097
gpu_mode1_xi005_b5,0.1,0.027441722676,0.814713,0.81789191921,3607.91457864
gpu_mode1_xi005_b5,0.1,0.027441722676,0.824712,0.827991919209,3399.37008692
gpu_mode1_xi005_b5,0.1,0.027441722676,0.834712,0.838092929309,3190.60831319
gpu_mode1_xi005_b5,0.1,0.027441722676,0.844711,0.848192929308,2981.63271465
gpu_mode1_xi005_b5,0.1,0.027441722676,0.854711,0.858293939408,2772.4554377
gpu_mode1_xi005_b5,0.1,0.027441722676,0.86471,0.868393939407,2563.08977412
gpu_mode1_xi005_b5,0.1,0.027441722676,0.874709,0.878493939406,2353.53722002
gpu_mode1_xi005_b5,0.1,0.027441722676,0.884709,0.888594949506,2143.81560535
gpu_mode1_xi005_b5,0.1,0.027441722676,0.894708,0.898694949505,1933.91501142
gpu_mode1_xi005_b5,0.1,0.027441722676,0.904707,0.908794949504,1723.86694515
gpu_mode1_xi005_b5,0.1,0.027441722676,0.914706,0.918894949503,1513.74398904
gpu_mode1_xi005_b5,0.1,0.027441722676,0.924706,0.928995959603,1303.65795953
gpu_mode1_xi005_b5,0.1,0.027441722676,0.934704,0.939094949501,1093.69618935
gpu_mode1_xi005_b5,0.1,0.027441722676,0.944704,0.949195959601,883.639128107
gpu_mode1_xi005_b5,0.1,0.027441722676,0.954703,0.9592959596,673.235229683
gpu_mode1_xi005_b5,0.1,0.027441722676,0.964702,0.969395959599,460.920020254
gpu_mode1_xi005_b5,0.1,0.027441722676,0.974701,0.979495959598,253.448510152
gpu_mode1_xi005_b5,0.1,0.027441722676,0.9847,0.989595959597,-1.17602356198e-05
gpu_mode1_xi005_b5,0.1,0.027441722676,0.994698,0.999694949495,-1.17656617675e-05
analytical_series,0.1,0.027441722676,0.0049999999,0,16516.0155286
fd_homogeneous,0.1,0.027441722676,0.0049999999,0,16518.4904259
analytical_series,0.1,0.027441722676,0.0104999999006,0.00555555555556,16514.9479566
fd_homogeneous,0.1,0.027441722676,0.0104999999006,0.00555555555556,16517.383354
analytical_series,0.1,0.027441722676,0.0159999999011,0.0111111111111,16511.7458409
fd_homogeneous,0.1,0.027441722676,0.0159999999011,0.0111111111111,16514.1590283
analytical_series,0.1,0.027441722676,0.0214999999017,0.0166666666667,16506.410981
fd_homogeneous,0.1,0.027441722676,0.0214999999017,0.0166666666667,16508.8192372
analytical_series,0.1,0.027441722676,0.0269999999022,0.0222222222222,16498.9463731
fd_homogeneous,0.1,0.027441722676,0.0269999999022,0.0222222222222,16501.3669138
analytical_series,0.1,0.027441722676,0.0324999999028,0.0277777777778,16489.3562045
fd_homogeneous,0.1,0.027441722676,0.0324999999028,0.0277777777778,16491.7583284
analytical_series,0.1,0.027441722676,0.0379999999033,0.0333333333333,16477.6458469
fd_homogeneous,0.1,0.027441722676,0.0379999999033,0.0333333333333,16479.9990819
analytical_series,0.1,0.027441722676,0.0434999999039,0.0388888888889,16463.8218472
fd_homogeneous,0.1,0.027441722676,0.0434999999039,0.0388888888889,16466.1435478
analytical_series,0.1,0.027441722676,0.0489999999044,0.0444444444444,16447.8919166
fd_homogeneous,0.1,0.027441722676,0.0489999999044,0.0444444444444,16450.1993001
analytical_series,0.1,0.027441722676,0.054499999905,0.05,16429.8649179
fd_homogeneous,0.1,0.027441722676,0.054499999905,0.05,16432.1750142
analytical_series,0.1,0.027441722676,0.0599999999056,0.0555555555556,16409.7508502
