line,time,Tv,bottom_excess
gpu_mode0_xi010,2.2,0.615478637163,3159.67968741
gpu_mode0_xi010,2.3,0.643480394995,2958.12543394
gpu_mode0_xi010,2.4,0.671482152828,2756.5295138
gpu_mode0_xi010,2.5,0.699483910661,2554.59548603
gpu_mode0_xi010,2.6,0.727485668493,2353.08116311
gpu_mode0_xi010,2.7,0.755487426326,2152.56315096
gpu_mode0_xi010,2.8,0.783489184159,1985.37217878
gpu_mode0_xi010,2.9,0.811490941991,1877.0427517
gpu_mode0_xi010,3,0.839492699824,1772.08170569
gpu_mode0_xi010,3.1,0.867494457657,1669.00813798
gpu_mode0_xi010,3.2,0.89549621549,1566.55468746
gpu_mode0_xi010,3.3,0.923497973322,1464.9317491
gpu_mode0_xi010,3.4,0.951499731155,1363.29014753
gpu_mode0_xi010,3.5,0.979501488988,1261.55957028
gpu_mode0_xi010,3.6,1.00750324682,1160.35308156
analytical_series,0,0,20302.666248
analytical_series,0.1,0.027441722676,16516.0155286
fd_homogeneous,0.1,0.027441722676,16518.4904259
analytical_series,0.2,0.0554434805087,14915.9440955
fd_homogeneous,0.2,0.0554434805087,14917.6854917
analytical_series,0.3,0.0834452383414,13691.877695
fd_homogeneous,0.3,0.0834452383414,13693.2976303
analytical_series,0.4,0.111446996174,12661.2721539
fd_homogeneous,0.4,0.111446996174,12662.5057584
analytical_series,0.5,0.139448754007,11754.4821625
fd_homogeneous,0.5,0.139448754007,11755.6025704
analytical_series,0.6,0.16745051184,10936.9080553
fd_homogeneous,0.6,0.16745051184,10937.9653292
analytical_series,0.7,0.195452269672,10189.1620505
fd_homogeneous,0.7,0.195452269672,10190.1907862
analytical_series,0.8,0.223454027505,9499.49519509
fd_homogeneous,0.8,0.223454027505,9500.51726122
analytical_series,0.9,0.251455785338,8860.24677246
fd_homogeneous,0.9,0.251455785338,8861.27418575
analytical_series,1,0.27945754317,8266.02329446
fd_homogeneous,1,0.27945754317,8267.06114946
analytical_series,1.1,0.307459301003,7712.7308959
fd_homogeneous,1.1,0.307459301003,7713.7798324
analytical_series,1.2,0.335461058836,7197.05294627
fd_homogeneous,1.2,0.335461058836,7198.11097609
analytical_series,1.3,0.363462816668,6716.16472074
fd_homogeneous,1.3,0.363462816668,6717.2284704
analytical_series,1.4,0.391464574501,6267.57529563
fd_homogeneous,1.4,0.391464574501,6268.64080095
analytical_series,1.5,0.419466332334,5849.03801618
fd_homogeneous,1.5,0.419466332334,5850.10120371
analytical_series,1.6,0.447468090166,5458.49808229
fd_homogeneous,1.6,0.447468090166,5459.55504473
analytical_series,1.7,0.475469847999,5094.0603528
fd_homogeneous,1.7,0.475469847999,5095.10749433
analytical_series,1.8,0.503471605832,4753.96827639
fd_homogeneous,1.8,0.503471605832,4755.00237883
analytical_series,1.9,0.531473363665,4436.58904949
fd_homogeneous,1.9,0.531473363665,4437.60729184
analytical_series,2,0.559475121497,4140.40235335
fd_homogeneous,2,0.559475121497,4141.40230502
analytical_series,2.1,0.58747687933,3863.99123298
fd_homogeneous,2.1,0.58747687933,3864.97083293
analytical_series,2.2,0.615478637163,3606.0343312
fd_homogeneous,2.2,0.615478637163,3606.9918603
analytical_series,2.3,0.643480394995,3365.29904195
fd_homogeneous,2.3,0.643480394995,3366.23309284
analytical_series,2.4,0.671482152828,3140.63533583
fd_homogeneous,2.4,0.671482152828,3141.54478254
analytical_series,2.5,0.699483910661,2930.97011336
fd_homogeneous,2.5,0.699483910661,2931.85408217
analytical_series,2.6,0.727485668493,2735.30199734
fd_homogeneous,2.6,0.727485668493,2736.15983923
analytical_series,2.7,0.755487426326,2552.69650608
fd_homogeneous,2.7,0.755487426326,2553.52777133
analytical_series,2.8,0.783489184159,2382.28156679
fd_homogeneous,2.8,0.783489184159,2383.08598166
analytical_series,2.9,0.811490941991,2223.24333814
fd_homogeneous,2.9,0.811490941991,2224.02078357
analytical_series,3,0.839492699824,2074.82231677
fd_homogeneous,3,0.839492699824,2075.57280908
analytical_series,3.1,0.867494457657,1936.30970656
fd_homogeneous,3.1,0.867494457657,1937.03338
analytical_series,3.2,0.89549621549,1807.04403177
fd_homogeneous,3.2,0.89549621549,1807.7411227
analytical_series,3.3,0.923497973322,1686.40797703
fd_homogeneous,3.3,0.923497973322,1687.07880975
analytical_series,3.4,0.951499731155,1573.82543878
fd_homogeneous,3.4,0.951499731155,1574.47041271
analytical_series,3.5,0.979501488988,1468.75877373
fd_homogeneous,3.5,0.979501488988,1469.37835197
analytical_series,3.6,1.00750324682,1370.70623117
fd_homogeneous,3.6,1.00750324682,1371.30093023
